key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,p9,v9,p10,p10
"Brasil, Grande Região e Unidade da Federação",observationAbout,{Data},observationPeriod,P3M,age,[14 - Years],populationType,Person,employmentStatus,Employed,YEAR,,MONTH,,Name1,,AlternateName1,,#End,#value
,,,,,,,,,,,,,,,,,,,,
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Name1,Persons aged 14 or over employed in the reference week,AlternateName1,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,,,,,,,#Multiply,1000,,,,,,,,
Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,#ignore,"ignore, mapped in 4093",,,,,,,,,,,,,,,,,,
"Variação percentual em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência",Name1,Percentage change in relation to the previous quarter - People aged 14 or over employed in the reference week,AlternateName1,Variação percentual em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,measurementQualifier,Quarterly,statType,growthRate,,,,,,,,,,,,
"Variação absoluta em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência",Name1,Absolute change in relation to the previous quarter - People aged 14 or over employed in the reference week,AlternateName1,Variação absoluta em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,measurementQualifier,Quarterly,statType,changeValue,,,#Multiply,1000,,,,,,,,
"Situação da Variação em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência",#ignore,ignore no data available,,,,,,,,,,,,,,,,,,
"Variação percentual em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência",Name1,Percentage change compared to the same quarter of the previous year - People aged 14 or over employed in the reference week,AlternateName1,Variação percentual em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,measurementQualifier,Quarterly,statType,growthRate,comparisonPeriod,YearOverYear,,,,,,,,,,
"Variação absoluta em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência",Name1,Absolute variation in relation to the same quarter of the previous year - People aged 14 or over employed in the reference week,AlternateName1,Variação absoluta em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,measurementQualifier,Quarterly,statType,changeValue,comparisonPeriod,YearOverYear,#Multiply,1000,,,,,,,,
"Situação da Variação em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência",#ignore,"ignore, no data available",,,,,,,,,,,,,,,,,,
Total,value,{Number},#ignore,"ignore, mapped in 6465",,,,,,,,,,,,,,,,
Informais,value,{Number},name,"""{Name1} having Informal employment""",alternateName,"""{AlternateName1} Informais@pt""",employmentType,InformalEmployment,observationDate,{YEAR}-{MONTH},,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2012,YEAR,2012,,,,,,,,,,,,,,,,,,
2013,YEAR,2013,,,,,,,,,,,,,,,,,,
2014,YEAR,2014,,,,,,,,,,,,,,,,,,
2015,YEAR,2015,,,,,,,,,,,,,,,,,,
2016,YEAR,2016,,,,,,,,,,,,,,,,,,
2017,YEAR,2017,,,,,,,,,,,,,,,,,,
2018,YEAR,2018,,,,,,,,,,,,,,,,,,
2019,YEAR,2019,,,,,,,,,,,,,,,,,,
2020,YEAR,2020,,,,,,,,,,,,,,,,,,
2021,YEAR,2021,,,,,,,,,,,,,,,,,,
2022,YEAR,2022,,,,,,,,,,,,,,,,,,
2023,YEAR,2023,,,,,,,,,,,,,,,,,,
2024,YEAR,2024,,,,,,,,,,,,,,,,,,
1º trimestre,MONTH,03,,,,,,,,,,,,,,,,,,
2º trimestre,MONTH,06,,,,,,,,,,,,,,,,,,
3º trimestre,MONTH,09,,,,,,,,,,,,,,,,,,
4º trimestre,MONTH,12,,,,,,,,,,,,,,,,,,
