key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6
"Population at the first day of the quarter by region, time, marital status, age and sex",measuredProperty,count,populationType,Person,,,,,,,,
Men,gender,Male,value,{Number},populationType,Person,measuredProperty,count,,,,
Women,gender,Female,value,{Number},populationType,Person,measuredProperty,count,,,,
Total,,,value,{Number},populationType,Person,measuredProperty,count,,,,
Never married,maritalStatus,NeverMarried,measuredProperty,count,statType,measuredValue,populationType,Person,#Header,maritalStatus,,
Married/separated,maritalStatus,MarriedOrSeparated,measuredProperty,count,statType,measuredValue,populationType,Person,#Header,maritalStatus,,
Widowed,maritalStatus,Widowed,measuredProperty,count,statType,measuredValue,populationType,Person,#Header,maritalStatus,,
Divorced,maritalStatus,Divorced,measuredProperty,count,statType,measuredValue,populationType,Person,#Header,maritalStatus,,
,,,,,,,,,,,,
2008Q1,observationDate,2008-03,#Header,observationDate,,,,,,,,
2008Q2,observationDate,2008-06,#Header,observationDate,,,,,,,,
2008Q3,observationDate,2008-09,#Header,observationDate,,,,,,,,
2008Q4,observationDate,2008-12,#Header,observationDate,,,,,,,,
2009Q1,observationDate,2009-03,#Header,observationDate,,,,,,,,
2009Q2,observationDate,2009-06,#Header,observationDate,,,,,,,,
2009Q3,observationDate,2009-09,#Header,observationDate,,,,,,,,
2009Q4,observationDate,2009-12,#Header,observationDate,,,,,,,,
2010Q1,observationDate,2010-03,#Header,observationDate,,,,,,,,
2010Q2,observationDate,2010-06,#Header,observationDate,,,,,,,,
2010Q3,observationDate,2010-09,#Header,observationDate,,,,,,,,
2010Q4,observationDate,2010-12,#Header,observationDate,,,,,,,,
2011Q1,observationDate,2011-03,#Header,observationDate,,,,,,,,
2011Q2,observationDate,2011-06,#Header,observationDate,,,,,,,,
2011Q3,observationDate,2011-09,#Header,observationDate,,,,,,,,
2011Q4,observationDate,2011-12,#Header,observationDate,,,,,,,,
2012Q1,observationDate,2012-03,#Header,observationDate,,,,,,,,
2012Q2,observationDate,2012-06,#Header,observationDate,,,,,,,,
2012Q3,observationDate,2012-09,#Header,observationDate,,,,,,,,
2012Q4,observationDate,2012-12,#Header,observationDate,,,,,,,,
2013Q1,observationDate,2013-03,#Header,observationDate,,,,,,,,
2013Q2,observationDate,2013-06,#Header,observationDate,,,,,,,,
2013Q3,observationDate,2013-09,#Header,observationDate,,,,,,,,
2013Q4,observationDate,2013-12,#Header,observationDate,,,,,,,,
2014Q1,observationDate,2014-03,#Header,observationDate,,,,,,,,
2014Q2,observationDate,2014-06,#Header,observationDate,,,,,,,,
2014Q3,observationDate,2014-09,#Header,observationDate,,,,,,,,
2014Q4,observationDate,2014-12,#Header,observationDate,,,,,,,,
2015Q1,observationDate,2015-03,#Header,observationDate,,,,,,,,
2015Q2,observationDate,2015-06,#Header,observationDate,,,,,,,,
2015Q3,observationDate,2015-09,#Header,observationDate,,,,,,,,
2015Q4,observationDate,2015-12,#Header,observationDate,,,,,,,,
2016Q1,observationDate,2016-03,#Header,observationDate,,,,,,,,
2016Q2,observationDate,2016-06,#Header,observationDate,,,,,,,,
2016Q3,observationDate,2016-09,#Header,observationDate,,,,,,,,
2016Q4,observationDate,2016-12,#Header,observationDate,,,,,,,,
2017Q1,observationDate,2017-03,#Header,observationDate,,,,,,,,
2017Q2,observationDate,2017-06,#Header,observationDate,,,,,,,,
2017Q3,observationDate,2017-09,#Header,observationDate,,,,,,,,
2017Q4,observationDate,2017-12,#Header,observationDate,,,,,,,,
2018Q1,observationDate,2018-03,#Header,observationDate,,,,,,,,
2018Q2,observationDate,2018-06,#Header,observationDate,,,,,,,,
2018Q3,observationDate,2018-09,#Header,observationDate,,,,,,,,
2018Q4,observationDate,2018-12,#Header,observationDate,,,,,,,,
2019Q1,observationDate,2019-03,#Header,observationDate,,,,,,,,
2019Q2,observationDate,2019-06,#Header,observationDate,,,,,,,,
2019Q3,observationDate,2019-09,#Header,observationDate,,,,,,,,
2019Q4,observationDate,2019-12,#Header,observationDate,,,,,,,,
2020Q1,observationDate,2020-03,#Header,observationDate,,,,,,,,
2020Q2,observationDate,2020-06,#Header,observationDate,,,,,,,,
2020Q3,observationDate,2020-09,#Header,observationDate,,,,,,,,
2020Q4,observationDate,2020-12,#Header,observationDate,,,,,,,,
2021Q1,observationDate,2021-03,#Header,observationDate,,,,,,,,
2021Q2,observationDate,2021-06,#Header,observationDate,,,,,,,,
2021Q3,observationDate,2021-09,#Header,observationDate,,,,,,,,
2021Q4,observationDate,2021-12,#Header,observationDate,,,,,,,,
2022Q1,observationDate,2022-03,#Header,observationDate,,,,,,,,
2022Q2,observationDate,2022-06,#Header,observationDate,,,,,,,,
2022Q3,observationDate,2022-09,#Header,observationDate,,,,,,,,
2022Q4,observationDate,2022-12,#Header,observationDate,,,,,,,,
2023Q1,observationDate,2023-03,#Header,observationDate,,,,,,,,
2023Q2,observationDate,2023-06,#Header,observationDate,,,,,,,,
2023Q3,observationDate,2023-09,#Header,observationDate,,,,,,,,
2023Q4,observationDate,2023-12,#Header,observationDate,,,,,,,,
2024Q1,observationDate,2024-03,#Header,observationDate,,,,,,,,
2024Q2,observationDate,2024-06,#Header,observationDate,,,,,,,,
2024Q3,observationDate,2024-09,#Header,observationDate,,,,,,,,
2024Q4,observationDate,2024-12,#Header,observationDate,,,,,,,,
2025Q1,observationDate,2025-03,#Header,observationDate,,,,,,,,
2025Q2,observationDate,2025-06,#Header,observationDate,,,,,,,,
2025Q3,observationDate,2025-09,#Header,observationDate,,,,,,,,
2025Q4,observationDate,2025-12,#Header,observationDate,,,,,,,,
,,,,,,,,,,,,
All Denmark,observationAbout,country/DNK,#Header,observationAbout,,,,,,,,
Region Hovedstaden,observationAbout,nuts/DK01,#Header,observationAbout,,,,,,,,
Region Copenhagen,observationAbout,wikidataId/Q1748,#Header,observationAbout,,,,,,,,
Region Frederiksberg,observationAbout,wikidataId/Q30096,#Header,observationAbout,,,,,,,,
Region Dragør,observationAbout,wikidataId/Q1255278,#Header,observationAbout,,,,,,,,
Region Tårnby,observationAbout,wikidataId/Q28173,#Header,observationAbout,,,,,,,,
Region Albertslund,observationAbout,wikidataId/Q493833,#Header,observationAbout,,,,,,,,
Region Ballerup,observationAbout,wikidataId/Q28143,#Header,observationAbout,,,,,,,,
Region Brøndby,observationAbout,wikidataId/Q484038,#Header,observationAbout,,,,,,,,
Region Gentofte,observationAbout,wikidataId/Q3255441,#Header,observationAbout,,,,,,,,
Region Gladsaxe,observationAbout,wikidataId/Q484018,#Header,observationAbout,,,,,,,,
Region Glostrup,observationAbout,wikidataId/Q3226599,#Header,observationAbout,,,,,,,,
Region Herlev,observationAbout,wikidataId/Q3646715,#Header,observationAbout,,,,,,,,
Region Hvidovre,observationAbout,wikidataId/Q3590079,#Header,observationAbout,,,,,,,,
Region Høje-Taastrup,observationAbout,wikidataId/Q499400,#Header,observationAbout,,,,,,,,
Region Ishøj,observationAbout,wikidataId/Q3196979,#Header,observationAbout,,,,,,,,
Region Lyngby-Taarbæk,observationAbout,wikidataId/Q493826,#Header,observationAbout,,,,,,,,
Region Rødovre,observationAbout,wikidataId/Q503097,#Header,observationAbout,,,,,,,,
Region Vallensbæk,observationAbout,wikidataId/Q514844,#Header,observationAbout,,,,,,,,
Region Allerød,observationAbout,wikidataId/Q656234,#Header,observationAbout,,,,,,,,
Region Egedal,observationAbout,wikidataId/Q505113,#Header,observationAbout,,,,,,,,
Region Fredensborg,observationAbout,wikidataId/Q565436,#Header,observationAbout,,,,,,,,
Region Frederikssund,observationAbout,wikidataId/Q3223801,#Header,observationAbout,,,,,,,,
