Station,City,Latitude,Longitude,District,LgdCode,Coordinates,dcid,site_id
Secretariat,Amaravati,16.5045615,80.5235168,Guntur,506,[LatLong 16.5045615 80.5235168],cpcbAq/506_Secretariat_Amaravati,site_1406
AnandKalaKshetram,Rajamahendravaram,16.9955344,81.777335,Eastgodavari,505,[LatLong 16.9955344 81.777335],cpcbAq/505_AnandKalaKshetram_Rajamahendravaram,site_1399
Tirumala,Tirupati,13.6807357,79.3508975,Chittoor,503,[LatLong 13.6807357 79.3508975],cpcbAq/503_Tirumala_Tirupati,site_258
GVMCorporation,Visakhapatnam,17.6868159,83.2184815,Vishakhapatnam,520,[LatLong 17.6868159 83.2184815],cpcbAq/520_GVMCorporation_Visakhapatnam,site_260
Naharlagun,Naharlagun,27.1086309,93.6983979,Papumpare,237,[LatLong 27.1086309 93.6983979],cpcbAq/237_Naharlagun_Naharlagun,site_5446
PanBazaar,Guwahati,26.1859679,91.7453642,Kamrup,291,[LatLong 26.1859679 91.7453642],cpcbAq/291_PanBazaar_Guwahati,site_5417
RailwayColony,Guwahati,26.1795873,91.784315,Kamrup,291,[LatLong 26.1795873 91.784315],cpcbAq/291_RailwayColony_Guwahati,site_5073
KharahiyaBasti,Araria,26.1475707,87.4566817,Araria,188,[LatLong 26.1475707 87.4566817],cpcbAq/188_KharahiyaBasti_Araria,site_5539
NewDMOffice,Arrah,25.5626095,84.663264,Bhojpur,193,[LatLong 25.5626095 84.663264],cpcbAq/193_NewDMOffice_Arrah,site_5538
GurdeoNagar,Aurangabad,24.7548649,84.3680054,Aurangabad,189,[LatLong 24.7548649 84.3680054],cpcbAq/189_GurdeoNagar_Aurangabad,site_5544
DRCCAnandpur,Begusarai,25.4445895,86.1396248,Begusarai,191,[LatLong 25.4445895 86.1396248],cpcbAq/191_DRCCAnandpur_Begusarai,site_5540
KamalnathNagar,Bettiah,26.8040197,84.5104212,Pashchimchamparan,211,[LatLong 26.8040197 84.5104212],cpcbAq/211_KamalnathNagar_Bettiah,site_5476
DMOfficeKachariChowk,Bhagalpur,25.2506776,86.9897915,Bhagalpur,192,[LatLong 25.2506776 86.9897915],cpcbAq/192_DMOfficeKachariChowk_Bhagalpur,site_5543
Mayaganj,Bhagalpur,25.2610043,87.0086927,Bhagalpur,192,[LatLong 25.2610043 87.0086927],cpcbAq/192_Mayaganj_Bhagalpur,site_5541
DMColony,BiharSharif,25.2033713,85.5142297,Nalanda,209,[LatLong 25.2033713 85.5142297],cpcbAq/209_DMColony_BiharSharif,site_5481
CentralJail,Buxar,25.5580341,83.9499487,Buxar,194,[LatLong 25.5580341 83.9499487],cpcbAq/194_CentralJail_Buxar,site_5542
DarshanNagar,Chhapra,25.7827064,84.7459203,Saran,218,[LatLong 25.7827064 84.7459203],cpcbAq/218_DarshanNagar_Chhapra,site_5545
TownHall,Darbhanga,26.1513632,85.8913812,Darbhanga,195,[LatLong 26.1513632 85.8913812],cpcbAq/195_TownHall_Darbhanga,site_5477
Collectorate,Gaya,24.7910392,85.006364,Gaya,196,[LatLong 24.7910392 85.006364],cpcbAq/196_Collectorate_Gaya,site_159
Kareemganj,Gaya,24.7953413,84.9882548,Gaya,196,[LatLong 24.7953413 84.9882548],cpcbAq/196_Kareemganj_Gaya,site_5548
SFTIKusdihra,Gaya,24.762915,84.9819212,Gaya,196,[LatLong 24.762915 84.9819212],cpcbAq/196_SFTIKusdihra_Gaya,site_5338
IndustrialArea,Hajipur,25.6927811,85.2401164,Vaishali,224,[LatLong 25.6927811 85.2401164],cpcbAq/224_IndustrialArea_Hajipur,site_5337
Mirchaibari,Katihar,25.5626421,87.5628552,Katihar,201,[LatLong 25.5626421 87.5628552],cpcbAq/201_Mirchaibari_Katihar,site_5546
