"NumObservationsDates","MeasurementMethods","observationPeriods","MinDate","MinValue","MaxValue","NumObservations","Units","StatVar","NumPlaces","MaxDate","ScalingFactors"
"17","[]","[P3M]","2022-03","2.1","17.5","561","[Percent]","Count_Person_Years14Onwards_Unemployed_AsAFractionOf_Count_Person_Years14Onwards","33","2026-03","[100]"
"17","[]","[P3M]","2022-03","47.1","71.4","561","[Percent]","Count_Person_Years14Onwards_InLaborForce_AsAFractionOf_Count_Person_Years14Onwards","33","2026-03","[100]"
