"StatVar","NumPlaces","MinDate","MeasurementMethods","Units","ScalingFactors","observationPeriods"
"Monthly_Income_Person_Years14Onwards_Employed_IncomeActuallyReceived","33","2022-03","[]","[BRL]","[]","[P3M]"
"Monthly_Income_Person_Years14Onwards_Employed","33","2022-03","[]","[BRL]","[]","[P3M]"
