Year,Place,StatVar,Quantity
2021,country/USA,dcid:Count_Person,0100000US
2021,geoId/01,dcid:Count_Person,0400000US01
2021,geoId/10,dcid:Count_Person,0400000US10
2021,country/USA,dcid:Count_Person_Civilian_Employed,157510982.0
2021,geoId/01,dcid:Count_Person_Civilian_Employed,2173597.0
2021,geoId/10,dcid:Count_Person_Civilian_Employed,464457.0
2021,country/USA,dcid:MarginOfError_Count_Person_Civilian_Employed,152056
2021,geoId/01,dcid:MarginOfError_Count_Person_Civilian_Employed,8587
2021,geoId/10,dcid:MarginOfError_Count_Person_Civilian_Employed,3408
2021,country/USA,dcid:Count_Person_NAICSAgricultureForestryFishingHuntingMiningQuarryingOilGasExtraction,2614109.0
2021,geoId/01,dcid:Count_Person_NAICSAgricultureForestryFishingHuntingMiningQuarryingOilGasExtraction,29983.0
2021,geoId/10,dcid:Count_Person_NAICSAgricultureForestryFishingHuntingMiningQuarryingOilGasExtraction,5016.0
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSAgricultureForestryFishingHuntingMiningQuarryingOilGasExtraction,15405
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSAgricultureForestryFishingHuntingMiningQuarryingOilGasExtraction,1866
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSAgricultureForestryFishingHuntingMiningQuarryingOilGasExtraction,506
2021,country/USA,dcid:Count_Person_NAICSConstruction,10717186.0
2021,geoId/01,dcid:Count_Person_NAICSConstruction,149793.0
2021,geoId/10,dcid:Count_Person_NAICSConstruction,32401.0
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSConstruction,55411
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSConstruction,2881
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSConstruction,1697
2021,country/USA,dcid:Count_Person_NAICSManufacturing,15786008.0
2021,geoId/01,dcid:Count_Person_NAICSManufacturing,308175.0
2021,geoId/10,dcid:Count_Person_NAICSManufacturing,35798.0
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSManufacturing,41164
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSManufacturing,4531
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSManufacturing,1519
2021,country/USA,dcid:Count_Person_NAICSWholesaleTrade,3916817.0
2021,geoId/01,dcid:Count_Person_NAICSWholesaleTrade,51966.0
2021,geoId/10,dcid:Count_Person_NAICSWholesaleTrade,9225.0
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSWholesaleTrade,16547
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSWholesaleTrade,1840
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSWholesaleTrade,909
2021,country/USA,dcid:Count_Person_NAICSRetailTrade,17253259.0
2021,geoId/01,dcid:Count_Person_NAICSRetailTrade,253980.0
2021,geoId/10,dcid:Count_Person_NAICSRetailTrade,54896.0
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSRetailTrade,36331
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSRetailTrade,4506
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSRetailTrade,1993
2021,country/USA,dcid:Count_Person_NAICSTransportationWarehousingUtilities,8905978.0
2021,geoId/01,dcid:Count_Person_NAICSTransportationWarehousingUtilities,122807.0
2021,geoId/10,dcid:Count_Person_NAICSTransportationWarehousingUtilities,27096.0
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSTransportationWarehousingUtilities,24489
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSTransportationWarehousingUtilities,2828
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSTransportationWarehousingUtilities,1753
2021,country/USA,dcid:Count_Person_NAICSInformation,3031263.0
2021,geoId/01,dcid:Count_Person_NAICSInformation,29916.0
2021,geoId/10,dcid:Count_Person_NAICSInformation,5656.0
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSInformation,18532
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSInformation,1623
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSInformation,536
2021,country/USA,dcid:Count_Person_NAICSFinanceInsuranceRealEstateRentalLeasing,10483270.0
2021,geoId/01,dcid:Count_Person_NAICSFinanceInsuranceRealEstateRentalLeasing,120530.0
2021,geoId/10,dcid:Count_Person_NAICSFinanceInsuranceRealEstateRentalLeasing,43753.0
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSFinanceInsuranceRealEstateRentalLeasing,35839
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSFinanceInsuranceRealEstateRentalLeasing,2900
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSFinanceInsuranceRealEstateRentalLeasing,1815
2021,country/USA,dcid:Count_Person_NAICSProfessionalScientificTechnicalServicesManagementOfCompaniesEnterprisesAdministrativeSupportWasteManagementRemediationServices,18817926.0
2021,geoId/01,dcid:Count_Person_NAICSProfessionalScientificTechnicalServicesManagementOfCompaniesEnterprisesAdministrativeSupportWasteManagementRemediationServices,211643.0
2021,geoId/10,dcid:Count_Person_NAICSProfessionalScientificTechnicalServicesManagementOfCompaniesEnterprisesAdministrativeSupportWasteManagementRemediationServices,49475.0
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSProfessionalScientificTechnicalServicesManagementOfCompaniesEnterprisesAdministrativeSupportWasteManagementRemediationServices,48271
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSProfessionalScientificTechnicalServicesManagementOfCompaniesEnterprisesAdministrativeSupportWasteManagementRemediationServices,4449
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSProfessionalScientificTechnicalServicesManagementOfCompaniesEnterprisesAdministrativeSupportWasteManagementRemediationServices,1707
2021,country/USA,dcid:Count_Person_NAICSEducationalServicesHealthCareSocialAssistance,36753702.0
2021,geoId/01,dcid:Count_Person_NAICSEducationalServicesHealthCareSocialAssistance,491023.0
2021,geoId/10,dcid:Count_Person_NAICSEducationalServicesHealthCareSocialAssistance,115342.0
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSEducationalServicesHealthCareSocialAssistance,132563
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSEducationalServicesHealthCareSocialAssistance,6131
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSEducationalServicesHealthCareSocialAssistance,2536
2021,country/USA,dcid:Count_Person_NAICSArtsEntertainmentRecreationAccommodationFoodServices,14346635.0
2021,geoId/01,dcid:Count_Person_NAICSArtsEntertainmentRecreationAccommodationFoodServices,180361.0
2021,geoId/10,dcid:Count_Person_NAICSArtsEntertainmentRecreationAccommodationFoodServices,39634.0
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSArtsEntertainmentRecreationAccommodationFoodServices,51784
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSArtsEntertainmentRecreationAccommodationFoodServices,4070
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSArtsEntertainmentRecreationAccommodationFoodServices,1735
2021,country/USA,dcid:Count_Person_NAICSOtherServices,7485169.0
2021,geoId/01,dcid:Count_Person_NAICSOtherServices,105226.0
2021,geoId/10,dcid:Count_Person_NAICSOtherServices,18962.0
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSOtherServices,26555
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSOtherServices,2975
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSOtherServices,1085
2021,country/USA,dcid:Count_Person_NAICSPublicAdministration,7399660.0
2021,geoId/01,dcid:Count_Person_NAICSPublicAdministration,118194.0
2021,geoId/10,dcid:Count_Person_NAICSPublicAdministration,27203.0
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSPublicAdministration,40051
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSPublicAdministration,2854
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSPublicAdministration,1619
2021,country/USA,dcid:Count_Person_SOCManagementBusinessScienceArtsOccupation,63476925.746
2021,geoId/01,dcid:Count_Person_SOCManagementBusinessScienceArtsOccupation,784668.517
2021,geoId/10,dcid:Count_Person_SOCManagementBusinessScienceArtsOccupation,191820.741
2021,country/USA,dcid:MarginOfError_Count_Person_SOCManagementBusinessScienceArtsOccupation,157510.982
2021,geoId/01,dcid:MarginOfError_Count_Person_SOCManagementBusinessScienceArtsOccupation,6520.791
2021,geoId/10,dcid:MarginOfError_Count_Person_SOCManagementBusinessScienceArtsOccupation,2786.742
2021,country/USA,dcid:Count_Person_NAICSAgricultureForestryFishingHuntingMiningQuarryingOilGasExtraction_SOCManagementBusinessScienceArtsOccupation,920166.368
2021,geoId/01,dcid:Count_Person_NAICSAgricultureForestryFishingHuntingMiningQuarryingOilGasExtraction_SOCManagementBusinessScienceArtsOccupation,9864.407
2021,geoId/10,dcid:Count_Person_NAICSAgricultureForestryFishingHuntingMiningQuarryingOilGasExtraction_SOCManagementBusinessScienceArtsOccupation,1635.216
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSAgricultureForestryFishingHuntingMiningQuarryingOilGasExtraction_SOCManagementBusinessScienceArtsOccupation,7842.327
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSAgricultureForestryFishingHuntingMiningQuarryingOilGasExtraction_SOCManagementBusinessScienceArtsOccupation,839.524
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSAgricultureForestryFishingHuntingMiningQuarryingOilGasExtraction_SOCManagementBusinessScienceArtsOccupation,305.976
2021,country/USA,dcid:Count_Person_NAICSConstruction_SOCManagementBusinessScienceArtsOccupation,2207740.316
2021,geoId/01,dcid:Count_Person_NAICSConstruction_SOCManagementBusinessScienceArtsOccupation,31007.151
2021,geoId/10,dcid:Count_Person_NAICSConstruction_SOCManagementBusinessScienceArtsOccupation,5767.378
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSConstruction_SOCManagementBusinessScienceArtsOccupation,10717.186
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSConstruction_SOCManagementBusinessScienceArtsOccupation,1497.93
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSConstruction_SOCManagementBusinessScienceArtsOccupation,583.218
2021,country/USA,dcid:Count_Person_NAICSManufacturing_SOCManagementBusinessScienceArtsOccupation,5130452.6
2021,geoId/01,dcid:Count_Person_NAICSManufacturing_SOCManagementBusinessScienceArtsOccupation,65641.275
2021,geoId/10,dcid:Count_Person_NAICSManufacturing_SOCManagementBusinessScienceArtsOccupation,14104.412
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSManufacturing_SOCManagementBusinessScienceArtsOccupation,31572.016
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSManufacturing_SOCManagementBusinessScienceArtsOccupation,1849.05
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSManufacturing_SOCManagementBusinessScienceArtsOccupation,715.96
2021,country/USA,dcid:Count_Person_NAICSWholesaleTrade_SOCManagementBusinessScienceArtsOccupation,834282.021
2021,geoId/01,dcid:Count_Person_NAICSWholesaleTrade_SOCManagementBusinessScienceArtsOccupation,9613.71
2021,geoId/10,dcid:Count_Person_NAICSWholesaleTrade_SOCManagementBusinessScienceArtsOccupation,2011.05
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSWholesaleTrade_SOCManagementBusinessScienceArtsOccupation,7833.634
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSWholesaleTrade_SOCManagementBusinessScienceArtsOccupation,727.524
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSWholesaleTrade_SOCManagementBusinessScienceArtsOccupation,322.875
2021,country/USA,dcid:Count_Person_NAICSRetailTrade_SOCManagementBusinessScienceArtsOccupation,2294683.447
2021,geoId/01,dcid:Count_Person_NAICSRetailTrade_SOCManagementBusinessScienceArtsOccupation,28191.78
2021,geoId/10,dcid:Count_Person_NAICSRetailTrade_SOCManagementBusinessScienceArtsOccupation,6477.728
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSRetailTrade_SOCManagementBusinessScienceArtsOccupation,17253.259
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSRetailTrade_SOCManagementBusinessScienceArtsOccupation,1269.9
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSRetailTrade_SOCManagementBusinessScienceArtsOccupation,768.544
2021,country/USA,dcid:Count_Person_NAICSTransportationWarehousingUtilities_SOCManagementBusinessScienceArtsOccupation,1326990.722
2021,geoId/01,dcid:Count_Person_NAICSTransportationWarehousingUtilities_SOCManagementBusinessScienceArtsOccupation,18666.664
2021,geoId/10,dcid:Count_Person_NAICSTransportationWarehousingUtilities_SOCManagementBusinessScienceArtsOccupation,3820.536
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSTransportationWarehousingUtilities_SOCManagementBusinessScienceArtsOccupation,8905.978
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSTransportationWarehousingUtilities_SOCManagementBusinessScienceArtsOccupation,1105.263
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSTransportationWarehousingUtilities_SOCManagementBusinessScienceArtsOccupation,541.92
2021,country/USA,dcid:Count_Person_NAICSInformation_SOCManagementBusinessScienceArtsOccupation,1897570.638
2021,geoId/01,dcid:Count_Person_NAICSInformation_SOCManagementBusinessScienceArtsOccupation,14808.42
2021,geoId/10,dcid:Count_Person_NAICSInformation_SOCManagementBusinessScienceArtsOccupation,2895.872
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSInformation_SOCManagementBusinessScienceArtsOccupation,9093.789
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSInformation_SOCManagementBusinessScienceArtsOccupation,717.984
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSInformation_SOCManagementBusinessScienceArtsOccupation,305.424
2021,country/USA,dcid:Count_Person_NAICSFinanceInsuranceRealEstateRentalLeasing_SOCManagementBusinessScienceArtsOccupation,5388400.78
2021,geoId/01,dcid:Count_Person_NAICSFinanceInsuranceRealEstateRentalLeasing_SOCManagementBusinessScienceArtsOccupation,55805.39
2021,geoId/10,dcid:Count_Person_NAICSFinanceInsuranceRealEstateRentalLeasing_SOCManagementBusinessScienceArtsOccupation,26033.035
2021,country/USA,dcid:MarginOfError_Count_Person_NAICSFinanceInsuranceRealEstateRentalLeasing_SOCManagementBusinessScienceArtsOccupation,20966.54
2021,geoId/01,dcid:MarginOfError_Count_Person_NAICSFinanceInsuranceRealEstateRentalLeasing_SOCManagementBusinessScienceArtsOccupation,1566.89
2021,geoId/10,dcid:MarginOfError_Count_Person_NAICSFinanceInsuranceRealEstateRentalLeasing_SOCManagementBusinessScienceArtsOccupation,918.813
2021,country/USA,dcid:Count_Person_NAICSProfessionalScientificTechnicalServicesManagementOfCompaniesEnterprisesAdministrativeSupportWasteManagementRemediationServices_SOCManagementBusinessScienceArtsOccupation,11121394.266
2021,geoId/01,dcid:Count_Person_NAICSProfessionalScientificTechnicalServicesManagementOfCompaniesEnterprisesAdministrativeSupportWasteManagementRemediationServices_SOCManagementBusinessScienceArtsOccupation,111535.861
