statvar,dcid
Hourly_Mean_Earnings_Employee_NAICSConstruction,Hourly_Mean_Earnings_Employee_Construction
Hourly_Mean_Earnings_Employee_NAICSFinancialActivities,Hourly_Mean_Earnings_Employee_FinancialActivities
Hourly_Mean_Earnings_Employee_NAICSGoodsProducing,Hourly_Mean_Earnings_Employee_GoodsProducing
Hourly_Mean_Earnings_Employee_NAICSInformation,Hourly_Mean_Earnings_Employee_Information
Hourly_Mean_Earnings_Employee_NAICSLeisureHospitality,Hourly_Mean_Earnings_Employee_LeisureHospitality
Hourly_Mean_Earnings_Employee_NAICSManufacturing,Hourly_Mean_Earnings_Employee_Manufacturing
Hourly_Mean_Earnings_Employee_NAICSOtherServices,Hourly_Mean_Earnings_Employee_OtherServices
Hourly_Mean_Earnings_Employee_NAICSProfessionalBusinessServices,Hourly_Mean_Earnings_Employee_ProfessionalBusinessServices
Hourly_Mean_Earnings_Employee_NAICSRetailTrade,Hourly_Mean_Earnings_Employee_RetailTrade
Hourly_Mean_Earnings_Employee_NAICSTradeTransportationUtilities,Hourly_Mean_Earnings_Employee_TradeTransportationUtilities
Hourly_Mean_Earnings_Employee_NAICSTransportationWarehousing,Hourly_Mean_Earnings_Employee_TransportationWarehousing
Hourly_Mean_Earnings_Employee_NAICSUtilities,Hourly_Mean_Earnings_Employee_Utilities
Hourly_Mean_Earnings_Employee_NAICSWholesaleTrade,Hourly_Mean_Earnings_Employee_WholesaleTrade
Hourly_Mean_Earnings_Employee_PrivatelyOwnedEstablishment,
Hourly_Mean_Earnings_Employee_PrivatelyOwnedEstablishment_NAICSEducationHealthServices,Hourly_Mean_Earnings_Employee_PrivatelyOwnedEstablishment_EducationHealthServices
Hourly_Mean_Earnings_Employee_PrivatelyOwnedEstablishment_NAICSServiceProviding,Hourly_Mean_Earnings_Employee_PrivatelyOwnedEstablishment_ServiceProviding
Hourly_MeanValue_Earnings_Employee_NAICS/JOLTS_110099,Hourly_Mean_Earnings_Employee_MiningAndLogging
Hourly_MeanValue_Earnings_Employee_NAICS/JOLTS_320000,Hourly_Mean_Earnings_Employee_DurableGoodsManufacturing
Hourly_MeanValue_Earnings_Employee_NAICS/JOLTS_340000,Hourly_Mean_Earnings_Employee_NondurableGoodsManufacturing
,
MeanValue_UsualHoursWorked_Employee_NAICS/JOLTS_110099,Mean_UsualHoursWorked_Employee_MiningAndLogging
MeanValue_UsualHoursWorked_Employee_NAICS/JOLTS_320000,Mean_UsualHoursWorked_Employee_DurableGoodsManufacturing
MeanValue_UsualHoursWorked_Employee_NAICS/JOLTS_340000,Mean_UsualHoursWorked_Employee_NondurableGoodsManufacturing
MeanValue_WeeklyOvertimeWorkedHours_Employee_NAICS/JOLTS_320000,Mean_WeeklyOvertimeWorkedHours_Employee_DurableGoodsManufacturing
MeanValue_WeeklyOvertimeWorkedHours_Employee_NAICS/JOLTS_340000,Mean_WeeklyOvertimeWorkedHours_Employee_NondurableGoodsManufacturing
Mean_UsualHoursWorked_Employee_NAICSConstruction,Mean_UsualHoursWorked_Employee_Construction
Mean_UsualHoursWorked_Employee_NAICSFinancialActivities,Mean_UsualHoursWorked_Employee_FinancialActivities
Mean_UsualHoursWorked_Employee_NAICSGoodsProducing,Mean_UsualHoursWorked_Employee_GoodsProducing
Mean_UsualHoursWorked_Employee_NAICSInformation,Mean_UsualHoursWorked_Employee_Information
Mean_UsualHoursWorked_Employee_NAICSLeisureHospitality,Mean_UsualHoursWorked_Employee_LeisureHospitality
Mean_UsualHoursWorked_Employee_NAICSManufacturing,Mean_UsualHoursWorked_Employee_Manufacturing
Mean_UsualHoursWorked_Employee_NAICSOtherServices,Mean_UsualHoursWorked_Employee_OtherServices
Mean_UsualHoursWorked_Employee_NAICSProfessionalBusinessServices,Mean_UsualHoursWorked_Employee_ProfessionalBusinessServices
Mean_UsualHoursWorked_Employee_NAICSRetailTrade,Mean_UsualHoursWorked_Employee_RetailTrade
Mean_UsualHoursWorked_Employee_NAICSTradeTransportationUtilities,Mean_UsualHoursWorked_Employee_TradeTransportationUtilities
Mean_UsualHoursWorked_Employee_NAICSTransportationWarehousing,Mean_UsualHoursWorked_Employee_TransportationWarehousing
Mean_UsualHoursWorked_Employee_NAICSUtilities,Mean_UsualHoursWorked_Employee_Utilities
Mean_UsualHoursWorked_Employee_NAICSWholesaleTrade,Mean_UsualHoursWorked_Employee_WholesaleTrade
Mean_UsualHoursWorked_Employee_PrivatelyOwnedEstablishment,
Mean_UsualHoursWorked_Employee_PrivatelyOwnedEstablishment_NAICSEducationHealthServices,Mean_UsualHoursWorked_Employee_PrivatelyOwnedEstablishment_EducationHealthServices
Mean_UsualHoursWorked_Employee_PrivatelyOwnedEstablishment_NAICSServiceProviding,Mean_UsualHoursWorked_Employee_PrivatelyOwnedEstablishment_ServiceProviding
Mean_WeeklyOvertimeWorkedHours_Employee_NAICSManufacturing,Mean_WeeklyOvertimeWorkedHours_Employee_Manufacturing
Weekly_Mean_Earnings_Employee_NAICSConstruction,Weekly_Mean_Earnings_Employee_Construction
Weekly_Mean_Earnings_Employee_NAICSFinancialActivities,Weekly_Mean_Earnings_Employee_FinancialActivities
Weekly_Mean_Earnings_Employee_NAICSGoodsProducing,Weekly_Mean_Earnings_Employee_GoodsProducing
Weekly_Mean_Earnings_Employee_NAICSInformation,Weekly_Mean_Earnings_Employee_Information
Weekly_Mean_Earnings_Employee_NAICSLeisureHospitality,Weekly_Mean_Earnings_Employee_LeisureHospitality
Weekly_Mean_Earnings_Employee_NAICSManufacturing,Weekly_Mean_Earnings_Employee_Manufacturing
Weekly_Mean_Earnings_Employee_NAICSOtherServices,Weekly_Mean_Earnings_Employee_OtherServices
Weekly_Mean_Earnings_Employee_NAICSProfessionalBusinessServices,Weekly_Mean_Earnings_Employee_ProfessionalBusinessServices
Weekly_Mean_Earnings_Employee_NAICSRetailTrade,Weekly_Mean_Earnings_Employee_RetailTrade
Weekly_Mean_Earnings_Employee_NAICSTradeTransportationUtilities,Weekly_Mean_Earnings_Employee_TradeTransportationUtilities
Weekly_Mean_Earnings_Employee_NAICSTransportationWarehousing,Weekly_Mean_Earnings_Employee_TransportationWarehousing
Weekly_Mean_Earnings_Employee_NAICSUtilities,Weekly_Mean_Earnings_Employee_Utilities
Weekly_Mean_Earnings_Employee_NAICSWholesaleTrade,Weekly_Mean_Earnings_Employee_WholesaleTrade
Weekly_Mean_Earnings_Employee_PrivatelyOwnedEstablishment,
Weekly_Mean_Earnings_Employee_PrivatelyOwnedEstablishment_NAICSEducationHealthServices,Weekly_Mean_Earnings_Employee_PrivatelyOwnedEstablishment_EducationHealthServices
Weekly_Mean_Earnings_Employee_PrivatelyOwnedEstablishment_NAICSServiceProviding,Weekly_Mean_Earnings_Employee_PrivatelyOwnedEstablishment_ServiceProviding
Weekly_MeanValue_Earnings_Employee_NAICS/JOLTS_110099,Weekly_Mean_Earnings_Employee_MiningAndLogging
Weekly_MeanValue_Earnings_Employee_NAICS/JOLTS_320000,Weekly_Mean_Earnings_Employee_DurableGoodsManufacturing
Weekly_MeanValue_Earnings_Employee_NAICS/JOLTS_340000,Weekly_Mean_Earnings_Employee_NondurableGoodsManufacturing
Count_Person_BLS_Employed_NAICS/JOLTS_000000,Count_Person_Employed_TotalNonfarm
Count_Person_Employed_PrivatelyOwnedEstablishmentEstablishment,
Count_Person_Employed_NAICSGoodsProducing,Count_Person_Employed_GoodsProducing
Count_Person_BLS_Employed_NAICS/JOLTS_110099,Count_Person_Employed_MiningAndLogging
Count_Person_BLS_Employed_NAICS/1133,Count_Person_Employed_Logging
Count_Person_Employed_NAICSMiningQuarryingOilGasExtraction,Count_Person_Employed_MiningQuarryingOilGasExtraction
Count_Person_BLS_Employed_NAICS/211,Count_Person_Employed_OilAndGasExtraction
Count_Person_BLS_Employed_NAICS/212,Count_Person_Employed_MiningExceptOilAndGas
Count_Person_BLS_Employed_NAICS/2121,Count_Person_Employed_CoalMining
Count_Person_BLS_Employed_NAICS/2122,Count_Person_Employed_MetalOreMining
Count_Person_BLS_Employed_NAICS/2123,Count_Person_Employed_NonmetallicMineralMiningAndQuarrying
Count_Person_BLS_Employed_NAICS/213,Count_Person_Employed_SupportActivitiesForMining
Count_Person_Employed_NAICSConstruction,Count_Person_Employed_Construction
Count_Person_BLS_Employed_NAICS/236,Count_Person_Employed_ConstructionOfBuildings
