frequenc,sex,age,isced97,time\geo	BE 	BG 	CZ 	EL 	ES 	CY 	LV 	HU 	MT 	RO 	SI 	SK 
DAY,F,TOTAL,ED0-2,2008	0.9 u	: 	: 	0.1 	0.1 	: 	0.3 	: 	: 	0.1 	: 	: 
DAY,F,TOTAL,ED3_4,2008	0.2 	: 	0.1 	: 	0.1 	: 	0.1 	: 	: 	0.0 	: 	: 
DAY,F,TOTAL,ED5_6,2008	0.5 	: 	: 	0.1 	0.1 	: 	: 	: 	: 	: 	: 	: 
DAY,F,TOTAL,TOTAL,2008	0.5 u	: 	0.1 	0.0 	0.1 	: 	0.1 	: 	: 	0.0 	: 	: 
DAY,F,Y15-24,ED0-2,2008	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 
DAY,F,Y15-24,ED3_4,2008	: 	: 	: 	: 	0.3 	: 	: 	: 	: 	: 	: 	: 
DAY,F,Y15-24,TOTAL,2008	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 
DAY,F,Y25-34,ED0-2,2008	: 	: 	: 	: 	: 	: 	1.7 	: 	: 	0.5 	: 	: 
DAY,F,Y25-34,ED5_6,2008	0.2 	: 	: 	0.3 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,F,Y25-34,TOTAL,2008	0.1 	: 	: 	0.1 	: 	: 	0.3 	: 	: 	0.1 	: 	: 
DAY,F,Y35-44,ED0-2,2008	0.2 	: 	: 	: 	0.0 	: 	: 	: 	: 	: 	: 	: 
DAY,F,Y35-44,ED5_6,2008	0.2 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 
DAY,F,Y35-44,TOTAL,2008	0.1 	: 	: 	: 	0.0 	: 	: 	: 	: 	: 	: 	: 
DAY,F,Y45-54,ED0-2,2008	3.0 	: 	: 	0.3 	: 	: 	1.1 	: 	: 	: 	: 	: 
DAY,F,Y45-54,ED3_4,2008	: 	: 	: 	: 	: 	: 	0.4 	: 	: 	0.1 	: 	: 
DAY,F,Y45-54,ED5_6,2008	1.3 	: 	: 	: 	0.3 	: 	: 	: 	: 	: 	: 	: 
DAY,F,Y45-54,TOTAL,2008	1.4 	: 	: 	0.1 	0.1 	: 	0.3 	: 	: 	0.1 	: 	: 
DAY,F,Y55-64,ED0-2,2008	1.0 	: 	: 	: 	0.2 	: 	0.9 	: 	: 	0.1 	: 	: 
DAY,F,Y55-64,ED3_4,2008	1.0 	: 	0.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,F,Y55-64,ED5_6,2008	1.0 	: 	: 	: 	0.4 	: 	: 	: 	: 	: 	: 	: 
DAY,F,Y55-64,TOTAL,2008	1.0 	: 	0.4 	: 	0.2 	: 	0.2 	: 	: 	0.1 	: 	: 
DAY,F,Y65-74,ED0-2,2008	0.3 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 	: 	: 
DAY,F,Y65-74,ED3_4,2008	0.4 u	: 	: 	: 	: 	: 	0.5 	: 	: 	: 	: 	: 
DAY,F,Y65-74,TOTAL,2008	0.3 	: 	: 	: 	0.1 	: 	0.2 	: 	: 	: 	: 	: 
DAY,F,Y75-84,ED0-2,2008	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1 	: 	: 
DAY,F,Y75-84,TOTAL,2008	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1 	: 	: 
DAY,F,Y_GE85,ED0-2,2008	0.6 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,F,Y_GE85,TOTAL,2008	0.4 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,M,TOTAL,ED0-2,2008	2.7 u	0.4 	1.1 	0.7 	0.6 	0.2 	1.8 	1.0 	1.5 	0.9 	2.0 	0.3 
DAY,M,TOTAL,ED3_4,2008	1.4 	0.4 	4.1 	0.6 	0.7 	0.2 	1.1 	0.4 	0.9 	0.7 	0.8 	0.6 
DAY,M,TOTAL,ED5_6,2008	1.4 	0.5 	1.6 	0.3 	0.4 	0.3 	0.4 	0.3 	0.4 	0.2 	0.6 	: 
DAY,M,TOTAL,TOTAL,2008	1.8 	0.4 	3.4 	0.5 	0.6 	0.2 	1.2 	0.5 	1.0 	0.7 	1.0 	0.4 
DAY,M,Y15-24,ED0-2,2008	8.1 u	: 	: 	: 	: 	: 	0.4 	0.5 	: 	: 	1.7 	: 
DAY,M,Y15-24,ED3_4,2008	0.2 u	: 	: 	: 	: 	: 	0.5 	0.4 	1.4 	0.2 	1.9 	: 
DAY,M,Y15-24,TOTAL,2008	1.9 u	: 	: 	: 	: 	: 	0.4 	0.4 	1.1 	0.1 	1.7 	: 
DAY,M,Y25-34,ED0-2,2008	2.1 u	: 	: 	0.4 	: 	1.3 	3.2 	: 	: 	0.5 	: 	: 
DAY,M,Y25-34,ED3_4,2008	2.3 u	: 	5.1 	: 	0.4 	: 	1.3 	: 	0.7 	0.5 	1.1 	: 
DAY,M,Y25-34,ED5_6,2008	: 	: 	5.5 u	: 	0.2 	: 	: 	: 	: 	: 	: 	: 
DAY,M,Y25-34,TOTAL,2008	1.3 u	: 	4.9 	0.1 	0.2 	0.2 	1.6 	: 	0.4 	0.4 	0.8 	: 
DAY,M,Y35-44,ED0-2,2008	1.9 u	: 	: 	0.9 	0.4 	: 	4.9 	: 	: 	2.0 	3.4 u	: 
DAY,M,Y35-44,ED3_4,2008	1.8 	0.5 	3.7 	: 	0.5 	0.5 	0.6 	1.2 	: 	0.4 	: 	0.6 
DAY,M,Y35-44,ED5_6,2008	0.9 	: 	: 	: 	0.2 	1.0 	: 	: 	: 	: 	: 	: 
DAY,M,Y35-44,TOTAL,2008	1.4 	0.3 	3.0 	0.2 	0.3 	0.6 	1.3 	0.8 	: 	0.5 	0.4 	0.7 
DAY,M,Y45-54,ED0-2,2008	3.7 u	: 	: 	0.3 	1.5 	: 	1.3 	3.8 	2.3 	3.2 	: 	: 
DAY,M,Y45-54,ED3_4,2008	: 	1.0 	5.6 	2.1 	1.0 	0.7 	2.6 	: 	1.7 	1.2 	: 	0.3 
DAY,M,Y45-54,ED5_6,2008	2.5 	1.5 	: 	1.2 	0.5 	: 	: 	: 	: 	0.5 	: 	: 
DAY,M,Y45-54,TOTAL,2008	2.1 	0.9 	4.5 	1.2 	1.1 	0.3 	1.8 	0.5 	1.6 	1.5 	: 	0.2 
DAY,M,Y55-64,ED0-2,2008	3.8 	1.2 	: 	1.3 	1.2 	: 	3.9 	1.8 	0.7 	1.1 	5.6 u	: 
DAY,M,Y55-64,ED3_4,2008	2.6 	0.4 	3.2 	2.5 	2.7 	: 	0.4 	0.7 	0.9 	1.4 	2.4 	1.3 
DAY,M,Y55-64,ED5_6,2008	3.5 	1.3 	: 	: 	1.0 	: 	1.8 	: 	3.5 u	: 	4.2 u	: 
DAY,M,Y55-64,TOTAL,2008	3.4 	0.8 	3.4 	1.3 	1.4 	: 	1.7 	0.7 	1.0 	1.2 	3.4 	1.0 
DAY,M,Y65-74,ED0-2,2008	1.8 u	1.1 	: 	0.9 	0.7 	: 	1.1 	1.8 	4.0 	1.9 	: 	: 
DAY,M,Y65-74,ED3_4,2008	2.3 	0.8 	9.4 	: 	1.1 	: 	0.8 	0.6 	: 	1.4 	: 	2.9 
DAY,M,Y65-74,ED5_6,2008	: 	: 	: 	: 	0.7 	: 	2.1 u	2.8 u	: 	1.4 	: 	: 
DAY,M,Y65-74,TOTAL,2008	1.6 	0.8 	7.2 	0.6 	0.8 	: 	1.1 	1.4 	2.3 	1.7 	: 	1.9 
DAY,M,Y75-84,ED0-2,2008	0.5 u	: 	: 	0.9 	0.3 	0.7 	: 	: 	: 	: 	: 	: 
DAY,M,Y75-84,ED3_4,2008	: 	: 	2.1 u	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,M,Y75-84,ED5_6,2008	1.0 	: 	: 	: 	1.2 	: 	: 	: 	: 	: 	: 	: 
DAY,M,Y75-84,TOTAL,2008	0.5 u	: 	1.2 	0.7 	0.4 	0.5 	: 	: 	: 	: 	1.5 	: 
DAY,T,TOTAL,ED0-2,2008	1.7 u	0.2 	0.4 	0.3 	0.3 	0.1 	1.1 	0.4 	0.6 	0.4 	0.8 	0.1 
DAY,T,TOTAL,ED3_4,2008	0.8 	0.2 	2.1 	0.3 	0.4 	0.1 	0.6 	0.2 	0.4 	0.4 	0.5 	0.3 
DAY,T,TOTAL,ED5_6,2008	0.9 	0.2 	0.9 	0.2 	0.2 	0.1 	0.1 	0.1 	0.2 	0.1 	0.3 	: 
DAY,T,TOTAL,TOTAL,2008	1.2 u	0.2 	1.7 	0.3 	0.3 	0.1 	0.6 	0.3 	0.5 	0.4 	0.5 	0.2 
DAY,T,Y15-24,ED0-2,2008	5.2 u	: 	: 	: 	0.0 	: 	0.2 	0.2 	: 	: 	0.9 	: 
DAY,T,Y15-24,ED3_4,2008	0.1 	: 	: 	: 	0.2 	: 	0.3 	0.2 	0.7 	0.1 	1.0 	: 
DAY,T,Y15-24,TOTAL,2008	1.0 	: 	: 	: 	0.1 	: 	0.2 	0.2 	0.5 	0.0 	0.9 	: 
DAY,T,Y25-34,ED0-2,2008	1.1 u	: 	: 	0.2 	: 	0.7 	2.6 	: 	: 	0.5 	: 	: 
DAY,T,Y25-34,ED3_4,2008	1.1 u	: 	2.8 	: 	0.2 	: 	0.7 	: 	0.3 	0.2 	0.6 	: 
DAY,T,Y25-34,ED5_6,2008	0.1 	: 	2.4 	0.2 	0.1 	: 	: 	: 	: 	: 	: 	: 
DAY,T,Y25-34,TOTAL,2008	0.7 	: 	2.6 	0.1 	0.1 	0.1 	0.9 	: 	0.2 	0.2 	0.4 	: 
DAY,T,Y35-44,ED0-2,2008	1.1 u	: 	: 	0.5 	0.2 	: 	3.2 	: 	: 	0.9 	1.7 u	: 
DAY,T,Y35-44,ED3_4,2008	0.9 	0.2 	1.7 	: 	0.3 	0.2 	0.3 	0.7 	: 	0.2 	: 	0.3 
DAY,T,Y35-44,ED5_6,2008	0.5 	: 	: 	: 	0.1 	0.5 	: 	: 	: 	: 	: 	: 
DAY,T,Y35-44,TOTAL,2008	0.8 	0.1 	1.4 	0.1 	0.2 	0.3 	0.6 	0.4 	: 	0.3 	0.2 	0.4 
DAY,T,Y45-54,ED0-2,2008	3.4 u	: 	: 	0.3 	0.7 	: 	1.2 	1.3 	1.0 	1.1 	: 	: 
DAY,T,Y45-54,ED3_4,2008	: 	0.5 	2.8 	0.9 	0.5 	0.4 	1.4 	: 	0.8 	0.7 	: 	0.2 
DAY,T,Y45-54,ED5_6,2008	1.9 	0.6 	: 	0.7 	0.4 	: 	: 	: 	: 	0.2 	: 	: 
DAY,T,Y45-54,TOTAL,2008	1.8 	0.4 	2.3 	0.7 	0.6 	0.2 	1.0 	0.2 	0.8 	0.7 	: 	0.1 
DAY,T,Y55-64,ED0-2,2008	2.3 	0.6 	3.5 	0.5 	0.6 	: 	2.5 	0.5 	0.3 	0.5 	2.0 	: 
DAY,T,Y55-64,ED3_4,2008	1.7 	0.2 	2.0 	1.3 	1.3 	: 	0.2 	0.4 	0.5 	0.8 	1.4 	0.6 
DAY,T,Y55-64,ED5_6,2008	2.4 	0.5 	: 	: 	0.8 	: 	0.7 	: 	2.1 	: 	2.1 u	: 
DAY,T,Y55-64,TOTAL,2008	2.2 	0.4 	1.9 	0.6 	0.8 	: 	0.8 	0.3 	0.5 	0.6 	1.7 	0.5 
DAY,T,Y65-74,ED0-2,2008	0.9 u	0.4 	: 	0.4 	0.4 	: 	0.4 	0.6 	1.5 	0.7 	: 	: 
DAY,T,Y65-74,ED3_4,2008	1.3 	0.3 	4.3 	: 	0.6 	: 	0.6 	0.3 	: 	0.8 	: 	1.3 
DAY,T,Y65-74,ED5_6,2008	: 	: 	: 	: 	0.5 	: 	0.8 	1.2 	: 	0.8 	: 	: 
DAY,T,Y65-74,TOTAL,2008	0.9 	0.3 	3.0 	0.3 	0.4 	: 	0.5 	0.6 	1.1 	0.7 	: 	0.8 
DAY,T,Y75-84,ED0-2,2008	0.2 u	: 	: 	0.4 	0.1 	0.2 	: 	: 	: 	0.1 	0.9 	: 
DAY,T,Y75-84,ED3_4,2008	: 	: 	0.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,T,Y75-84,ED5_6,2008	0.6 u	: 	: 	: 	0.8 	: 	: 	: 	: 	: 	: 	: 
DAY,T,Y75-84,TOTAL,2008	0.2 u	: 	0.4 	0.3 	0.2 	0.2 	: 	: 	: 	0.1 	0.5 	: 
DAY,T,Y_GE85,ED0-2,2008	0.4 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DAY,T,Y_GE85,TOTAL,2008	0.3 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
