unit,quant_inc,sex,age,time\geo	EU27_2020 	EU28 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	IS 	NO 	UK 	TR 
PC,QU1,F,TOTAL,2014	1.8 	2.6 e	3.2 	1.2 	0.6 	8.7 	3.5 	0.5 	6.1 	0.2 	0.9 	0.2 	2.1 	0 	1.4 	1.7 	3.9 	1.5 	1.2 	0.7 	0.8 	1.1 	1.1 	0.5 	0.4 	6.3 	2.4 	0.5 	2.5 	8.9 	0.1 
PC,QU1,F,Y15-24,2014	2.0 	2.7 e	1.7 	1.0 	1.8 	6.3 	4.8 	1.2 	10.3 u	0.2 	0.6 	0 u	0.3 	0 	4.1 	0 	9.2 	0 	: u	2.4 	1.3 	0.2 	0.4 	4.5 u	0 	9.0 	2.1 	2.7 	2.4 	8.3 	0 
PC,QU1,F,Y15-29,2014	1.9 	2.8 e	2.7 	0.7 	1.1 	4.1 	4.8 	1.0 	9.1 	0.2 	0.9 	0 	0.7 	0 	3.1 	1.1 	6.6 	0 	0 u	2.3 	0.9 	0.5 	0.6 	2.7 	0 	8.8 	2.0 	1.8 	2.3 	9.0 	0.1 
PC,QU1,F,Y15-64,2014	1.7 	2.7 e	3.5 	1.5 	0.7 	6.7 	3.9 	0.6 	6.8 	0.2 	1.0 	0.2 	1.5 	0 	1.8 	2.1 	4.4 	2.3 	2.3 	0.9 	1.0 	0.9 	1.0 	0.5 	0.4 	8.8 	2.2 	0.6 	2.9 	10.6 	0.2 
PC,QU1,F,Y18-24,2014	2.2 	3.0 e	2.4 	1.2 	2.4 	6.5 	4.7 	2.0 	15.2 u	0.3 	0.1 	0 u	0.5 	0 	6.7 	0 u	12.1 	0 u	: u	2.9 	1.9 	0.3 	0.6 	3.9 u	0 	9.3 	2.7 	1.8 	3.1 	8.6 	0 
PC,QU1,F,Y18-44,2014	1.5 	2.4 e	2.3 	1.3 	0.9 	5.2 	3.5 	0.5 	7.7 	0.3 	1.1 	0 	1.1 	0 	2.0 	0.5 	4.5 	0 	1.9 	1.7 	1.1 	1.3 	0.4 	0.7 	0.2 	8.9 	2.6 	0.5 	3.1 	8.7 	0.3 
PC,QU1,F,Y18-64,2014	1.8 	2.8 e	3.7 	1.6 	0.7 	6.8 	3.8 	0.6 	7.1 	0.3 	1.0 	0.2 	1.6 	0 	2.0 	2.3 	4.7 	2.4 	2.3 	1.0 	1.0 	0.9 	1.1 	0.3 	0.4 	8.9 	2.6 	0.3 	3.1 	10.7 	0.2 
PC,QU1,F,Y25-34,2014	1.4 	2.5 e	2.7 	0 	0.6 	3.2 	3.0 	0 	5.1 	0.2 	1.2 	0 u	2.1 	0 	0 	1.3 	0 	0 	1.5 u	1.1 	1.3 	1.2 	0.5 	0 	0 	8.3 	1.2 	0 	1.3 	9.1 	0.7 
PC,QU1,F,Y25-64,2014	1.7 	2.7 e	4.0 	1.6 	0.4 	7.0 	3.5 	0.4 	6.2 	0.2 	1.1 	0.3 	1.7 	0 	1.4 	2.5 	2.9 	2.7 	2.5 	0.3 	0.9 	1.0 	1.2 	0 	0.5 	8.6 	2.4 	0 	3.2 	11.2 	0.2 
PC,QU1,F,Y35-44,2014	1.1 	1.8 e	1.8 	2.4 	0.4 	5.7 u	2.3 	0 	7.0 	0.4 	1.6 	0 u	0.7 	0 	0.7 	0 	1.5 	0 	3.2 u	0 	0.4 	2.1 	0.2 	0 	0.6 	8.7 u	6.0 u	0 	5.5 	8.3 	0.1 
PC,QU1,F,Y45-54,2014	2.2 	3.6 e	4.8 	4.4 	0.7 	9.1 u	4.6 	1.5 	5.2 	0.2 	0.9 	0 u	2.3 	0 	2.4 	5.0 	2.2 	6.2 	7.2 u	0.3 	1.0 	1.0 	2.8 	0 	1.7 	13.3 	0 u	0 u	3.2 	14.9 	0 
PC,QU1,F,Y45-64,2014	2.1 	3.4 e	6.3 	1.8 	0.4 	11.7 	4.2 	0.7 	6.3 	0.2 	0.8 	0.5 	2.2 	0 	1.9 	4.4 	5.1 	4.0 	2.6 	0.2 	1.0 	0.6 	2.2 	0 	0.8 	8.8 	2.3 u	0 	3.2 	14.0 	0 
PC,QU1,F,Y55-64,2014	1.9 	3.1 e	8.1 	0 	0 	13.6 	3.7 	0 	7.6 	0.2 	0.7 	1.0 	2.0 	0 	1.5 	3.5 	10.7 u	2.8 	0.7 	0 	0.9 	0.1 	1.8 	0 	0 	3.8 	4.1 u	0 u	3.2 	12.9 	0 
PC,QU1,F,Y65-74,2014	2.5 	3.1 e	0 	1.0 	0.6 	15.8 	3.5 	0 u	5.1 	0.6 	0 	0 u	4.9 	0 u	0.5 	0 	: u	1.7 	0.5 	0.4 	0.2 	1.6 	1.2 	0 	0 u	2.3 	6.7 u	0 u	2.6 	6.9 	0 
PC,QU1,F,Y_GE18,2014	1.8 	2.7 e	3.3 	1.2 	0.6 	8.7 	3.4 	0.5 	6.4 	0.3 	0.8 	0.2 	2.3 	0 	1.5 	1.8 	4.1 	1.6 	1.2 	0.8 	0.9 	1.2 	1.2 	0.4 	0.4 	6.2 	2.8 	0.2 	2.7 	8.9 	0.2 
PC,QU1,F,Y_GE65,2014	1.9 	2.3 e	2.3 	0.6 	0.3 	11.2 	2.6 	0 	2.7 	0.3 	0 	0 	5.2 	0 	0.5 	0 	0 u	0.7 	0.2 	0.2 	0.2 	1.8 	1.4 	0.6 	0 	1.3 	3.3 	0 	1.5 	4.9 	0 
PC,QU1,F,Y_GE75,2014	1.3 	1.6 e	3.6 	0 	0 	6.6 	1.5 	0 u	0 	0 	0 	0 	5.7 	0 	0.5 	0 	: u	0 	0 	0 	0.2 	2.0 	1.4 	0.9 	0 u	0.6 	0 u	0 	1.1 	3.2 	0 
PC,QU1,M,TOTAL,2014	4.2 	4.7 e	3.8 	2.5 	4.6 	10.4 	5.4 	2.4 	6.9 	2.3 	2.8 	1.6 	3.1 	1.3 	11.1 	8.1 	3.1 	10.1 	5.6 	1.3 	4.6 	11.4 	12.1 	6.3 	2.5 	8.6 	2.0 	1.7 	2.1 	9.2 	1.1 
PC,QU1,M,Y15-24,2014	1.7 	2.2 e	4.5 	0 	1.3 	8.7 u	3.6 	2.5 	8.8 u	1.2 	0 	0 	0.4 	1.1 	7.2 	0 	0 u	4.1 	7.9 u	1.9 	0.3 	2.2 	0.3 	0 u	0 	8.6 	2.2 	0 	2.1 	7.9 	1.0 
PC,QU1,M,Y15-29,2014	2.0 	2.5 e	2.6 	0 	0.9 	10.4 	3.3 	1.9 	7.3 	1.1 	0.7 	0 	0.6 	0.7 	13.8 	6.4 	0 	2.7 	7.0 u	1.7 	0.4 	4.5 	4.3 	2.4 	0.9 	7.5 	2.3 	0.8 	2.8 	8.8 	1.3 
PC,QU1,M,Y15-64,2014	4.2 	4.8 e	5.0 	2.9 	4.8 	13.1 	5.7 	2.3 	6.8 	2.1 	2.8 	1.3 	2.5 	1.4 	11.7 	8.9 	3.4 	9.9 	6.6 	1.3 	4.5 	11.8 	12.5 	6.2 	2.4 	10.8 	1.9 	1.8 	2.4 	10.5 	1.2 
PC,QU1,M,Y18-24,2014	2.1 	2.6 e	1.9 	0 u	1.8 	10.0 u	4.3 	4.8 u	10.5 u	1.8 	0 	0 u	0.6 	1.5 	10.8 	0 u	0 u	5.4 	: u	2.6 	0.5 	3.5 	0.4 	0 u	0 	10.4 u	2.9 	0 	2.7 	7.7 	1.6 
PC,QU1,M,Y18-44,2014	3.3 	3.8 e	1.7 	0.8 	2.1 	10.9 	5.2 	2.5 	6.9 	1.8 	1.0 	0 	2.0 	0.4 	14.5 	7.8 	3.1 	6.2 	1.6 u	1.8 	3.0 	10.6 	11.0 	4.0 	0.5 	8.2 	2.5 	1.9 	2.8 	8.4 	1.3 
PC,QU1,M,Y18-64,2014	4.5 	5.1 e	4.7 	3.0 	5.1 	13.6 	6.1 	2.6 	7.0 	2.3 	3.0 	1.4 	2.7 	1.5 	12.6 	9.6 	3.6 	10.3 	5.9 	1.4 	5.0 	13.0 	13.4 	6.4 	2.5 	11.3 	2.1 	2.1 	2.6 	10.6 	1.3 
PC,QU1,M,Y25-34,2014	3.4 	3.7 e	1.6 	1.0 	1.2 u	10.6 u	3.8 	3.6 u	5.4 	3.5 	2.5 	0 u	1.0 	0 	21.0 	13.7 	0 u	2.5 	: u	0.9 	4.4 	10.0 	14.3 	2.8 u	1.5 	2.3 u	2.3 	1.4 	2.7 	7.1 	1.3 
PC,QU1,M,Y25-64,2014	5.1 	5.7 e	5.1 	3.5 	6.0 	15.2 	6.6 	2.2 	6.4 	2.4 	3.6 	1.7 	3.0 	1.5 	12.9 	11.1 	4.7 	11.0 	6.3 	1.1 	5.9 	14.9 	15.6 	6.9 	3.1 	11.6 	1.0 	2.7 	2.5 	11.2 	1.2 
PC,QU1,M,Y35-44,2014	4.3 	4.9 e	1.8 	1.0 	3.1 	14.3 u	8.6 	0 u	6.0 	0 	0.5 	0 u	3.5 	0 	10.5 	7.3 	9.8 u	9.4 	: u	1.7 	3.9 	17.0 	14.2 	6.2 u	0 	11.2 u	0 u	5.4 u	3.2 	10.5 	1.3 
PC,QU1,M,Y45-54,2014	6.1 	6.5 e	10.0 	5.2 	5.9 	19.2 u	9.6 	0.4 	5.7 	3.9 	4.7 	0 	1.6 	4.8 	13.7 	13.7 	2.2 u	15.3 	7.1 u	1.2 	5.2 	16.9 	19.4 	8.0 	1.5 	22.2 	0 u	2.2 u	0.7 	10.5 	1.6 
PC,QU1,M,Y45-64,2014	6.3 	7.1 e	9.9 	5.7 	9.8 	21.0 	7.3 	2.6 	7.1 	2.9 	5.9 	2.9 	3.7 	3.6 	10.7 	11.7 	4.5 	14.2 	8.3 	0.9 	7.3 	16.1 	17.2 	8.3 	5.6 	16.3 	0 	2.6 	1.9 	13.5 	1.2 
PC,QU1,M,Y55-64,2014	6.6 	7.7 e	9.6 	6.2 	13.8 	22.5 u	4.1 	5.5 	8.7 	1.4 	7.8 	5.6 	6.5 	2.3 	8.0 	8.8 	8.0 u	13.3 	8.8 	0.4 	9.6 	15.1 	14.9 	8.8 	9.2 	10.6 	: u	3.0 u	3.7 	16.6 	0.7 
PC,QU1,M,Y65-74,2014	5.1 	5.3 e	0 	1.9 	4.2 	4.7 	4.9 	2.5 u	6.9 	4.9 	6.6 	6.1 u	7.1 	0 u	7.3 	0 	: u	11.2 	7.2 	0 	8.2 	9.5 	10.7 	2.2 u	0 u	3.5 	: u	0 u	2.0 u	6.9 	0 
PC,QU1,M,Y_GE18,2014	4.5 	5.0 e	3.6 	2.6 	4.9 	10.7 	5.7 	2.7 	7.0 	2.4 	3.0 	1.7 	3.2 	1.3 	11.8 	8.6 	3.3 	10.4 	5.3 	1.4 	5.0 	12.3 	12.9 	6.5 	2.6 	8.9 	2.2 	1.9 	2.3 	9.2 	1.2 
PC,QU1,M,Y_GE65,2014	4.3 	4.3 e	0 	1.2 	3.8 	5.3 	4.6 	3.0 	7.2 	3.3 	3.2 	3.1 	6.1 	0 	6.3 	3.8 	0 u	10.9 	4.5 	0.9 	5.4 	9.8 	10.1 	6.8 	4.2 u	1.8 	3.7 u	1.3 	0.7 	4.8 	0.5 
PC,QU1,M,Y_GE75,2014	3.4 	3.3 e	0 	0 	3.2 	5.9 	4.3 	3.9 u	7.7 	0.7 u	0 	0 u	4.5 	0 u	4.2 u	9.0 u	: u	10.3 u	0.9 	2.2 u	0 u	10.1 	9.4 	10.0 u	: u	0 	: u	1.9 	0 	2.8 	1.2 
PC,QU1,T,TOTAL,2014	2.9 	3.5 e	3.5 	1.7 	2.2 	9.4 	4.4 	1.3 	6.5 	1.2 	1.8 	0.8 	2.6 	0.6 	5.1 	4.7 	3.5 	4.9 	3.1 	1.0 	2.5 	5.4 	6.2 	2.8 	1.3 	7.3 	2.2 	1.1 	2.3 	9.0 	0.6 
PC,QU1,T,Y15-24,2014	1.8 	2.4 e	2.8 	0.5 	1.5 	7.4 	4.2 	1.8 	9.5 	0.7 	0.3 	0 	0.4 	0.5 	5.7 	0 	4.7 	2.2 	5.1 u	2.1 	0.8 	1.1 	0.3 	2.6 	0 	8.8 	2.1 	1.1 	2.2 	8.2 	0.5 
PC,QU1,T,Y15-29,2014	1.9 	2.6 e	2.6 	0.3 	1.0 	7.1 	4.1 	1.4 	8.2 	0.6 	0.8 	0 	0.7 	0.3 	8.7 	3.9 	3.6 	1.5 	4.0 	2.0 	0.6 	2.4 	2.6 	2.5 	0.4 	8.3 	2.2 	1.2 	2.5 	9.0 	0.7 
PC,QU1,T,Y15-64,2014	2.9 	3.7 e	4.2 	2.2 	2.5 	9.7 	4.7 	1.3 	6.8 	1.1 	1.9 	0.8 	2.0 	0.7 	6.2 	5.3 	4.0 	6.1 	4.3 	1.1 	2.7 	5.7 	7.0 	3.2 	1.3 	9.7 	2.0 	1.2 	2.6 	10.5 	0.7 
PC,QU1,T,Y18-24,2014	2.1 	2.8 e	2.2 	0.7 	2.1 	8.0 	4.5 	3.2 	12.6 u	0.9 	0.1 	0 	0.5 	0.8 	8.9 	0 	6.2 	2.8 	2.4 u	2.7 	1.2 	1.7 	0.5 	2.3 	0 	9.8 	2.8 	0.8 	2.9 	8.2 	0.7 
PC,QU1,T,Y18-44,2014	2.3 	3.0 e	2.1 	1.1 	1.4 	7.8 	4.3 	1.4 	7.3 	0.9 	1.1 	0 	1.5 	0.2 	8.0 	4.0 	3.8 	3.4 	1.8 	1.7 	2.0 	5.5 	6.0 	2.3 	0.4 	8.6 	2.6 	1.2 	2.9 	8.6 	0.8 
PC,QU1,T,Y18-64,2014	3.0 	3.8 e	4.2 	2.2 	2.6 	10.0 	4.8 	1.5 	7.1 	1.2 	2.0 	0.8 	2.1 	0.7 	6.6 	5.7 	4.2 	6.4 	4.0 	1.2 	2.9 	6.2 	7.5 	3.2 	1.3 	10.0 	2.3 	1.2 	2.8 	10.6 	0.7 
PC,QU1,T,Y25-34,2014	2.3 	3.0 e	2.2 	0.5 	0.8 	6.9 	3.4 	1.5 	5.2 	1.8 	1.8 	0 	1.6 	0 	11.7 	7.2 	0 	1.3 	1.0 u	1.0 	2.6 	5.3 	7.7 	1.3 	0.6 	5.7 	1.7 	0.7 	2.1 	8.4 	1.0 
PC,QU1,T,Y25-64,2014	3.2 	4.1 e	4.5 	2.5 	2.7 	10.9 	4.9 	1.1 	6.3 	1.2 	2.3 	1.0 	2.3 	0.7 	6.3 	6.6 	3.7 	6.8 	4.2 	0.7 	3.2 	7.0 	8.8 	3.3 	1.6 	10.1 	1.8 	1.3 	2.8 	11.2 	0.7 
PC,QU1,T,Y35-44,2014	2.6 	3.2 e	1.8 	1.8 	1.4 	9.3 	5.1 	0 	6.5 	0.2 	1.1 	0 	2.0 	0 	4.5 	3.2 	5.1 	5.4 	2.0 u	0.8 	2.0 	8.8 	7.8 	3.1 	0.4 	10.1 	3.1 	2.1 	4.5 	9.2 	0.7 
PC,QU1,T,Y45-54,2014	4.0 	5.0 e	7.2 	4.8 	3.1 	14.2 	6.9 	1.0 	5.5 	1.9 	2.8 	0 	2.0 	2.1 	7.1 	9.1 	2.2 	11.0 	7.2 	0.7 	3.2 	7.5 	11.9 	4.4 	1.6 	17.8 	0 	1.0 	1.9 	13.0 	0.8 
PC,QU1,T,Y45-64,2014	4.1 	5.1 e	7.9 	3.6 	4.7 	16.1 	5.5 	1.6 	6.7 	1.4 	3.4 	1.8 	2.8 	1.7 	5.4 	7.9 	4.8 	8.7 	5.2 	0.5 	4.2 	7.0 	9.9 	3.9 	3.0 	12.7 	1.1 	1.2 	2.6 	13.8 	0.6 
PC,QU1,T,Y55-64,2014	4.1 	5.2 e	8.8 	2.7 	6.5 	17.7 	3.9 	2.3 	8.2 	0.8 	4.3 	3.4 	4.1 	1.2 	4.0 	6.1 	9.4 	7.3 	4.5 	0.2 	5.3 	6.3 	8.1 	3.4 	4.2 	7.4 	2.2 u	1.4 	3.4 	14.6 	0.3 
PC,QU1,T,Y65-74,2014	3.5 	4.0 e	0 	1.3 	1.6 	11.6 	4.1 	1.2 	5.9 	2.8 	2.9 	2.3 	5.9 	0 	2.3 	0 	0 u	4.4 	3.2 	0.2 	2.8 	4.8 	4.3 	0.6 	0 u	2.8 	6.5 	0 	2.4 	6.9 	0 
PC,QU1,T,Y_GE18,2014	3.0 	3.7 e	3.4 	1.8 	2.3 	9.6 	4.4 	1.4 	6.7 	1.2 	1.9 	0.9 	2.7 	0.6 	5.4 	5.0 	3.7 	5.1 	2.9 	1.0 	2.7 	5.8 	6.6 	2.8 	1.4 	7.4 	2.5 	1.0 	2.5 	9.1 	0.6 
PC,QU1,T,Y_GE65,2014	2.8 	3.0 e	1.4 	0.8 	1.2 	9.0 	3.4 	1.4 	4.6 	1.5 	1.4 	0.9 	5.6 	0 	1.7 	1.7 	0 	2.8 	1.9 	0.4 	1.6 	4.7 	3.8 	2.1 	1.7 	1.5 	3.4 	0.5 	1.2 	4.8 	0.2 
PC,QU1,T,Y_GE75,2014	2.0 	2.2 e	2.3 	0 	0.8 	6.4 	2.6 	1.6 	2.8 	0.2 	0 	0 	5.3 	0 	1.1 	3.8 	: u	1.3 	0.3 	0.6 	0.1 	4.6 	3.3 	3.0 	3.9 u	0.4 	0 	0.8 	0.8 	3.0 	0.5 
PC,QU2,F,TOTAL,2014	1.7 	2.4 e	1.6 	0.9 	1.2 	10.2 	3.2 	0.2 	3.1 	0.6 	0.8 	0.2 	2.7 	0 	0.4 	1.3 	3.8 	0.7 	2.2 	0.7 	0.5 	1.5 	1.5 	0.4 	0.4 	3.6 	2.8 	0.7 	1.9 	7.9 	0.1 
PC,QU2,F,Y15-24,2014	1.9 	2.2 e	1.7 	1.8 u	5.8 u	4.8 u	5.8 	1.7 u	3.1 u	0.3 	0.9 	0 u	0 	0 u	0 	0 	6.9 u	0 	8.5 u	0.4 	0.9 	0.1 	1.4 	2.9 	0 	7.0 	3.6 	1.5 	1.9 	5.2 	0 
PC,QU2,F,Y15-29,2014	1.8 	2.1 e	1.1 	1.3 	4.5 u	5.5 	5.0 	1.0 	2.2 	0.2 	1.9 	0 	0 	0 	0 	0 	3.6 	0 	6.1 	1.7 	0.9 	0.8 	1.1 	1.9 	0 	7.6 	2.4 	1.0 	2.9 	4.2 	0 
PC,QU2,F,Y15-64,2014	1.7 	2.6 e	1.9 	1.4 	1.9 	6.6 	3.4 	0.3 	3.9 	0.4 	1.0 	0.3 	2.3 	0 	0.5 	1.5 	2.4 	0.4 	2.6 	0.8 	0.6 	1.6 	1.7 	0.6 	0.5 	5.0 	2.7 	0.6 	2.3 	8.8 	0.1 
PC,QU2,F,Y18-24,2014	2.3 	2.6 e	3.2 u	2.5 u	4.8 u	5.9 u	6.7 	3.0 u	: u	0.4 u	1.4 	0 u	0 	0 u	0 	0 u	9.0 u	0 	12.1 u	0.5 	1.3 	0.2 	2.1 	4.4 	0 u	8.8 u	3.6 	2.4 u	3.0 	4.8 	0 
PC,QU2,F,Y18-44,2014	1.5 	2.4 e	1.4 	1.9 	2.0 	5.7 	3.4 	0.6 	3.3 	0.6 	1.6 	0 	1.2 	0 	1.1 	2.7 	1.6 	0 	4.7 	1.0 	0.8 	1.7 	1.4 	1.2 	0 	5.1 	1.4 	0.5 	3.0 	8.1 	0.1 
