"key","value"
"1:process_input_generated-svobs",2505
"1:process_input_generated-svobs-Investment_cleaned.csv",2505
"1:process_input_input-data-rows",2505
"1:process_input_input-files-processed",1
"1:process_input_input-header-rows",1
"1:process_input_input-rows-processed",2506
"1:process_input_input-sections",1
"1:process_input_num-rows-output/Investment_cleaned.csv",2724
"1:process_input_process-mem",4184449024
"1:process_input_process-mem-rss",1268891648
"1:process_input_process-time-sys-secs",1.49
"1:process_input_process-time-user-secs",56.41
"1:process_input_process_elapsed_time",2.23570313298367
"1:process_input_process_remaining_time",2.624676223957684
"1:process_input_processed",2506
"1:process_input_processing-input-rows-rate",1121.058202271389
"1:process_input_processing-input-rows-rate_output/Investment_cleaned.csv",1121.657761056293
"1:process_input_processing-time-seconds",2.234789993002778
"1:process_input_processing-time-seconds_output/Investment_cleaned.csv",2.234789993002778
"1:process_input_processing_rate",1120.900160235319
"1:process_input_start_time",152077.214119604
"1:process_input_total",5448
"1:process_input_warning-unresolved-value-ref",2543
"2:prepare_output_process-mem",4184449024
"2:prepare_output_process-mem-rss",1268891648
"2:prepare_output_process-time-sys-secs",1.49
"2:prepare_output_process-time-user-secs",56.43
"2:prepare_output_process_elapsed_time",0.012465684000542387
"2:prepare_output_processed",0
"2:prepare_output_start_time",152079.449957877
"3:write_statvar_mcf_process-mem",4184449024
"3:write_statvar_mcf_process-mem-rss",1269510144
"3:write_statvar_mcf_process-time-sys-secs",1.49
"3:write_statvar_mcf_process-time-user-secs",56.44
"3:write_statvar_mcf_process_elapsed_time",0.45461875700382515
"3:write_statvar_mcf_processed",0
"3:write_statvar_mcf_start_time",152079.46267283
"4:write_svobs_csv_process-mem",4184449024
"4:write_svobs_csv_process-mem-rss",1269510144
"4:write_svobs_csv_process-time-sys-secs",1.49
"4:write_svobs_csv_process-time-user-secs",56.49
"4:write_svobs_csv_process_elapsed_time",0.0538328020145651
"4:write_svobs_csv_processed",0
"4:write_svobs_csv_start_time",152079.917533467
"PVs-matched",48
"dropped-output-statvars-mcf",7
"error-input-ignore-node-diff",7
"error-node-merge-conflict",7
"existing-nodes-from-api",7
"existing-statvars-from-mcf",2505
"generated-statvars",2505
"generated-unique-statvars",7
"nodes-with-diff",7
"output-svobs-csv-rows",2505
"output-svobs-unique-observationAbout",58
"output-svobs-unique-observationDate",15
"output-svobs-unique-typeOf",1
"output-svobs-unique-unit",1
"output-svobs-unique-value",1882
"output-svobs-unique-variableMeasured",7
"process-mem",4183400448
"process-mem-rss",1268449280
"process-time-sys-secs",1.48
"process-time-user-secs",54.19
"process_elapsed_time",0.004051190999941901
"processed",0
"pvs-added",7
"pvs-added-definition",7
"start_time",152077.213573454
"svobs-added",2505
"warning-missing-property-key",105342
