Date,Location,CumulativePositiveCase
2020-02-25,nuts/ITC48,27
2020-02-25,nuts/ITC44,1
2020-02-25,nuts/ITC41,0
2020-02-25,nuts/ITI32,0
2020-02-25,nuts/ITI34,0
2020-02-25,nuts/ITI35,0
2020-02-25,nuts/ITI33,0
2020-02-25,nuts/ITI31,0
2020-02-25,nuts/ITF22,0
2020-02-25,nuts/ITF21,0
2020-02-25,nuts/ITC18,0
2020-02-25,nuts/ITC17,0
2020-02-25,nuts/ITC13,0
2020-02-25,nuts/ITC16,0
2020-02-25,nuts/ITC15,0
2020-02-25,nuts/ITC11,3
2020-02-25,nuts/ITC14,0
2020-02-25,nuts/ITC12,0
2020-02-25,nuts/ITF47,0
2020-02-25,nuts/ITF48,0
2020-02-25,nuts/ITF44,0
2020-02-25,nuts/ITF46,0
2020-02-25,nuts/ITF45,0
2020-02-25,nuts/ITF43,0
2020-02-25,nuts/ITG27,0
2020-02-25,nuts/ITG26,0
2020-02-25,nuts/ITG28,0
2020-02-25,nuts/ITG25,0
2020-02-25,nuts/ITG14,0
2020-02-25,nuts/ITG15,0
2020-02-25,nuts/ITG17,0
2020-02-25,nuts/ITG16,0
2020-02-25,nuts/ITG13,0
2020-02-25,nuts/ITG12,3
2020-02-25,nuts/ITG18,0
2020-02-25,nuts/ITG19,0
2020-02-25,nuts/ITG11,0
2020-02-25,nuts/ITI18,0
2020-02-25,nuts/ITI14,1
2020-02-25,nuts/ITI1A,0
2020-02-25,nuts/ITI16,0
2020-02-25,nuts/ITI12,0
2020-02-25,nuts/ITI11,0
2020-02-25,nuts/ITI17,0
2020-02-25,nuts/ITI13,1
2020-02-25,nuts/ITI15,0
2020-02-25,nuts/ITI19,0
2020-02-25,nuts/ITH20,0
2020-02-25,nuts/ITI21,0
2020-02-25,nuts/ITI22,0
2020-02-25,nuts/ITC20,0
2020-02-25,nuts/ITH33,0
2020-02-25,nuts/ITH36,30
2020-02-25,nuts/ITH37,0
2020-02-25,nuts/ITH34,1
2020-02-25,nuts/ITH35,7
2020-02-25,nuts/ITH31,0
2020-02-25,nuts/ITH32,0
2020-02-26,nuts/ITF14,0
2020-02-26,nuts/ITF11,0
2020-02-26,nuts/ITF13,0
2020-02-26,nuts/ITF12,0
2020-02-26,nuts/ITF52,0
2020-02-26,nuts/ITF51,0
2020-02-26,nuts/ITH10,1
2020-02-26,nuts/ITF63,0
2020-02-26,nuts/ITF61,0
2020-02-26,nuts/ITF62,0
2020-02-26,nuts/ITF65,0
2020-02-26,nuts/ITF64,0
2020-02-26,nuts/ITF34,0
2020-02-26,nuts/ITF32,0
2020-02-26,nuts/ITF31,0
2020-02-26,nuts/ITF33,0
2020-02-26,nuts/ITF35,0
2020-02-26,nuts/ITH55,0
2020-02-26,nuts/ITH56,0
2020-02-26,nuts/ITH58,0
2020-02-26,nuts/ITH54,8
2020-02-26,nuts/ITH52,8
2020-02-26,nuts/ITH51,28
2020-02-26,nuts/ITH57,0
2020-02-26,nuts/ITH53,0
2020-02-26,nuts/ITH59,3
2020-02-26,nuts/ITH43,0
2020-02-26,nuts/ITH41,0
2020-02-26,nuts/ITH44,0
2020-02-26,nuts/ITH42,0
2020-02-26,nuts/ITI45,0
2020-02-26,nuts/ITI44,0
2020-02-26,nuts/ITI42,0
2020-02-26,nuts/ITI43,3
2020-02-26,nuts/ITI41,0
2020-02-26,nuts/ITC33,0
2020-02-26,nuts/ITC31,0
2020-02-26,nuts/ITC34,1
2020-02-26,nuts/ITC32,10
2020-02-26,nuts/ITC46,20
2020-02-26,nuts/ITC47,2
2020-02-26,nuts/ITC42,0
2020-02-26,nuts/ITC4A,57
2020-02-26,nuts/ITC43,0
2020-02-26,nuts/ITC49,128
2020-02-26,nuts/ITC4B,0
2020-02-26,nuts/ITC4C,8
2020-02-26,nuts/ITC4D,4
2020-02-26,nuts/ITC48,27
2020-02-26,nuts/ITC44,3
2020-02-26,nuts/ITC41,0
2020-02-26,nuts/ITI32,0
2020-02-26,nuts/ITI34,0
2020-02-26,nuts/ITI35,0
2020-02-26,nuts/ITI33,0
2020-02-26,nuts/ITI31,1
2020-02-26,nuts/ITF22,0
2020-02-26,nuts/ITF21,0
2020-02-26,nuts/ITC18,0
2020-02-26,nuts/ITC17,0
2020-02-26,nuts/ITC13,0
2020-02-26,nuts/ITC16,0
2020-02-26,nuts/ITC15,0
2020-02-26,nuts/ITC11,3
2020-02-26,nuts/ITC14,0
2020-02-26,nuts/ITC12,0
2020-02-26,nuts/ITF47,0
2020-02-26,nuts/ITF48,0
2020-02-26,nuts/ITF44,0
2020-02-26,nuts/ITF46,0
2020-02-26,nuts/ITF45,0
2020-02-26,nuts/ITF43,0
2020-02-26,nuts/ITG27,0
2020-02-26,nuts/ITG26,0
2020-02-26,nuts/ITG28,0
2020-02-26,nuts/ITG25,0
2020-02-26,nuts/ITG14,0
2020-02-26,nuts/ITG15,0
2020-02-26,nuts/ITG17,0
2020-02-26,nuts/ITG16,0
2020-02-26,nuts/ITG13,0
2020-02-26,nuts/ITG12,3
2020-02-26,nuts/ITG18,0
2020-02-26,nuts/ITG19,0
2020-02-26,nuts/ITG11,0
