observationDate,observationAbout,value,variableMeasured
2003,country/POL,227016,dcid:Count_Person_0To2Years_Female_Rural
2004,country/POL,221828,dcid:Count_Person_0To2Years_Female_Rural
2003,country/POL,290397,dcid:Count_Person_0To2Years_Female_Urban
2004,country/POL,290676,dcid:Count_Person_0To2Years_Female_Urban
2003,country/POL,517413,dcid:Count_Person_0To2Years_Female
2004,country/POL,512504,dcid:Count_Person_0To2Years_Female
2003,country/POL,239494,dcid:Count_Person_0To2Years_Male_Rural
2004,country/POL,234197,dcid:Count_Person_0To2Years_Male_Rural
2003,country/POL,307078,dcid:Count_Person_0To2Years_Male_Urban
2004,country/POL,308877,dcid:Count_Person_0To2Years_Male_Urban
2003,country/POL,546572,dcid:Count_Person_0To2Years_Male
2004,country/POL,543074,dcid:Count_Person_0To2Years_Male
2003,country/POL,466510,dcid:Count_Person_0To2Years_Rural
2004,country/POL,456025,dcid:Count_Person_0To2Years_Rural
2003,country/POL,597475,dcid:Count_Person_0To2Years_Urban
2004,country/POL,599553,dcid:Count_Person_0To2Years_Urban
2003,country/POL,1063985,dcid:Count_Person_0To2Years
2004,country/POL,1055578,dcid:Count_Person_0To2Years
2003,country/POL,355943,dcid:Count_Person_13To15Years_Female_Rural
2004,country/POL,355078,dcid:Count_Person_13To15Years_Female_Rural
2003,country/POL,462620,dcid:Count_Person_13To15Years_Female_Urban
2004,country/POL,445085,dcid:Count_Person_13To15Years_Female_Urban
2003,country/POL,818563,dcid:Count_Person_13To15Years_Female
2004,country/POL,800163,dcid:Count_Person_13To15Years_Female
2003,country/POL,373063,dcid:Count_Person_13To15Years_Male_Rural
2004,country/POL,372682,dcid:Count_Person_13To15Years_Male_Rural
2003,country/POL,484996,dcid:Count_Person_13To15Years_Male_Urban
2004,country/POL,467498,dcid:Count_Person_13To15Years_Male_Urban
2003,country/POL,858059,dcid:Count_Person_13To15Years_Male
2004,country/POL,840180,dcid:Count_Person_13To15Years_Male
2003,country/POL,729006,dcid:Count_Person_13To15Years_Rural
2004,country/POL,727760,dcid:Count_Person_13To15Years_Rural
2003,country/POL,947616,dcid:Count_Person_13To15Years_Urban
2004,country/POL,912583,dcid:Count_Person_13To15Years_Urban
2003,country/POL,1676622,dcid:Count_Person_13To15Years
2004,country/POL,1640343,dcid:Count_Person_13To15Years
2003,country/POL,493582,dcid:Count_Person_16To19Years_Female_Rural
2004,country/POL,477918,dcid:Count_Person_16To19Years_Female_Rural
2003,country/POL,745627,dcid:Count_Person_16To19Years_Female_Urban
2004,country/POL,707649,dcid:Count_Person_16To19Years_Female_Urban
2003,country/POL,1239209,dcid:Count_Person_16To19Years_Female
2004,country/POL,1185567,dcid:Count_Person_16To19Years_Female
2003,country/POL,523664,dcid:Count_Person_16To19Years_Male_Rural
2004,country/POL,508736,dcid:Count_Person_16To19Years_Male_Rural
2003,country/POL,771679,dcid:Count_Person_16To19Years_Male_Urban
2004,country/POL,730565,dcid:Count_Person_16To19Years_Male_Urban
2003,country/POL,1295343,dcid:Count_Person_16To19Years_Male
2004,country/POL,1239301,dcid:Count_Person_16To19Years_Male
2003,country/POL,1017246,dcid:Count_Person_16To19Years_Rural
2004,country/POL,986654,dcid:Count_Person_16To19Years_Rural
2003,country/POL,1517306,dcid:Count_Person_16To19Years_Urban
2004,country/POL,1438214,dcid:Count_Person_16To19Years_Urban
2003,country/POL,2534552,dcid:Count_Person_16To19Years
2004,country/POL,2424868,dcid:Count_Person_16To19Years
2003,country/POL,570284,dcid:Count_Person_20To24Years_Rural_Female
2004,country/POL,591376,dcid:Count_Person_20To24Years_Rural_Female
