"NumPlaces","StatVar","ScalingFactors","Units","MinDate","MeasurementMethods","observationPeriods"
"186","Count_Death_IntentionalSelfHarm_Male_AsFractionOf_Count_Person_Male","[]","[Per100000Males]","2000","[]","[P1Y]"
"203","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity","[]","[InternationalDollar]","1990","[]","[P1Y]"
"165","Count_Person_Upto4Years_Wasting_AsFractionOf_Count_Person_Upto4Years","[100]","[Percent]","1983","[JointChildMalnutritionEstimate]","[P1Y]"
"144","Count_Person_25OrMoreYears_DoctorateDegree_AsFractionOf_Count_Person_25OrMoreYears","[]","[]","1994","[]","[P1Y]"
"204","Amount_Emissions_CarbonDioxide_PerCapita","[]","[MetricTon]","1970","[]","[P1Y]"
"185","Count_Person_25OrMoreYears_Male_TertiaryEducation_AsFractionOf_Count_Person_25OrMoreYears_Male","[]","[]","1970","[]","[P1Y]"
"218","LifeExpectancy_Person_Female","[]","[Year]","1960","[]","[P1Y]"
"139","Count_Person_25OrMoreYears_Male_DoctorateDegree_AsFractionOf_Count_Person_25OrMoreYears_Male","[]","[]","1994","[]","[P1Y]"
"197","Count_Death_0Years_Female_AsFractionOf_Count_BirthEvent_LiveBirth_Female","[]","[Per1000FemaleLiveBirths]","1960","[UnitedNationsIGMEEstimate]","[P1Y]"
"197","Count_CriminalActivities_MurderAndNonNegligentManslaughter_AsFractionOf_Count_Person","[]","[Per100000Persons]","1990","[]","[P1Y]"
"194","Amount_EconomicActivity_ExpenditureActivity_HealthcareExpenditure_AsFractionOf_Count_Person","[]","[InternationalDollar, USDollar]","2000","[]","[P1Y]"
"202","Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_Government","[100]","[Percent]","1980","[]","[P1Y]"
"188","Count_Person_25OrMoreYears_Male_BachelorsDegreeOrHigher_AsFractionOf_Count_Person_25OrMoreYears_Male","[]","[]","1970","[]","[P1Y]"
"218","FertilityRate_Person_Female","[]","[]","1960","[]","[]"
"218","Count_Person_Rural","[]","[]","1960","[WorldBankEstimate]","[P1Y]"
"184","Count_Person_25OrMoreYears_Female_TertiaryEducation_AsFractionOf_Count_Person_25OrMoreYears_Female","[]","[]","1970","[]","[P1Y]"
"218","Count_Person_Urban","[]","[]","1960","[WorldBankEstimate]","[P1Y]"
"165","Count_Person_Upto4Years_Overweight_AsFractionOf_Count_Person_Upto4Years","[]","[]","1983","[]","[P1Y]"
