Detail Data For Oil Consumption Monthly - Petroleum Products Having Year : ALL
.
YearValue,MonthValue,OilType,Qty_000Tonne_Consumption_M
2019,4,LPG,1901.000
2019,5,LPG,2058.000
2020,4,LPG,2127.920
2020,5,LPG,2312.890
2020,6,LPG,2074.800
2020,7,LPG,2269.740
2019,6,LPG,1793.332
2019,7,LPG,2219.159
2019,8,LPG,2401.704
2019,9,LPG,2163.814
2019,10,LPG,2348.149
2019,11,LPG,2260.658
2019,12,LPG,2354.070
2020,1,LPG,2449.265
2020,2,LPG,2115.177
2020,3,LPG,2306.186
2020,8,LPG,2273.000
2020,9,LPG,2266.000
2020,10,LPG,2422.000
2020,11,LPG,2354.000
2020,12,LPG,2530.000
2021,1,LPG,2492.000
2021,2,LPG,2267.552
2021,3,LPG,2259.902
2021,4,LPG,2113.679
2021,5,LPG,2167.733
2021,6,LPG,2262.894
2019,4,NAPHTHA,889.000
2019,5,NAPHTHA,736.000
2020,4,NAPHTHA,855.830
2020,5,NAPHTHA,1080.220
2020,6,NAPHTHA,1167.050
2020,7,NAPHTHA,1283.920
2019,6,NAPHTHA,987.369
2019,7,NAPHTHA,1465.188
2019,8,NAPHTHA,1419.665
2019,9,NAPHTHA,1106.548
2019,10,NAPHTHA,1132.215
2019,11,NAPHTHA,1257.343
2019,12,NAPHTHA,1276.720
2020,1,NAPHTHA,1383.388
2020,2,NAPHTHA,1278.527
2020,3,NAPHTHA,1385.591
2020,8,NAPHTHA,1078.000
2020,9,NAPHTHA,1142.000
2020,10,NAPHTHA,1302.000
2020,11,NAPHTHA,1345.000
2020,12,NAPHTHA,1240.000
2021,1,NAPHTHA,1271.000
2021,2,NAPHTHA,1223.301
2021,3,NAPHTHA,1360.422
2021,4,NAPHTHA,1273.785
2021,5,NAPHTHA,1246.610
2021,6,NAPHTHA,1193.452
2019,4,SKO (KEROSENE),254.000
2019,5,SKO (KEROSENE),268.000
2020,4,SKO (KEROSENE),129.130
2020,5,SKO (KEROSENE),181.130
2020,6,SKO (KEROSENE),161.250
2020,7,SKO (KEROSENE),158.490
2019,6,SKO (KEROSENE),260.049
2019,7,SKO (KEROSENE),195.024
2019,8,SKO (KEROSENE),231.370
2019,9,SKO (KEROSENE),176.337
2019,10,SKO (KEROSENE),170.213
2019,11,SKO (KEROSENE),188.225
2019,12,SKO (KEROSENE),152.675
2020,1,SKO (KEROSENE),164.037
2020,2,SKO (KEROSENE),184.591
2020,3,SKO (KEROSENE),151.899
2020,8,SKO (KEROSENE),132.000
2020,9,SKO (KEROSENE),166.000
2020,10,SKO (KEROSENE),139.000
2020,11,SKO (KEROSENE),155.000
2020,12,SKO (KEROSENE),135.000
2021,1,SKO (KEROSENE),146.000
2021,2,SKO (KEROSENE),136.979
2021,3,SKO (KEROSENE),154.694
2021,4,SKO (KEROSENE),105.333
