Detail Data For Oil Trade Monthly - Petroleum Products Import  Having Year : ALL
.
YearValue,MonthValue,OilType,Qty_000Tonne_Imports_M
2019,4,LPG,1262.390
2019,5,LPG,1040.660
2020,4,LPG,1372.960
2020,5,LPG,1503.870
2020,6,LPG,1229.040
2020,7,LPG,998.060
2020,1,LPG,1424.948
2020,2,LPG,1339.757
2020,3,LPG,1230.427
2019,6,LPG,958.309
2019,7,LPG,857.004
2019,8,LPG,1220.472
2019,9,LPG,1572.925
2019,10,LPG,1413.474
2019,11,LPG,1301.610
2019,12,LPG,1226.800
2020,8,LPG,1240.000
2020,9,LPG,1643.412
2020,10,LPG,1428.008
2020,11,LPG,1396.390
2020,12,LPG,1510.440
2021,1,LPG,1365.520
2021,2,LPG,1527.360
2021,3,LPG,1359.120
2021,4,LPG,1054.200
2021,5,LPG,1057.422
2019,4,NAPHTHA,103.960
2019,5,NAPHTHA,122.850
2020,4,NAPHTHA,122.250
2020,5,NAPHTHA,122.200
2020,6,NAPHTHA,122.270
2020,7,NAPHTHA,132.180
2020,1,NAPHTHA,136.592
2020,2,NAPHTHA,115.915
2020,3,NAPHTHA,151.316
2019,6,NAPHTHA,70.473
2019,7,NAPHTHA,203.323
2019,8,NAPHTHA,260.200
2019,9,NAPHTHA,258.986
2019,10,NAPHTHA,118.265
2019,11,NAPHTHA,99.655
2019,12,NAPHTHA,134.609
2020,8,NAPHTHA,126.220
2020,9,NAPHTHA,110.150
2020,10,NAPHTHA,110.150
2020,11,NAPHTHA,110.150
2020,12,NAPHTHA,110.150
2021,1,NAPHTHA,110.150
2021,2,NAPHTHA,110.150
2021,3,NAPHTHA,110.150
2021,4,NAPHTHA,149.275
2021,5,NAPHTHA,110.150
2019,4,SKO (KEROSENE),0.000
2019,5,SKO (KEROSENE),0.000
2020,4,SKO (KEROSENE),0.000
2020,5,SKO (KEROSENE),0.000
2020,6,SKO (KEROSENE),0.000
2020,7,SKO (KEROSENE),0.000
2020,1,SKO (KEROSENE),0.000
2020,2,SKO (KEROSENE),0.000
2020,3,SKO (KEROSENE),0.000
2019,6,SKO (KEROSENE),0.000
2019,7,SKO (KEROSENE),0.000
2019,8,SKO (KEROSENE),0.000
2019,9,SKO (KEROSENE),0.000
2019,10,SKO (KEROSENE),0.000
2019,11,SKO (KEROSENE),0.000
2019,12,SKO (KEROSENE),0.000
2020,8,SKO (KEROSENE),0.000
2020,9,SKO (KEROSENE),0.000
2020,10,SKO (KEROSENE),0.000
2020,11,SKO (KEROSENE),0.000
2020,12,SKO (KEROSENE),0.000
2021,1,SKO (KEROSENE),0.000
2021,2,SKO (KEROSENE),0.000
2021,3,SKO (KEROSENE),0.000
2021,4,SKO (KEROSENE),0.000
2021,5,SKO (KEROSENE),0.000
2019,4,ATF/RTF/JET,64.910
2019,5,ATF/RTF/JET,17.590
2020,4,ATF/RTF/JET,0.000
2020,5,ATF/RTF/JET,0.000
2020,6,ATF/RTF/JET,0.000
2020,7,ATF/RTF/JET,0.000
2020,1,ATF/RTF/JET,1.161
2020,2,ATF/RTF/JET,1.161
2020,3,ATF/RTF/JET,1.161
2019,6,ATF/RTF/JET,0.000
2019,7,ATF/RTF/JET,0.000
2019,8,ATF/RTF/JET,0.000
2019,9,ATF/RTF/JET,0.000
2019,10,ATF/RTF/JET,0.000
2019,11,ATF/RTF/JET,0.000
2019,12,ATF/RTF/JET,0.000
2020,8,ATF/RTF/JET,0.000
2020,9,ATF/RTF/JET,0.000
2020,10,ATF/RTF/JET,0.000
2020,11,ATF/RTF/JET,0.000
2020,12,ATF/RTF/JET,0.000
2021,1,ATF/RTF/JET,0.000
2021,2,ATF/RTF/JET,0.000
2021,3,ATF/RTF/JET,0.000
2021,4,ATF/RTF/JET,0.000
2021,5,ATF/RTF/JET,0.000
2019,4,DIESEL/ HSD,135.290
2019,5,DIESEL/ HSD,205.110
2020,4,DIESEL/ HSD,38.190
2020,5,DIESEL/ HSD,47.080
2020,6,DIESEL/ HSD,75.600
2020,7,DIESEL/ HSD,138.040
2020,1,DIESEL/ HSD,684.873
2020,2,DIESEL/ HSD,275.519
2020,3,DIESEL/ HSD,139.436
2019,6,DIESEL/ HSD,443.334
2019,7,DIESEL/ HSD,114.741
2019,8,DIESEL/ HSD,46.457
2019,9,DIESEL/ HSD,140.096
2019,10,DIESEL/ HSD,69.782
2019,11,DIESEL/ HSD,16.667
2019,12,DIESEL/ HSD,507.409
2020,8,DIESEL/ HSD,9.700
2020,9,DIESEL/ HSD,9.697
2020,10,DIESEL/ HSD,9.697
2020,11,DIESEL/ HSD,9.700
2020,12,DIESEL/ HSD,240.810
2021,1,DIESEL/ HSD,77.530
2021,2,DIESEL/ HSD,9.697
2021,3,DIESEL/ HSD,9.700
2021,4,DIESEL/ HSD,9.697
2021,5,DIESEL/ HSD,9.697
2019,4,BITUMEN,112.650
2019,5,BITUMEN,72.230
2020,4,BITUMEN,135.220
2020,5,BITUMEN,135.220
2020,6,BITUMEN,135.220
2020,7,BITUMEN,135.220
2020,1,BITUMEN,108.467
2020,2,BITUMEN,101.484
2020,3,BITUMEN,101.484
2019,6,BITUMEN,126.220
2019,7,BITUMEN,93.327
2019,8,BITUMEN,52.460
2019,9,BITUMEN,63.758
2019,10,BITUMEN,114.288
2019,11,BITUMEN,119.663
2019,12,BITUMEN,154.503
2020,8,BITUMEN,136.770
2020,9,BITUMEN,136.773
2020,10,BITUMEN,136.773
2020,11,BITUMEN,136.770
2020,12,BITUMEN,136.770
2021,1,BITUMEN,136.770
2021,2,BITUMEN,145.772
2021,3,BITUMEN,151.050
2021,4,BITUMEN,142.024
2021,5,BITUMEN,136.773
2019,4,PETROLEUM COKE,1316.630
2019,5,PETROLEUM COKE,701.960
2020,4,PETROLEUM COKE,853.630
2020,5,PETROLEUM COKE,853.630
2020,6,PETROLEUM COKE,853.630
2020,7,PETROLEUM COKE,853.630
2020,8,PETROLEUM COKE,854.310
2020,9,PETROLEUM COKE,854.309
2020,10,PETROLEUM COKE,854.309
2020,11,PETROLEUM COKE,854.310
2020,12,PETROLEUM COKE,854.310
2021,1,PETROLEUM COKE,854.310
2021,2,PETROLEUM COKE,854.309
2021,3,PETROLEUM COKE,854.310
2021,4,PETROLEUM COKE,854.309
2021,5,PETROLEUM COKE,854.309
2019,4,OTHERS,263.110
2019,5,OTHERS,333.350
2020,4,OTHERS,176.320
2020,5,OTHERS,176.360
2020,6,OTHERS,336.120
2020,7,OTHERS,360.040
2020,1,OTHERS,1121.799
2020,2,OTHERS,1118.014
2020,3,OTHERS,1121.987
2019,6,OTHERS,1132.319
2019,7,OTHERS,932.710
2019,8,OTHERS,948.728
2019,9,OTHERS,1034.647
2019,10,OTHERS,1038.997
2019,11,OTHERS,823.009
2019,12,OTHERS,1088.134
2020,8,OTHERS,156.030
2020,9,OTHERS,156.163
2020,10,OTHERS,156.036
2020,11,OTHERS,153.070
2020,12,OTHERS,152.860
2021,1,OTHERS,152.550
2021,2,OTHERS,152.696
2021,3,OTHERS,153.190
2021,4,OTHERS,210.873
2021,5,OTHERS,153.273
2019,4,FUEL OIL,34.840
2019,5,FUEL OIL,77.330
2020,4,FUEL OIL,411.290
2020,5,FUEL OIL,491.950
2020,6,FUEL OIL,588.590
2020,7,FUEL OIL,1221.690
2020,1,FUEL OIL,709.740
2020,2,FUEL OIL,400.378
2020,3,FUEL OIL,880.861
2019,6,FUEL OIL,283.957
2019,7,FUEL OIL,126.983
2019,8,FUEL OIL,285.029
2019,9,FUEL OIL,369.964
2019,10,FUEL OIL,325.244
2019,11,FUEL OIL,257.267
