Detail Data For Oil Consumption Productwise Trend Having Year : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
YearValue,Region,State,OilType,Qty_000Tonne
2011,ER,WEST BENGAL,ATF/RTF/JET,194.000
2011,ER,WEST BENGAL,BITUMEN,133.000
2011,ER,WEST BENGAL,DIESEL/ HSD,2464.000
2011,ER,WEST BENGAL,FUEL OIL,467.000
2011,ER,WEST BENGAL,SKO (KEROSENE),758.000
2011,ER,WEST BENGAL,LDO,48.000
2011,ER,WEST BENGAL,LPG,739.000
2011,ER,WEST BENGAL,LSHS/HHS/RFO,0.000
2011,ER,WEST BENGAL,LUBES/GREASES,95.000
2011,ER,WEST BENGAL,NAPHTHA,547.000
2011,ER,WEST BENGAL,OTHERS,137.000
2011,ER,WEST BENGAL,PETROL,392.000
2012,ER,WEST BENGAL,ATF/RTF/JET,207.000
2012,ER,WEST BENGAL,BITUMEN,131.000
2012,ER,WEST BENGAL,DIESEL/ HSD,2561.000
2012,ER,WEST BENGAL,FUEL OIL,451.000
2012,ER,WEST BENGAL,SKO (KEROSENE),758.000
2012,ER,WEST BENGAL,LDO,49.000
2012,ER,WEST BENGAL,LPG,821.000
2012,ER,WEST BENGAL,LSHS/HHS/RFO,0.000
2012,ER,WEST BENGAL,LUBES/GREASES,84.000
2012,ER,WEST BENGAL,NAPHTHA,368.000
2012,ER,WEST BENGAL,OTHERS,95.000
2012,ER,WEST BENGAL,PETROL,406.000
2013,ER,WEST BENGAL,ATF/RTF/JET,199.000
2013,ER,WEST BENGAL,BITUMEN,173.000
2013,ER,WEST BENGAL,DIESEL/ HSD,2733.000
2013,ER,WEST BENGAL,FUEL OIL,379.000
2013,ER,WEST BENGAL,SKO (KEROSENE),751.000
2013,ER,WEST BENGAL,LDO,46.900
2013,ER,WEST BENGAL,LPG,857.000
2013,ER,WEST BENGAL,LSHS/HHS/RFO,0.000
2013,ER,WEST BENGAL,LUBES/GREASES,78.000
2013,ER,WEST BENGAL,NAPHTHA,686.000
2013,ER,WEST BENGAL,OTHERS,99.000
2013,ER,WEST BENGAL,PETROL,443.000
2014,ER,WEST BENGAL,ATF/RTF/JET,197.000
2014,ER,WEST BENGAL,BITUMEN,189.000
2014,ER,WEST BENGAL,DIESEL/ HSD,2637.000
2014,ER,WEST BENGAL,FUEL OIL,349.000
2014,ER,WEST BENGAL,SKO (KEROSENE),754.000
2014,ER,WEST BENGAL,LDO,50.000
2014,ER,WEST BENGAL,LPG,932.000
2014,ER,WEST BENGAL,LSHS/HHS/RFO,0.000
2014,ER,WEST BENGAL,LUBES/GREASES,67.000
2014,ER,WEST BENGAL,NAPHTHA,1040.000
2014,ER,WEST BENGAL,OTHERS,98.000
2014,ER,WEST BENGAL,PETROL,484.000
2015,ER,WEST BENGAL,ATF/RTF/JET,214.000
2015,ER,WEST BENGAL,BITUMEN,204.000
2015,ER,WEST BENGAL,DIESEL/ HSD,2640.000
2015,ER,WEST BENGAL,FUEL OIL,355.000
2015,ER,WEST BENGAL,SKO (KEROSENE),756.000
2015,ER,WEST BENGAL,LDO,57.000
2015,ER,WEST BENGAL,LPG,1059.000
2015,ER,WEST BENGAL,LSHS/HHS/RFO,0.000
2015,ER,WEST BENGAL,LUBES/GREASES,57.000
2015,ER,WEST BENGAL,NAPHTHA,454.000
2015,ER,WEST BENGAL,OTHERS,97.000
2015,ER,WEST BENGAL,PETROL,555.000
2017,ER,WEST BENGAL,LPG,1427.060
2017,ER,WEST BENGAL,PETROL,725.500
2017,ER,WEST BENGAL,NAPHTHA,449.530
2017,ER,WEST BENGAL,SKO (KEROSENE),616.570
2017,ER,WEST BENGAL,ATF/RTF/JET,342.150
2017,ER,WEST BENGAL,DIESEL/ HSD,3096.070
2017,ER,WEST BENGAL,LDO,63.050
2017,ER,WEST BENGAL,FURNACE OIL,393.760
2017,ER,WEST BENGAL,LSHS/HHS/RFO,0.000
2017,ER,WEST BENGAL,LUBES/GREASES,69.230
2017,ER,WEST BENGAL,BITUMEN,207.640
2017,ER,WEST BENGAL,PETROLEUM COKE,24.088
2017,ER,WEST BENGAL,OTHERS,90.343
2018,ER,WEST BENGAL,LPG,1597.230
2018,ER,WEST BENGAL,PETROL,812.090
2018,ER,WEST BENGAL,NAPHTHA,767.330
2018,ER,WEST BENGAL,SKO (KEROSENE),511.400
2018,ER,WEST BENGAL,ATF/RTF/JET,313.140
2018,ER,WEST BENGAL,DIESEL/ HSD,3390.540
2018,ER,WEST BENGAL,LDO,55.140
2018,ER,WEST BENGAL,FURNACE OIL,401.120
2018,ER,WEST BENGAL,LSHS/HHS/RFO,0.000
2018,ER,WEST BENGAL,LUBES/GREASES,66.840
2018,ER,WEST BENGAL,BITUMEN,195.920
2018,ER,WEST BENGAL,PETROLEUM COKE,33.620
2018,ER,WEST BENGAL,OTHERS,104.681
2019,ER,WEST BENGAL,LPG,1689.653
2019,ER,WEST BENGAL,PETROL,904.127
2019,ER,WEST BENGAL,NAPHTHA,947.169
2019,ER,WEST BENGAL,SKO (KEROSENE),546.667
2019,ER,WEST BENGAL,ATF/RTF/JET,323.487
2019,ER,WEST BENGAL,DIESEL/ HSD,3448.668
2019,ER,WEST BENGAL,LDO,43.416
2019,ER,WEST BENGAL,FURNACE OIL,426.023
2019,ER,WEST BENGAL,LSHS/HHS/RFO,0.000
2019,ER,WEST BENGAL,LUBES/GREASES,68.916
2019,ER,WEST BENGAL,BITUMEN,228.655
2019,ER,WEST BENGAL,PETROLEUM COKE,53.811
2019,ER,WEST BENGAL,OTHERS,108.319
2020,ER,WEST BENGAL,LPG,1794.881
2020,ER,WEST BENGAL,PETROL,996.095
2020,ER,WEST BENGAL,NAPHTHA,1156.758
2020,ER,WEST BENGAL,SKO (KEROSENE),541.694
2020,ER,WEST BENGAL,ATF/RTF/JET,435.551
2020,ER,WEST BENGAL,DIESEL/ HSD,3438.599
2020,ER,WEST BENGAL,LDO,43.568
2020,ER,WEST BENGAL,FURNACE OIL,389.982
2020,ER,WEST BENGAL,LSHS/HHS/RFO,0.000
2020,ER,WEST BENGAL,LUBES/GREASES,65.235
2020,ER,WEST BENGAL,BITUMEN,227.153
2020,ER,WEST BENGAL,PETROLEUM COKE,67.039
