Detail Data For Oil Product price in Metros Having Year : ALL
.
YearValue,OilType,CityName,Price_RsPerLitre
2007,MOTOR SPIRIT (PETROL),DELHI,43.490
2007,MOTOR SPIRIT (PETROL),KOLKATA,46.900
2007,MOTOR SPIRIT (PETROL),MUMBAI,49.160
2007,MOTOR SPIRIT (PETROL),CHENNAI,47.490
2007,DIESEL/ HSD,DELHI,30.450
2007,DIESEL/ HSD,KOLKATA,32.870
2007,DIESEL/ HSD,MUMBAI,37.570
2007,DIESEL/ HSD,CHENNAI,33.720
2007,SKO (KEROSENE),DELHI,9.050
2007,SKO (KEROSENE),KOLKATA,9.300
2007,SKO (KEROSENE),MUMBAI,9.050
2007,SKO (KEROSENE),CHENNAI,8.390
2007,LPG,DELHI,294.750
2007,LPG,KOLKATA,300.500
2007,LPG,MUMBAI,297.950
2007,LPG,CHENNAI,288.150
2008,MOTOR SPIRIT (PETROL),DELHI,42.850
2008,MOTOR SPIRIT (PETROL),KOLKATA,46.900
2008,MOTOR SPIRIT (PETROL),MUMBAI,48.410
2008,MOTOR SPIRIT (PETROL),CHENNAI,47.480
2008,DIESEL/ HSD,DELHI,30.250
2008,DIESEL/ HSD,KOLKATA,32.880
2008,DIESEL/ HSD,MUMBAI,34.960
2008,DIESEL/ HSD,CHENNAI,33.310
2008,SKO (KEROSENE),DELHI,9.090
2008,SKO (KEROSENE),KOLKATA,9.290
2008,SKO (KEROSENE),MUMBAI,9.050
2008,SKO (KEROSENE),CHENNAI,8.390
2008,LPG,DELHI,294.750
2008,LPG,KOLKATA,300.500
2008,LPG,MUMBAI,297.950
2008,LPG,CHENNAI,288.150
2009,MOTOR SPIRIT (PETROL),DELHI,45.520
2009,MOTOR SPIRIT (PETROL),KOLKATA,48.950
2009,MOTOR SPIRIT (PETROL),MUMBAI,50.510
2009,MOTOR SPIRIT (PETROL),CHENNAI,49.610
2009,DIESEL/ HSD,DELHI,31.760
2009,DIESEL/ HSD,KOLKATA,33.920
2009,DIESEL/ HSD,MUMBAI,36.080
2009,DIESEL/ HSD,CHENNAI,34.400
2009,SKO (KEROSENE),DELHI,9.090
2009,SKO (KEROSENE),KOLKATA,9.300
2009,SKO (KEROSENE),MUMBAI,9.100
2009,SKO (KEROSENE),CHENNAI,8.390
2009,LPG,DELHI,294.750
2009,LPG,KOLKATA,300.500
2009,LPG,MUMBAI,298.000
2009,LPG,CHENNAI,288.100
2010,MOTOR SPIRIT (PETROL),DELHI,40.620
2010,MOTOR SPIRIT (PETROL),KOLKATA,44.050
2010,MOTOR SPIRIT (PETROL),MUMBAI,44.550
2010,MOTOR SPIRIT (PETROL),CHENNAI,44.240
2010,DIESEL/ HSD,DELHI,30.860
2010,DIESEL/ HSD,KOLKATA,32.920
2010,DIESEL/ HSD,MUMBAI,34.450
2010,DIESEL/ HSD,CHENNAI,32.820
2010,SKO (KEROSENE),DELHI,9.220
2010,SKO (KEROSENE),KOLKATA,9.750
2010,SKO (KEROSENE),MUMBAI,9.100
2010,SKO (KEROSENE),CHENNAI,8.390
2010,LPG,DELHI,279.700
2010,LPG,KOLKATA,327.250
2010,LPG,MUMBAI,312.050
2010,LPG,CHENNAI,314.550
2011,MOTOR SPIRIT (PETROL),DELHI,47.930
2011,MOTOR SPIRIT (PETROL),KOLKATA,51.670
2011,MOTOR SPIRIT (PETROL),MUMBAI,52.200
2011,MOTOR SPIRIT (PETROL),CHENNAI,52.130
2011,DIESEL/ HSD,DELHI,38.100
2011,DIESEL/ HSD,KOLKATA,37.990
2011,DIESEL/ HSD,MUMBAI,39.880
2011,DIESEL/ HSD,CHENNAI,38.050
2011,SKO (KEROSENE),DELHI,9.320
2011,SKO (KEROSENE),KOLKATA,9.620
2011,SKO (KEROSENE),MUMBAI,9.130
2011,SKO (KEROSENE),CHENNAI,8.410
2011,LPG,DELHI,310.350
2011,LPG,KOLKATA,328.700
2011,LPG,MUMBAI,313.450
2011,LPG,CHENNAI,315.950
2012,MOTOR SPIRIT (PETROL),DELHI,58.370
2012,MOTOR SPIRIT (PETROL),KOLKATA,62.510
2012,MOTOR SPIRIT (PETROL),MUMBAI,63.080
2012,MOTOR SPIRIT (PETROL),CHENNAI,61.930
2012,DIESEL/ HSD,DELHI,37.750
2012,DIESEL/ HSD,KOLKATA,40.060
2012,DIESEL/ HSD,MUMBAI,42.060
2012,DIESEL/ HSD,CHENNAI,40.160
2012,SKO (KEROSENE),DELHI,9.100
2012,SKO (KEROSENE),KOLKATA,9.750
2012,SKO (KEROSENE),MUMBAI,9.220
2012,SKO (KEROSENE),CHENNAI,8.390
2012,LPG,DELHI,345.350
2012,LPG,KOLKATA,365.100
2012,LPG,MUMBAI,348.450
2012,LPG,CHENNAI,352.350
2013,MOTOR SPIRIT (PETROL),DELHI,65.640
2013,MOTOR SPIRIT (PETROL),KOLKATA,70.020
2013,MOTOR SPIRIT (PETROL),MUMBAI,70.650
2013,MOTOR SPIRIT (PETROL),CHENNAI,69.550
2013,DIESEL/ HSD,DELHI,40.910
2013,DIESEL/ HSD,KOLKATA,43.730
2013,DIESEL/ HSD,MUMBAI,45.270
2013,DIESEL/ HSD,CHENNAI,43.950
2013,SKO (KEROSENE),DELHI,14.820
2013,SKO (KEROSENE),KOLKATA,14.840
2013,SKO (KEROSENE),MUMBAI,14.380
2013,SKO (KEROSENE),CHENNAI,13.540
2013,LPG,DELHI,399.000
2013,LPG,KOLKATA,405.000
2013,LPG,MUMBAI,414.000
2013,LPG,CHENNAI,393.500
2014,MOTOR SPIRIT (PETROL),DELHI,68.300
2014,MOTOR SPIRIT (PETROL),KOLKATA,75.780
2014,MOTOR SPIRIT (PETROL),MUMBAI,75.200
2014,MOTOR SPIRIT (PETROL),CHENNAI,71.420
2014,DIESEL/ HSD,DELHI,48.630
2014,DIESEL/ HSD,KOLKATA,52.850
2014,DIESEL/ HSD,MUMBAI,54.870
2014,DIESEL/ HSD,CHENNAI,51.770
2014,SKO (KEROSENE),DELHI,14.960
2014,SKO (KEROSENE),KOLKATA,14.840
2014,SKO (KEROSENE),MUMBAI,14.710
2014,SKO (KEROSENE),CHENNAI,13.690
2014,LPG,DELHI,410.500
2014,LPG,KOLKATA,412.500
2014,LPG,MUMBAI,437.500
2014,LPG,CHENNAI,398.000
2015,MOTOR SPIRIT (PETROL),DELHI,72.260
2015,MOTOR SPIRIT (PETROL),KOLKATA,80.130
2015,MOTOR SPIRIT (PETROL),MUMBAI,80.890
2015,MOTOR SPIRIT (PETROL),CHENNAI,75.490
2015,DIESEL/ HSD,DELHI,55.490
2015,DIESEL/ HSD,KOLKATA,60.110
2015,DIESEL/ HSD,MUMBAI,63.860
2015,DIESEL/ HSD,CHENNAI,59.180
2015,SKO (KEROSENE),DELHI,14.960
2015,SKO (KEROSENE),KOLKATA,15.250
2015,SKO (KEROSENE),MUMBAI,15.250
2015,SKO (KEROSENE),CHENNAI,13.700
2015,LPG,DELHI,414.000
2015,LPG,KOLKATA,416.000
2015,LPG,MUMBAI,451.500
2015,LPG,CHENNAI,401.000
2016,MOTOR SPIRIT (PETROL),DELHI,60.490
2016,MOTOR SPIRIT (PETROL),KOLKATA,67.670
2016,MOTOR SPIRIT (PETROL),MUMBAI,68.040
2016,MOTOR SPIRIT (PETROL),CHENNAI,63.260
2016,DIESEL/ HSD,DELHI,49.710
2016,DIESEL/ HSD,KOLKATA,54.280
2016,DIESEL/ HSD,MUMBAI,57.020
2016,DIESEL/ HSD,CHENNAI,52.910
2016,SKO (KEROSENE),DELHI,14.960
2016,SKO (KEROSENE),KOLKATA,16.080
2016,SKO (KEROSENE),MUMBAI,15.240
2016,SKO (KEROSENE),CHENNAI,13.690
2016,LPG,DELHI,417.820
2016,LPG,KOLKATA,419.820
2016,LPG,MUMBAI,458.070
2016,LPG,CHENNAI,405.320
2017,MOTOR SPIRIT (PETROL),DELHI,59.680
2017,MOTOR SPIRIT (PETROL),KOLKATA,65.790
2017,MOTOR SPIRIT (PETROL),MUMBAI,63.760
2017,MOTOR SPIRIT (PETROL),CHENNAI,59.130
2017,DIESEL/ HSD,DELHI,48.330
2017,DIESEL/ HSD,KOLKATA,55.060
2017,DIESEL/ HSD,MUMBAI,50.750
2017,DIESEL/ HSD,CHENNAI,49.090
2017,SKO (KEROSENE),DELHI,14.960
2017,SKO (KEROSENE),KOLKATA,16.000
2017,SKO (KEROSENE),MUMBAI,15.420
2017,SKO (KEROSENE),CHENNAI,13.700
2017,LPG,DELHI,419.130
2017,LPG,KOLKATA,421.130
2017,LPG,MUMBAI,455.990
2017,LPG,CHENNAI,406.630
2018,MOTOR SPIRIT (PETROL),DELHI,66.290
2018,MOTOR SPIRIT (PETROL),KOLKATA,72.660
2018,MOTOR SPIRIT (PETROL),MUMBAI,68.970
2018,MOTOR SPIRIT (PETROL),CHENNAI,69.280
2018,DIESEL/ HSD,DELHI,55.610
2018,DIESEL/ HSD,KOLKATA,61.270
2018,DIESEL/ HSD,MUMBAI,57.860
2018,DIESEL/ HSD,CHENNAI,58.820
2018,SKO (KEROSENE),DELHI,0.000
2018,SKO (KEROSENE),KOLKATA,20.190
2018,SKO (KEROSENE),MUMBAI,19.030
2018,SKO (KEROSENE),CHENNAI,13.600
2018,LPG,DELHI,440.900
2018,LPG,KOLKATA,442.900
2018,LPG,MUMBAI,476.500
2018,LPG,CHENNAI,428.400
2019,MOTOR SPIRIT (PETROL),DELHI,73.730
2019,MOTOR SPIRIT (PETROL),KOLKATA,81.590
2019,MOTOR SPIRIT (PETROL),MUMBAI,76.440
2019,MOTOR SPIRIT (PETROL),CHENNAI,76.480
2019,DIESEL/ HSD,DELHI,64.580
2019,DIESEL/ HSD,KOLKATA,68.770
2019,DIESEL/ HSD,MUMBAI,67.270
2019,DIESEL/ HSD,CHENNAI,68.120
2019,SKO (KEROSENE),DELHI,0.000
2019,SKO (KEROSENE),KOLKATA,26.300
2019,SKO (KEROSENE),MUMBAI,23.960
2019,SKO (KEROSENE),CHENNAI,13.600
2019,LPG,DELHI,491.350
2019,LPG,KOLKATA,494.330
2019,LPG,MUMBAI,489.040
2019,LPG,CHENNAI,479.440
2020,MOTOR SPIRIT (PETROL),DELHI,72.860
2020,MOTOR SPIRIT (PETROL),KOLKATA,78.430
2020,MOTOR SPIRIT (PETROL),MUMBAI,74.880
2020,MOTOR SPIRIT (PETROL),CHENNAI,75.620
2020,DIESEL/ HSD,DELHI,66.090
2020,DIESEL/ HSD,KOLKATA,69.170
2020,DIESEL/ HSD,MUMBAI,67.830
2020,DIESEL/ HSD,CHENNAI,69.780
2020,SKO (KEROSENE),DELHI,0.000
2020,SKO (KEROSENE),KOLKATA,32.790
2020,SKO (KEROSENE),MUMBAI,30.870
2020,SKO (KEROSENE),CHENNAI,13.600
2020,LPG,DELHI,706.500
2020,LPG,KOLKATA,732.500
2020,LPG,MUMBAI,678.500
2020,LPG,CHENNAI,722.000
