Detail Data For Oil Supply (Products) Export by Oil Type - Quantity & Amount Having Year : ALL
.
DistillateType,OilType,YearValue,Qty_000Tonne,Amount_RsCrore
LIGHT DISTILLATES,LPG,2006,53.000,164.000
LIGHT DISTILLATES,LPG,2007,112.000,342.000
LIGHT DISTILLATES,LPG,2008,99.000,401.000
LIGHT DISTILLATES,LPG,2009,109.000,456.000
LIGHT DISTILLATES,LPG,2010,131.000,491.000
LIGHT DISTILLATES,LPG,2011,154.000,693.000
LIGHT DISTILLATES,LPG,2012,174.000,947.000
LIGHT DISTILLATES,LPG,2013,200.000,1294.000
LIGHT DISTILLATES,LPG,2014,227.000,1589.000
LIGHT DISTILLATES,LPG,2015,254.000,1455.000
LIGHT DISTILLATES,LPG,2016,195.000,785.000
LIGHT DISTILLATES,LPG,2017,317.000,1168.000
LIGHT DISTILLATES,LPG,2018,359.000,1501.000
LIGHT DISTILLATES,LPG,2019,417.000,1976.000
LIGHT DISTILLATES,LPG,2020,463.000,1970.000
LIGHT DISTILLATES,PETROL,2006,2417.000,5843.000
LIGHT DISTILLATES,PETROL,2007,3615.000,10191.000
LIGHT DISTILLATES,PETROL,2008,4258.000,13614.000
LIGHT DISTILLATES,PETROL,2009,5440.000,17810.000
LIGHT DISTILLATES,PETROL,2010,9771.000,31203.000
LIGHT DISTILLATES,PETROL,2011,13578.000,49480.000
LIGHT DISTILLATES,PETROL,2012,14524.000,73982.000
LIGHT DISTILLATES,PETROL,2013,16657.000,95346.000
LIGHT DISTILLATES,PETROL,2014,15247.000,92977.000
LIGHT DISTILLATES,PETROL,2015,16048.000,81971.000
LIGHT DISTILLATES,PETROL,2016,16817.000,59575.000
LIGHT DISTILLATES,PETROL,2017,15417.000,52920.000
LIGHT DISTILLATES,PETROL,2018,14036.000,54580.000
LIGHT DISTILLATES,PETROL,2019,12885.000,60419.000
LIGHT DISTILLATES,PETROL,2020,12710.000,54531.000
LIGHT DISTILLATES,NAPHTHA,2006,5066.000,10787.000
LIGHT DISTILLATES,NAPHTHA,2007,8411.000,21431.000
LIGHT DISTILLATES,NAPHTHA,2008,9297.000,27365.000
LIGHT DISTILLATES,NAPHTHA,2009,7601.000,25055.000
LIGHT DISTILLATES,NAPHTHA,2010,10043.000,30318.000
LIGHT DISTILLATES,NAPHTHA,2011,10655.000,37138.000
LIGHT DISTILLATES,NAPHTHA,2012,10139.000,45620.000
LIGHT DISTILLATES,NAPHTHA,2013,8647.000,43533.000
LIGHT DISTILLATES,NAPHTHA,2014,8322.000,46059.000
LIGHT DISTILLATES,NAPHTHA,2015,7008.000,31619.000
LIGHT DISTILLATES,NAPHTHA,2016,7116.000,20056.000
LIGHT DISTILLATES,NAPHTHA,2017,8727.000,24616.000
LIGHT DISTILLATES,NAPHTHA,2018,8951.000,29075.000
LIGHT DISTILLATES,NAPHTHA,2019,6963.000,28893.000
LIGHT DISTILLATES,NAPHTHA,2020,8897.000,31507.000
MIDDLE DISTILLATES,SKO (KEROSENE),2006,121.000,371.000
MIDDLE DISTILLATES,SKO (KEROSENE),2007,150.000,541.000
MIDDLE DISTILLATES,SKO (KEROSENE),2008,137.000,492.000
MIDDLE DISTILLATES,SKO (KEROSENE),2009,77.000,362.000
MIDDLE DISTILLATES,SKO (KEROSENE),2010,46.000,154.000
MIDDLE DISTILLATES,SKO (KEROSENE),2011,33.000,141.000
MIDDLE DISTILLATES,SKO (KEROSENE),2012,34.000,191.000
MIDDLE DISTILLATES,SKO (KEROSENE),2013,23.000,140.000
MIDDLE DISTILLATES,SKO (KEROSENE),2014,15.000,98.000
MIDDLE DISTILLATES,SKO (KEROSENE),2015,15.000,81.000
MIDDLE DISTILLATES,SKO (KEROSENE),2016,10.000,35.000
MIDDLE DISTILLATES,SKO (KEROSENE),2017,15.000,54.000
MIDDLE DISTILLATES,SKO (KEROSENE),2018,17.000,68.000
MIDDLE DISTILLATES,SKO (KEROSENE),2019,19.000,98.000
MIDDLE DISTILLATES,SKO (KEROSENE),2020,157.000,484.000
MIDDLE DISTILLATES,ATF/RTF/JET,2006,2828.000,7077.000
MIDDLE DISTILLATES,ATF/RTF/JET,2007,3652.000,10254.000
MIDDLE DISTILLATES,ATF/RTF/JET,2008,4486.000,13556.000
MIDDLE DISTILLATES,ATF/RTF/JET,2009,3701.000,13498.000
MIDDLE DISTILLATES,ATF/RTF/JET,2010,4588.000,13331.000
MIDDLE DISTILLATES,ATF/RTF/JET,2011,4478.000,16140.000
MIDDLE DISTILLATES,ATF/RTF/JET,2012,4561.000,21857.000
MIDDLE DISTILLATES,ATF/RTF/JET,2013,4664.000,25223.000
MIDDLE DISTILLATES,ATF/RTF/JET,2014,5745.000,33246.000
MIDDLE DISTILLATES,ATF/RTF/JET,2015,5520.000,25413.000
MIDDLE DISTILLATES,ATF/RTF/JET,2016,5686.000,16007.000
MIDDLE DISTILLATES,ATF/RTF/JET,2017,7271.000,22294.000
