Detail Data For Oil Trade Monthly - Petroleum Products Export  Having Year : ALL
.
YearValue,MonthValue,OilType,Qty_000Tonne
2019,4,LPG,37.620
2019,5,LPG,35.650
2020,4,LPG,35.220
2020,5,LPG,31.680
2020,6,LPG,31.580
2020,7,LPG,30.850
2019,6,LPG,33.925
2019,7,LPG,37.697
2019,8,LPG,31.563
2019,9,LPG,40.265
2019,10,LPG,36.952
2019,11,LPG,42.168
2019,12,LPG,41.890
2020,1,LPG,39.127
2020,2,LPG,41.115
2020,3,LPG,45.300
2020,8,LPG,34.143
2020,9,LPG,38.530
2020,10,LPG,36.184
2020,11,LPG,38.655
2020,12,LPG,40.809
2021,1,LPG,46.090
2021,2,LPG,41.267
2021,3,LPG,46.984
2021,4,LPG,42.143
2021,5,LPG,46.265
2019,4,NAPHTHA,615.440
2019,5,NAPHTHA,916.600
2020,4,NAPHTHA,683.180
2020,5,NAPHTHA,641.830
2020,6,NAPHTHA,439.850
2020,7,NAPHTHA,298.900
2019,6,NAPHTHA,547.525
2019,7,NAPHTHA,401.136
2019,8,NAPHTHA,681.361
2019,9,NAPHTHA,779.911
2019,10,NAPHTHA,879.873
2019,11,NAPHTHA,735.738
2019,12,NAPHTHA,972.820
2020,1,NAPHTHA,787.396
2020,2,NAPHTHA,700.879
2020,3,NAPHTHA,820.327
2020,8,NAPHTHA,547.195
2020,9,NAPHTHA,608.648
2020,10,NAPHTHA,283.536
2020,11,NAPHTHA,441.855
2020,12,NAPHTHA,610.969
2021,1,NAPHTHA,598.954
2021,2,NAPHTHA,553.008
2021,3,NAPHTHA,801.182
2021,4,NAPHTHA,457.543
2021,5,NAPHTHA,499.360
2019,4,SKO (KEROSENE),1.610
2019,5,SKO (KEROSENE),1.570
2020,4,SKO (KEROSENE),0.030
2020,5,SKO (KEROSENE),0.050
2020,6,SKO (KEROSENE),0.860
2020,7,SKO (KEROSENE),1.520
2019,6,SKO (KEROSENE),1.964
2019,7,SKO (KEROSENE),1.763
2019,8,SKO (KEROSENE),2.164
2019,9,SKO (KEROSENE),2.274
2019,10,SKO (KEROSENE),0.933
2019,11,SKO (KEROSENE),1.826
2019,12,SKO (KEROSENE),1.580
2020,1,SKO (KEROSENE),59.398
2020,2,SKO (KEROSENE),21.153
2020,3,SKO (KEROSENE),60.802
2020,8,SKO (KEROSENE),0.698
2020,9,SKO (KEROSENE),0.645
2020,10,SKO (KEROSENE),2.255
2020,11,SKO (KEROSENE),1.895
2020,12,SKO (KEROSENE),2.145
2021,1,SKO (KEROSENE),1.888
2021,2,SKO (KEROSENE),1.403
2021,3,SKO (KEROSENE),1.738
2021,4,SKO (KEROSENE),1.356
2021,5,SKO (KEROSENE),1.325
2019,4,ATF/RTF/JET,553.730
2019,5,ATF/RTF/JET,473.180
2020,4,ATF/RTF/JET,439.370
2020,5,ATF/RTF/JET,303.520
2020,6,ATF/RTF/JET,254.520
2020,7,ATF/RTF/JET,225.250
2019,6,ATF/RTF/JET,634.237
2019,7,ATF/RTF/JET,484.068
2019,8,ATF/RTF/JET,543.774
2019,9,ATF/RTF/JET,720.305
2019,10,ATF/RTF/JET,617.520
2019,11,ATF/RTF/JET,713.506
2019,12,ATF/RTF/JET,655.740
2020,1,ATF/RTF/JET,497.426
2020,2,ATF/RTF/JET,524.617
2020,3,ATF/RTF/JET,488.370
2020,8,ATF/RTF/JET,141.133
2020,9,ATF/RTF/JET,267.030
2020,10,ATF/RTF/JET,176.258
2020,11,ATF/RTF/JET,273.308
2020,12,ATF/RTF/JET,313.807
2021,1,ATF/RTF/JET,304.149
2021,2,ATF/RTF/JET,433.451
2021,3,ATF/RTF/JET,412.588
2021,4,ATF/RTF/JET,269.706
2021,5,ATF/RTF/JET,418.252
2019,4,DIESEL/ HSD,2017.190
2019,5,DIESEL/ HSD,2101.070
2020,4,DIESEL/ HSD,3403.610
2020,5,DIESEL/ HSD,2785.950
2020,6,DIESEL/ HSD,2094.050
2020,7,DIESEL/ HSD,2057.700
2019,6,DIESEL/ HSD,2220.226
2019,7,DIESEL/ HSD,2614.466
2019,8,DIESEL/ HSD,2357.477
2019,9,DIESEL/ HSD,3321.761
2019,10,DIESEL/ HSD,3118.980
2019,11,DIESEL/ HSD,3269.653
2019,12,DIESEL/ HSD,3143.000
2020,1,DIESEL/ HSD,2141.418
2020,2,DIESEL/ HSD,2385.996
2020,3,DIESEL/ HSD,2958.176
2020,8,DIESEL/ HSD,2789.670
2020,9,DIESEL/ HSD,2672.833
2020,10,DIESEL/ HSD,2372.989
2020,11,DIESEL/ HSD,2244.019
2020,12,DIESEL/ HSD,2652.790
2021,1,DIESEL/ HSD,2323.881
2021,2,DIESEL/ HSD,2109.164
2021,3,DIESEL/ HSD,3069.312
2021,4,DIESEL/ HSD,1860.587
2021,5,DIESEL/ HSD,2945.486
2019,4,LDO,0.000
2019,5,LDO,0.000
2020,4,LDO,0.000
2020,5,LDO,0.000
2020,6,LDO,0.000
2020,7,LDO,0.000
2019,6,LDO,0.000
2019,7,LDO,0.000
2019,8,LDO,0.000
2019,9,LDO,0.000
2019,10,LDO,0.000
2019,11,LDO,0.000
2019,12,LDO,0.000
2020,1,LDO,0.000
2020,2,LDO,0.000
2020,3,LDO,0.000
2020,8,LDO,0.000
2020,9,LDO,0.000
