Detail Data For Oil Prices - Crude  Domestic Having Year : ALL
.
YearValue,OilType,Offshore_Price_RsPerTonne,Onshore_Price_RsPerTonne,WightedAvg_Price_RsPerTonne
2006,CRUDE OIL,11811.000,7372.000,10174.000
2007,CRUDE OIL,17856.000,14504.000,16725.000
2008,CRUDE OIL,26668.000,24433.000,25913.000
2009,CRUDE OIL,30507.000,28354.000,29796.000
2010,CRUDE OIL,26187.000,24233.000,25530.000
2011,CRUDE OIL,31525.000,28829.000,30614.000
2012,CRUDE OIL,42902.000,41143.000,42293.000
2013,CRUDE OIL,46134.000,43656.000,45295.000
2014,CRUDE OIL,49911.000,45600.000,48504.000
2015,CRUDE OIL,40129.000,37089.000,39215.000
2016,CRUDE OIL,24453.000,22149.000,23799.000
2017,CRUDE OIL,26078.000,23831.000,25433.000
2018,CRUDE OIL,28378.000,26648.000,27866.000
2019,CRUDE OIL,36494.000,34579.000,35886.000
2020,CRUDE OIL,31604.000,30488.000,31237.000
