Detail Data For Oil Supply Monthly - Petroleum Products  Having Year : ALL
.
YearValue,MonthValue,OilType,Qty_000Tonne
2019,4,LPG,979.000
2019,5,LPG,996.000
2020,4,LPG,951.870
2020,5,LPG,964.230
2020,6,LPG,955.890
2020,7,LPG,948.470
2019,6,LPG,985.102
2019,7,LPG,1094.962
2019,8,LPG,1061.547
2019,9,LPG,975.871
2019,10,LPG,1158.788
2019,11,LPG,1144.010
2019,12,LPG,1059.679
2020,1,LPG,1087.096
2020,2,LPG,1118.653
2020,3,LPG,1162.718
2020,8,LPG,905.515
2020,9,LPG,922.612
2020,10,LPG,997.222
2020,11,LPG,1093.460
2020,12,LPG,1116.715
2021,1,LPG,1117.801
2021,2,LPG,984.798
2021,3,LPG,1106.955
2021,4,LPG,1040.072
2021,5,LPG,1008.638
2021,6,LPG,934.883
2019,4,NAPHTHA,1394.000
2019,5,NAPHTHA,1536.000
2020,4,NAPHTHA,1534.310
2020,5,NAPHTHA,1412.190
2020,6,NAPHTHA,1436.420
2020,7,NAPHTHA,1509.160
2019,6,NAPHTHA,1500.846
2019,7,NAPHTHA,1557.310
2019,8,NAPHTHA,1738.843
2019,9,NAPHTHA,1594.079
2019,10,NAPHTHA,1804.732
2019,11,NAPHTHA,1942.062
2019,12,NAPHTHA,1901.024
2020,1,NAPHTHA,1963.891
2020,2,NAPHTHA,1793.825
2020,3,NAPHTHA,1924.059
2020,8,NAPHTHA,1628.468
2020,9,NAPHTHA,1517.986
2020,10,NAPHTHA,1561.275
2020,11,NAPHTHA,1756.384
2020,12,NAPHTHA,1644.121
2021,1,NAPHTHA,1832.815
2021,2,NAPHTHA,1645.569
2021,3,NAPHTHA,1923.421
2021,4,NAPHTHA,1666.665
2021,5,NAPHTHA,1605.272
2021,6,NAPHTHA,1600.969
2019,4,SKO (KEROSENE),262.000
2019,5,SKO (KEROSENE),284.000
2020,4,SKO (KEROSENE),202.160
2020,5,SKO (KEROSENE),180.080
2020,6,SKO (KEROSENE),226.760
2020,7,SKO (KEROSENE),261.030
2019,6,SKO (KEROSENE),318.183
