Detail Data For Oil Supply (Products) Import by Oil Type - Quantity & Amount Having Year : ALL
.
OilType,YearValue,Qty_000Tonne,Amount_RsCrore
LPG,2006,2883.000,7042.000
LPG,2007,2278.000,5766.000
LPG,2008,2832.000,8700.000
LPG,2009,2423.000,8072.000
LPG,2010,2718.000,8329.000
LPG,2011,4484.000,15888.000
LPG,2012,5790.000,27019.000
LPG,2013,6293.000,31696.000
LPG,2014,6607.000,37425.000
LPG,2015,8318.000,36652.000
LPG,2016,8885.000,25626.000
LPG,2017,11097.000,32124.000
LPG,2018,11380.000,37875.000
LPG,2019,13235.000,49939.000
LPG,2020,14845.000,50449.000
PETROL,2006,486.000,1286.000
PETROL,2007,421.000,1326.000
PETROL,2008,328.000,1137.000
PETROL,2009,397.000,1553.000
PETROL,2010,385.000,1264.000
PETROL,2011,1702.000,6427.000
PETROL,2012,654.000,3311.000
PETROL,2013,147.000,891.000
PETROL,2014,235.000,1481.000
PETROL,2015,372.000,2301.000
PETROL,2016,1024.000,4258.000
NAPHTHA,2006,2331.000,5400.000
NAPHTHA,2007,5306.000,14277.000
NAPHTHA,2008,5983.000,18470.000
NAPHTHA,2009,5023.000,17409.000
NAPHTHA,2010,1734.000,4942.000
NAPHTHA,2011,2063.000,6853.000
NAPHTHA,2012,2091.000,9827.000
NAPHTHA,2013,1735.000,9791.000
NAPHTHA,2014,1026.000,6067.000
NAPHTHA,2015,858.000,4102.000
NAPHTHA,2016,2984.000,10166.000
NAPHTHA,2017,2777.000,8374.000
NAPHTHA,2018,2212.000,8161.000
NAPHTHA,2019,2082.000,9665.000
NAPHTHA,2020,1775.000,7028.000
SKO (KEROSENE),2006,1044.000,2617.000
SKO (KEROSENE),2007,1423.000,4250.000
SKO (KEROSENE),2008,2489.000,8324.000
SKO (KEROSENE),2009,1448.000,6583.000
SKO (KEROSENE),2010,985.000,2909.000
SKO (KEROSENE),2011,1381.000,4939.000
SKO (KEROSENE),2012,564.000,2710.000
ATF/RTF/JET,2017,338.000,1109.000
ATF/RTF/JET,2018,300.000,1159.000
ATF/RTF/JET,2019,259.000,1392.000
ATF/RTF/JET,2020,68.000,309.000
DIESEL/ HSD,2017,1008.000,2959.000
DIESEL/ HSD,2018,1361.000,4269.000
DIESEL/ HSD,2019,555.000,2486.000
DIESEL/ HSD,2020,2775.000,11533.000
BITUMEN,2009,105.000,207.000
BITUMEN,2010,69.000,138.000
BITUMEN,2011,98.000,210.000
BITUMEN,2012,78.000,197.000
BITUMEN,2013,85.000,235.000
BITUMEN,2014,237.000,773.000
BITUMEN,2015,458.000,1507.000
BITUMEN,2016,750.000,1820.000
BITUMEN,2017,951.000,1638.000
BITUMEN,2018,950.000,1902.000
BITUMEN,2019,877.000,2149.000
BITUMEN,2020,1286.000,2973.000
OTHERS,2006,3979.000,6486.000
OTHERS,2007,4280.000,7679.000
OTHERS,2008,6346.000,12012.000
OTHERS,2009,2702.000,5277.000
OTHERS,2010,3928.000,4262.000
OTHERS,2011,3352.000,8164.000
OTHERS,2012,2977.000,7282.000
OTHERS,2013,4352.000,8727.000
OTHERS,2014,5571.000,12156.000
OTHERS,2015,7544.000,12538.000
OTHERS,2016,11364.000,12060.000
OTHERS,2017,16585.000,13271.000
OTHERS,2018,15333.000,19120.000
OTHERS,2019,11794.000,26798.000
OTHERS,2020,13558.000,21806.000
FUEL OIL,2017,925.000,1848.000
FUEL OIL,2018,1213.000,3231.000
FUEL OIL,2019,1419.000,4782.000
FUEL OIL,2020,4395.000,11284.000
MOTOR SPIRIT (PETROL),2017,476.000,1617.000
MOTOR SPIRIT (PETROL),2018,174.000,581.000
MOTOR SPIRIT (PETROL),2019,670.000,3104.000
MOTOR SPIRIT (PETROL),2020,2146.000,9610.000
LUBES/GREASES,2017,2131.000,8625.000
LUBES/GREASES,2018,2539.000,12075.000
LUBES/GREASES,2019,2457.000,13349.000
LUBES/GREASES,2020,2481.000,11962.000
