Detail Data For Oil Transport Capacity & Throughput for Operational Pipeline Having Year : ALL
.
YearValue,Onshore_Offshore,OilType,OperatingEntity,PipelineStatus,PipelineName,Capacity_MMT,Throughput_TMT
,NOT KNOWN,LPG,HPCL,UNDER CONSTRUCTION,URAN-CHAKAN-SHIKRAPUR ,1.000,0.000
,NOT KNOWN,LPG,BPCL LED CONSORTIUM,UNDER CONSTRUCTION,KOCHI-COIMBATORE-ERODE-SALEM ,1.530,0.000
,NOT KNOWN,LPG,HPCL,UNDER CONSTRUCTION,MANGALORE-HASSAN-MYSORE-SOLLUR ,3.010,0.000
2015,OFFSHORE,CRUDE OIL,ONGC,OPERATIONAL,"BOMBAY-URAN TRUNK 30"" PIPELINE",18000.000,0.000
2015,OFFSHORE,CRUDE OIL,ONGC,OPERATIONAL,HEERA-URAN TRUNK PIPELINE,11500.000,5075.000
2015,OFFSHORE,CRUDE OIL,ONGC,OPERATIONAL,MUMBAI HIGH - URAN TRUNK PIPELINE,15634.000,8240.000
2015,ONSHORE,CRUDE OIL,BORL,OPERATIONAL,VADINAR - BINA PIPELINE,6000.000,6131.000
2015,ONSHORE,CRUDE OIL,CAIRN,OPERATIONAL,MANGALA- BHOGAT PIPELINE,8714.000,8844.000
2015,ONSHORE,CRUDE OIL,HMEL,OPERATIONAL,MUNDRA - BHATINDA PIPELINE,9000.000,7310.000
2015,ONSHORE,CRUDE OIL,IOCL,OPERATIONAL,MUNDRA PANIPAT PIPELINE,8400.000,7770.000
2015,ONSHORE,CRUDE OIL,IOCL,OPERATIONAL,PARADIP HALDIA BARAUNI PIPELINE,11000.000,16175.000
2015,ONSHORE,CRUDE OIL,IOCL,OPERATIONAL,SALAYA MATHURA PIPELINE,21000.000,23834.000
2015,ONSHORE,CRUDE OIL,OIL,OPERATIONAL,DULIAJAN-DIGBOI-BARAUNI-BON-GAIGAON PIPELINE,8400.000,6772.000
2015,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"10"" AKHOLJUNI TO LAXMIPURA T POINT",481.000,134.000
2015,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"12"" BORHOLLA-JORHAT PIPELINE",600.000,167.000
2015,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"12"" CPF; GANDHAR TO SARASWANI 'T' POINT3",1805.000,586.000
2015,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"12"" LAKWA-MORAN PIPELINE",1500.000,343.000
2015,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"14"" GELEKI-JORHAT PIPELINE",1500.000,572.000
2015,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"14"" KALOL-NAWAGAM-NEW",3140.000,992.000
2015,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"14"" KALOL-NAWAGAM-OLD 1",3140.000,0.000
2015,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"14"" MHN-NGM TRUNK PIPELINE",2265.000,2225.000
2015,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"14"" NAWAGAM-KOYALI PIPELINE",3300.000,1414.000
2015,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"16"" CTF; ANKL TO KOYALI PIPELINE",2199.000,882.000
2015,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"18"" NAWAGAM-KOYALI PIPELINE",5400.000,2314.000
2015,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"4"" GMAA EPT TO S. YAMAM UNLOADING TERMINAL (1ST LINE)5",90.000,0.000
2015,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"4"" GMAA EPT TO S. YANAM UNLOADING TERMINAL (NEW LINE)",90.000,101.000
2015,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"4"" KESNAPALLI-WGGS TO TATIPAKA REFINERY4",83.000,0.000
2015,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"8"" CTF; ANKL TO CPF; GANDHAR2",394.000,0.000
2015,ONSHORE,CRUDE OIL,ONGC,OPERATIONAL,"8"" NARIMANAM TO CPCL REFINERY PIPELINE-OLD6",740.000,237.000
2015,ONSHORE,LPG,BPCL,OPERATIONAL,MUMBAI URAN,800.000,55.000
2015,ONSHORE,LPG,GAIL,OPERATIONAL,JAMNAGAR-LONI LPG PIPELINE,2500.000,2326.000
2015,ONSHORE,LPG,GAIL,OPERATIONAL,VIZAG-SECUNDERABAD LPG PIPELINE,1330.000,1111.000
2015,ONSHORE,LPG,IOCL,OPERATIONAL,PANIPAT - JALANDHAR LPG PIPELINE,700.000,477.000
2015,ONSHORE,PETROLEUM PRODUCTS,BPCL,OPERATIONAL,BINA KOTA (MS/SKO/HSD),4400.000,2548.000
2015,ONSHORE,PETROLEUM PRODUCTS,BPCL,OPERATIONAL,KOCHI REFINERY - KOCHI AIRPORT (ATF),600.000,176.000
2015,ONSHORE,PETROLEUM PRODUCTS,BPCL,OPERATIONAL,KOTA JOBNER (MS/SKO/HSD)1,1700.000,0.000
2015,ONSHORE,PETROLEUM PRODUCTS,BPCL,OPERATIONAL,MUMBAI MANMAD MANGLYA PIYALA BIJWASAN(MS/SKO/HSD),6000.000,6227.000
2015,ONSHORE,PETROLEUM PRODUCTS,BPCL,OPERATIONAL,MUMBAI REFINERY - SANTACRUZ AIRPORT (ATF),1440.000,771.000
2015,ONSHORE,PETROLEUM PRODUCTS,HPCL,OPERATIONAL,AWA-SALAWAS PIPELINE,2340.000,21.000
2015,ONSHORE,PETROLEUM PRODUCTS,HPCL,OPERATIONAL,BAHADURGARH-TIKRIKALAN PIPELINE,750.000,8.000
2015,ONSHORE,PETROLEUM PRODUCTS,HPCL,OPERATIONAL,MUMBAI - PUNE - SOLAPUR PIPELINE,4300.000,3565.000
2015,ONSHORE,PETROLEUM PRODUCTS,HPCL,OPERATIONAL,MUNDRA - DELHI PIPELINE,5000.000,3424.000
2015,ONSHORE,PETROLEUM PRODUCTS,HPCL,OPERATIONAL,RAMANMANDI - BAHADURGARH PIPELINE,4710.000,2904.000
2015,ONSHORE,PETROLEUM PRODUCTS,HPCL,OPERATIONAL,RAMANMANDI - BHATINDA PIPELINE,1130.000,638.000
2015,ONSHORE,PETROLEUM PRODUCTS,HPCL,OPERATIONAL,REWARI-KANPUR PIPELINE,0.000,0.000
2015,ONSHORE,PETROLEUM PRODUCTS,HPCL,OPERATIONAL,VISAKH - VIJAYAWADA - SECUNDERABAD PIPELINE,5380.000,4354.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,BARAUNI KANPUR PIPELINE,3500.000,2263.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,CHENNAI BANGALORE PIPELINE,2450.000,1430.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,CHENNAI MEENAMBAKKAM ATF PIPELINE,180.000,183.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,CHENNAI TRICHY MADURAI PIPELINE,2300.000,2438.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,DEVANGONTHI DEVANHALLI PIPELINE,660.000,221.000
2015,ONSHORE,PETROLEUM PRODUCTS,IOCL,OPERATIONAL,DIGBOI TINSUKIA PIPELINE,1000.000,482.000
