Detail Data For Oil Supply (Crude) Import by Country - Quantity & Amount Having Year : ALL
.
OilType,Country,YearValue,Qty_000Tonne,Amount_RsLacs
CRUDE OIL,UNSPECIFIED,2006,49663.000,8621100.240
CRUDE OIL,TRADE TO UNSPECIFIED COUNTRIES,2006,49671.000,8621800.160
CRUDE OIL,ALGERIA,2007,519.050,118943.240
CRUDE OIL,ANGOLA,2007,538.730,109272.260
CRUDE OIL,AZERBAIJAN,2007,141.200,27775.990
CRUDE OIL,BRAZIL,2007,422.540,54489.940
CRUDE OIL,BRUNEI,2007,544.200,128767.120
CRUDE OIL,EGYPT,2007,1931.920,293910.480
CRUDE OIL,GABON,2007,141.450,25827.480
CRUDE OIL,GUINEA,2007,563.290,120819.350
CRUDE OIL,IRAN,2007,16501.110,2954032.490
CRUDE OIL,IRAQ,2007,12831.510,2494126.730
CRUDE OIL,KOREA RP,2007,128.060,33391.370
CRUDE OIL,KUWAIT,2007,11496.080,2245372.850
CRUDE OIL,MALAYSIA,2007,4387.100,1040768.190
CRUDE OIL,MEXICO,2007,2048.280,293851.240
CRUDE OIL,NIGERIA,2007,13693.970,3129790.200
CRUDE OIL,QATAR,2007,1415.950,290735.970
CRUDE OIL,RUSSIA,2007,320.350,59627.420
CRUDE OIL,SAUDI ARABIA,2007,24794.870,4944202.680
CRUDE OIL,SUDAN,2007,156.040,29085.000
CRUDE OIL,TURKEY,2007,292.370,60948.770
CRUDE OIL,UAE,2007,7397.980,1568425.970
CRUDE OIL,VENEZUELA,2007,2020.180,320472.110
CRUDE OIL,LIBYA,2007,129.960,27822.790
CRUDE OIL,YEMEN REPUBLC,2007,4037.310,849389.300
CRUDE OIL,SYRIA,2007,119.640,29312.000
CRUDE OIL,BR VIRGN IS,2007,39.220,8416.250
CRUDE OIL,GEORGIA,2007,135.160,29611.000
CRUDE OIL,UKRAINE,2007,80.870,19597.190
CRUDE OIL,ALGERIA,2008,341.110,87421.400
CRUDE OIL,ANGOLA,2008,1777.950,408389.950
CRUDE OIL,AUSTRALIA,2008,164.800,36817.580
CRUDE OIL,AZERBAIJAN,2008,276.410,67362.420
CRUDE OIL,BRUNEI,2008,350.290,90734.000
CRUDE OIL,CHINA P R,2008,15.290,4599.630
CRUDE OIL,ECUADOR,2008,256.610,42636.190
CRUDE OIL,EGYPT,2008,1803.720,315897.280
CRUDE OIL,EQUTL GUINEA,2008,262.660,66048.990
CRUDE OIL,GUINEA,2008,1027.780,223447.380
CRUDE OIL,INDONESIA,2008,234.760,51973.780
CRUDE OIL,IRAN,2008,19049.560,3918797.510
CRUDE OIL,IRAQ,2008,12635.930,2748157.820
CRUDE OIL,KUWAIT,2008,11002.630,2469610.870
CRUDE OIL,MALAYSIA,2008,3678.820,934054.880
CRUDE OIL,MEXICO,2008,1668.840,330506.260
CRUDE OIL,NETHERLAND,2008,290.790,61384.400
CRUDE OIL,NIGERIA,2008,12297.990,2930667.500
CRUDE OIL,OMAN,2008,584.030,146850.930
CRUDE OIL,QATAR,2008,669.870,164124.670
CRUDE OIL,RUSSIA,2008,223.370,51196.660
CRUDE OIL,SAUDI ARABIA,2008,27271.850,6075749.960
CRUDE OIL,SUDAN,2008,859.540,163126.720
CRUDE OIL,TURKEY,2008,2095.150,523202.620
CRUDE OIL,UAE,2008,11178.510,2594828.800
CRUDE OIL,VENEZUELA,2008,875.930,156750.430
CRUDE OIL,LIBYA,2008,1710.980,460033.040
CRUDE OIL,YEMEN REPUBLC,2008,2322.750,519935.180
CRUDE OIL,LIBERIA,2008,315.880,77629.210
CRUDE OIL,CUBA,2008,20.270,5331.250
CRUDE OIL,SIERRA LEONE,2008,71.870,18903.100
CRUDE OIL,ALGERIA,2009,195.310,84442.900
CRUDE OIL,ANGOLA,2009,2932.070,649884.370
CRUDE OIL,AUSTRALIA,2009,87.910,25230.240
CRUDE OIL,AZERBAIJAN,2009,276.670,84866.900
CRUDE OIL,BRAZIL,2009,145.120,15207.090
