Detail Data For Oil Supply Monthly - Crude Having Year : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
YearValue,MonthValue,OilType,State,Ownership,Ownership1,CompanyName,Onshore_OffShore,Qty_000Tonne
2019,4,CRUDE OIL,ANDHRA PRADESH,ONGC,ONGC,ONGC,ONSHORE,19.650
2019,4,CRUDE OIL,ANDHRA PRADESH,PSC,PSC,PSC,ONSHORE,0.910
2019,5,CRUDE OIL,ANDHRA PRADESH,ONGC,ONGC,ONGC,ONSHORE,18.060
2019,5,CRUDE OIL,ANDHRA PRADESH,PSC,PSC,PSC,ONSHORE,1.790
2020,4,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,14.530
2020,4,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,3.890
2020,5,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,13.930
2020,5,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,3.920
2020,6,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,12.640
2020,6,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,3.590
2020,7,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,14.050
2020,7,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,3.540
2019,6,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,17.250
2019,6,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,0.820
2019,7,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,17.470
2019,7,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,4.020
2019,8,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,16.862
2019,8,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,4.069
2019,9,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,15.712
2019,9,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,4.417
2019,10,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,15.486
2019,10,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,2.852
2019,11,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,16.100
2019,11,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,4.635
2019,12,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,16.771
2019,12,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,4.877
2020,1,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,17.072
2020,1,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,4.515
2020,2,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,15.357
2020,2,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,4.112
2020,3,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,15.843
2020,3,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,4.207
2020,8,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,12.342
2020,8,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,1.843
2020,9,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,7.950
2020,9,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,1.440
2020,10,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,14.260
2020,10,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,1.930
2020,12,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,13.504
2020,12,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,4.177
2020,11,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,13.940
2020,11,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,3.830
2021,1,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,13.570
2021,1,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,4.210
2021,2,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,11.640
2021,2,CRUDE OIL,ANDHRA PRADESH,PVT/JVS,PVT/JVS,PSC,ONSHORE,3.880
2021,3,CRUDE OIL,ANDHRA PRADESH,PSUS,PSUS,ONGC,ONSHORE,11.980
