observationAbout,observationDate,variableMeasured,value,unit,observationPeriod
dcid:wikidataId/Q1159,2012-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,12769800000,INR,P1Y
dcid:wikidataId/Q1159,2013-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,7370000000,INR,P1Y
dcid:wikidataId/Q1159,2014-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,17686800000,INR,P1Y
dcid:wikidataId/Q1159,2015-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,10709600000,INR,P1Y
dcid:wikidataId/Q1159,2016-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,10503400000,INR,P1Y
dcid:wikidataId/Q1159,2017-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,12069800000,INR,P1Y
dcid:wikidataId/Q1159,2018-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,19230300000,INR,P1Y
dcid:wikidataId/Q1159,2019-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,14578400000,INR,P1Y
dcid:wikidataId/Q1159,2020-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,11037900000,INR,P1Y
dcid:wikidataId/Q1159,2021-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,28241200000,INR,P1Y
dcid:wikidataId/Q1159,2024-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,20805700000,INR,P1Y
dcid:wikidataId/Q1162,2012-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,1374900000,INR,P1Y
dcid:wikidataId/Q1162,2013-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,1457800000,INR,P1Y
dcid:wikidataId/Q1162,2014-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,1610900000,INR,P1Y
dcid:wikidataId/Q1162,2015-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,2051900000,INR,P1Y
dcid:wikidataId/Q1162,2016-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,625000000,INR,P1Y
dcid:wikidataId/Q1162,2017-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,1288700000,INR,P1Y
dcid:wikidataId/Q1162,2018-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,1149700000,INR,P1Y
dcid:wikidataId/Q1162,2019-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,1688000000,INR,P1Y
dcid:wikidataId/Q1162,2020-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,715000000,INR,P1Y
dcid:wikidataId/Q1162,2021-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,3254400000,INR,P1Y
dcid:wikidataId/Q1162,2024-03,dcid:Amount_EconomicActivity_ExpenditureActivity_ReliefOnNaturalCalamity,3264300000,INR,P1Y
