observationAbout,observationDate,value,variableMeasured,unit,scalingFactor,#input
dcid:wikidataId/Q1159,2020,0.01,dcid:Annual_Reserves_Coal_300To600Meter_Coal_Coal_Proved,Meter,,/usr/local/google/home/kuru/DC_July2_2024/data/statvar_imports/NITI/EnergyConsumption/Coal/testdata/sample_input/NITI_EnergyConsumption_Coal_data.csv:27:4
dcid:wikidataId/Q1599,2020,0.01,dcid:Annual_Reserves_Coal_0To300Meter_Coal_Coal_Proved,Meter,,/usr/local/google/home/kuru/DC_July2_2024/data/statvar_imports/NITI/EnergyConsumption/Coal/testdata/sample_input/NITI_EnergyConsumption_Coal_data.csv:28:4
dcid:wikidataId/Q1159,2009,0.01,dcid:Annual_Reserves_Coal_600To1200Meter_Coal_Coal_Proved,Meter,,/usr/local/google/home/kuru/DC_July2_2024/data/statvar_imports/NITI/EnergyConsumption/Coal/testdata/sample_input/NITI_EnergyConsumption_Coal_data.csv:29:4
dcid:wikidataId/Q1165,2021,0.01,dcid:Annual_Reserves_Coal_0To300Meter_Coal_Coal_Inferred,Meter,,/usr/local/google/home/kuru/DC_July2_2024/data/statvar_imports/NITI/EnergyConsumption/Coal/testdata/sample_input/NITI_EnergyConsumption_Coal_data.csv:30:4
dcid:wikidataId/Q1164,2010,0.01,dcid:Annual_Reserves_Coal_300To600Meter_Coal_Coal_Indicated,Meter,,/usr/local/google/home/kuru/DC_July2_2024/data/statvar_imports/NITI/EnergyConsumption/Coal/testdata/sample_input/NITI_EnergyConsumption_Coal_data.csv:31:4
dcid:wikidataId/Q1191,2018,0.01,dcid:Annual_Reserves_Coal_600To1200Meter_Coal_Coal_Proved,Meter,,/usr/local/google/home/kuru/DC_July2_2024/data/statvar_imports/NITI/EnergyConsumption/Coal/testdata/sample_input/NITI_EnergyConsumption_Coal_data.csv:32:4
dcid:wikidataId/Q1599,2016,0.01,dcid:Annual_Reserves_Coal_0To300Meter_Coal_Coal_Proved,Meter,,/usr/local/google/home/kuru/DC_July2_2024/data/statvar_imports/NITI/EnergyConsumption/Coal/testdata/sample_input/NITI_EnergyConsumption_Coal_data.csv:33:4
dcid:wikidataId/Q1599,2017,0.01,dcid:Annual_Reserves_Coal_0To300Meter_Coal_Coal_Proved,Meter,,/usr/local/google/home/kuru/DC_July2_2024/data/statvar_imports/NITI/EnergyConsumption/Coal/testdata/sample_input/NITI_EnergyConsumption_Coal_data.csv:34:4
dcid:wikidataId/Q1159,2010,0.01,dcid:Annual_Reserves_Coal_600To1200Meter_Coal_Coal_Proved,Meter,,/usr/local/google/home/kuru/DC_July2_2024/data/statvar_imports/NITI/EnergyConsumption/Coal/testdata/sample_input/NITI_EnergyConsumption_Coal_data.csv:35:4
dcid:wikidataId/Q1599,2019,0.01,dcid:Annual_Reserves_Coal_0To300Meter_Coal_Coal_Proved,Meter,,/usr/local/google/home/kuru/DC_July2_2024/data/statvar_imports/NITI/EnergyConsumption/Coal/testdata/sample_input/NITI_EnergyConsumption_Coal_data.csv:36:4
