"MeasurementMethods","ScalingFactors","observationPeriods","StatVar","Units","MinDate","NumPlaces"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_25To29Years_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_55To59Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_5To9Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_15To64Years_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_75To79Years_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_80OrMoreYears_Male","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_Upto4Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_10To14Years_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_75To79Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_30To34Years_Male","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_40To44Years_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_60To64Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_40To44Years_Male","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_20To24Years_Male","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_35To39Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_10To14Years_Male","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_75To79Years_Male","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_45To49Years_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person","[]","1990","2497"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_15To19Years","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_65OrMoreYears_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_65To69Years_Male","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_30To34Years_Female","[]","1990","2403"
"[OECDRegionalStatistics]","[]","[P1Y]","Count_Person_55To59Years_Male","[]","1990","2403"
