GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1000,Alabama,5,CAGDP9,88,"42,44-45",Trade ,Thousands of chained 2017 dollars,21440085,22258387,23419054,24175048,25733839,26145056,25992841,25726412,23567853,24265224,24126074,24057184,24745260,25028298,25707046,27130706,27869041,28454745,29026282,29881469,29865938,28367484,29943188
1000,Alabama,5,CAGDP9,89,"22,48-49",Transportation and utilities ,Thousands of chained 2017 dollars,9074317,9006186,9175724,9863094,9818239,10359424,10622044,10874972,10137344,11200388,11558632,11580211,11420326,11244882,11451797,12112319,12207326,12322220,12162943,12206386,12676419,12613666,12944524
1000,Alabama,5,CAGDP9,90,"31-33,51",Manufacturing and information ,Thousands of chained 2017 dollars,26472524,27002624,27908395,33421857,35234638,36666437,36137940,36217238,31438256,33719152,36687878,36581504,38794377,37557574,37352109,38530327,39882649,41341295,42532603,40819254,43342009,45103940,46967368
1000,Alabama,5,CAGDP9,91,...,Private goods-producing industries 2/,Thousands of chained 2017 dollars,38858460,38278233,39992213,46094579,47762632,48582711,48215906,46416792,41270681,42623699,44178286,44702217,47517521,45444593,45333634,46685624,48706505,50344996,51154633,49176085,52064988,53577218,53836510
1000,Alabama,5,CAGDP9,92,...,Private services-providing industries 3/,Thousands of chained 2017 dollars,97756515,101530671,104697691,109715467,114662440,116305259,117606959,118224708,116197734,120394637,120683497,123205093,124263173,125512703,128699036,130903820,132159135,134742281,137963152,136866311,145168972,147294473,152901610
1001,"Autauga, AL",5,CAGDP9,1,...,All industry total ,Thousands of chained 2017 dollars,1041239,1080135,1111465,1283522,1297102,1384119,1407555,1283751,1316046,1409007,1493906,1726577,1618151,1629762,1765826,1846256,1762558,1787534,1740015,1746979,1736001,1895751,1945909
1001,"Autauga, AL",5,CAGDP9,2,..., Private industries ,Thousands of chained 2017 dollars,886321,911038,933486,1087098,1099931,1172606,1188334,1082629,1091664,1191161,1273953,1498014,1381135,1380018,1498744,1592035,1520824,1550988,1512399,1537926,1535267,1652669,1748208
1001,"Autauga, AL",5,CAGDP9,3,11,"  Agriculture, forestry, fishing and hunting ",Thousands of chained 2017 dollars,20331,16284,35863,44979,52973,63012,45188,22072,30148,23135,27359,15110,23038,15327,16185,24801,28886,32233,31678,34163,23395,20740,31920
1001,"Autauga, AL",5,CAGDP9,6,21,"  Mining, quarrying, and oil and gas extraction ",Thousands of chained 2017 dollars,3830,2509,3077,4929,6321,8902,9897,8831,6996,7982,6656,8893,12316,10558,9520,11635,11351,15654,15289,18164,20521,17818,14840
1001,"Autauga, AL",5,CAGDP9,10,22,  Utilities ,Thousands of chained 2017 dollars,25166,57448,61825,102609,81243,125205,145594,122127,144735,222963,320688,486727,402132,373297,461254,474293,376774,371007,357783,388405,364620,497477,549000
1001,"Autauga, AL",5,CAGDP9,11,23,  Construction ,Thousands of chained 2017 dollars,132458,82738,76299,78347,65406,65020,84754,62411,54170,47802,55322,55823,51274,46878,51474,58140,61600,68223,67166,73388,73638,71715,84540
1001,"Autauga, AL",5,CAGDP9,12,31-33,  Manufacturing ,Thousands of chained 2017 dollars,225731,226073,194916,252831,271716,288027,258321,225662,227621,231197,213118,219987,204514,243714,261092,286544,306196,300860,258374,237185,215101,232002,226931
