"observationPeriods","MinDate","ScalingFactors","Units","MeasurementMethods","NumPlaces","StatVar"
"[]","2016","[]","[]","[CensusCBPSurvey]","5718","dc/ex1bzfyrgzrd9"
"[]","2016","[]","[]","[CensusCBPSurvey]","6988","dc/fck4dr8s2s6yf"
"[]","2016","[]","[]","[CensusCBPSurvey]","1174","dc/p8rnnz90jt964"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","3433","dc/m9ctwnh2cdzfg"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","699","dc/6x8eln3gvy5l5"
"[]","2016","[]","[]","[CensusCBPSurvey]","1426","dc/hn5ybkmvwzwk"
"[]","2017","[]","[USDollar]","[CensusCBPSurvey]","984","WagesAnnual_Establishment_NAICSAllOtherConsumerGoodsRental"
"[]","2016","[]","[]","[CensusCBPSurvey]","732","dc/h6mey36zh7g9c"
"[]","2016","[]","[]","[CensusCBPSurvey]","9196","dc/xgjz3c3ltvgcf"
"[]","2016","[]","[]","[CensusCBPSurvey]","3395","dc/zt1my8wwgq3d6"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","514","dc/2zy8nk3mt6er5"
"[]","2016","[]","[]","[CensusCBPSurvey]","1386","dc/0m9bpwr9hms18"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","369","dc/9t2vhftbm0ht"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1564","dc/pv6mnqk1g9rmd"
"[]","2016","[]","[]","[CensusCBPSurvey]","9850","dc/bmtlgl5s8svx1"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1816","dc/v7e0pxl5wwjbh"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1297","dc/tf6cthpv6q7rb"
"[]","2016","[]","[]","[CensusCBPSurvey]","5028","dc/kkvlskvhf5y52"
"[]","2016","[]","[]","[CensusCBPSurvey]","3363","dc/vfe13rnxddjs7"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","3250","dc/00cq0nrtjfmb9"
"[]","2016","[]","[]","[CensusCBPSurvey]","11681","dc/yx2b1v21g3w4h"
"[]","2016","[]","[]","[CensusCBPSurvey]","1397","dc/pfb841kb3ht4"
"[]","2016","[]","[]","[CensusCBPSurvey]","373","dc/5fb3e9d1r7br5"
"[]","2016","[]","[]","[CensusCBPSurvey]","1693","dc/lsq21mck8m5vd"
"[]","2016","[]","[]","[CensusCBPSurvey]","31952","dc/pm57d1zmjqepf"
"[]","2016","[]","[]","[CensusCBPSurvey]","704","dc/9qy39wrsy7dwd"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","472","dc/9s8eft2jq4zm4"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","297","dc/50lhfs2zkvqz5"
"[]","2016","[]","[]","[CensusCBPSurvey]","4087","dc/c9t2g159pysnc"
"[]","2016","[]","[]","[CensusCBPSurvey]","237","dc/k372xq5pfcmb5"
"[]","2016","[]","[]","[CensusCBPSurvey]","4852","dc/gml7n79lyps44"
"[]","2016","[]","[]","[CensusCBPSurvey]","2963","dc/47mdlkzq9xwsf"
"[]","2016","[]","[]","[CensusCBPSurvey]","3039","dc/n41mqe2grm0eh"
"[]","2016","[]","[]","[CensusCBPSurvey]","3034","dc/ckxkdwwps5qcg"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","4064","dc/z61spc7ss0fxg"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1826","dc/n0ssj5g86mw76"
"[]","2016","[]","[]","[CensusCBPSurvey]","4187","Count_Worker_NAICSRetailTrade"
"[]","2016","[]","[]","[CensusCBPSurvey]","1193","dc/rqwmv6ds80lq1"
"[]","2016","[]","[]","[CensusCBPSurvey]","5642","dc/05bn7nk44x72g"
"[]","2017","[]","[USDollar]","[CensusCBPSurvey]","291","WagesAnnual_Establishment_NAICSVideoTapeAndDiscRental"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","2508","dc/srrngzfyt8z3"
"[]","2016","[]","[]","[CensusCBPSurvey]","9110","dc/4cmw7j5k3pfs8"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","38","dc/k5ntd11knhxz7"
"[]","2016","[]","[]","[CensusCBPSurvey]","4327","dc/4f7f49kpe8328"
"[]","2016","[]","[]","[CensusCBPSurvey]","179","dc/04zc1x3b90jx9"
"[]","2016","[]","[]","[CensusCBPSurvey]","900","dc/7y43g81seypy2"
"[]","2016","[]","[]","[CensusCBPSurvey]","545","dc/tvn9nlsjgbhn"
"[]","2016","[]","[]","[CensusCBPSurvey]","10287","dc/dzsm5vd7wwbl6"
"[]","2016","[]","[]","[CensusCBPSurvey]","17963","dc/e7txvsqy4qzb7"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","576","dc/cc3z9kkl76neh"
"[]","2016","[]","[]","[CensusCBPSurvey]","1381","dc/m90lc732mtrp9"
"[]","2016","[]","[]","[CensusCBPSurvey]","1285","dc/xhv7bd5x0rs16"
"[]","2016","[]","[]","[CensusCBPSurvey]","3809","dc/bzg65nl31bp83"
"[]","2016","[]","[]","[CensusCBPSurvey]","347","dc/ypbf3h40kp2g1"
"[]","2016","[]","[]","[CensusCBPSurvey]","3192","dc/zfmxddwfc4cv5"
"[]","2016","[]","[]","[CensusCBPSurvey]","359","dc/jltj8q00f3z53"
"[]","2016","[]","[]","[CensusCBPSurvey]","2315","dc/pzsfgy9dc80kc"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","2301","dc/8nbge03wjl65g"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1987","dc/fvb4sfgrj43g7"
"[]","2016","[]","[]","[CensusCBPSurvey]","831","dc/zzp6htxeqp54h"
"[]","2016","[]","[]","[CensusCBPSurvey]","681","dc/xgb4j40rxdmlc"
"[]","2016","[]","[]","[CensusCBPSurvey]","2250","dc/0dz5241lm3c32"
"[]","2016","[]","[]","[CensusCBPSurvey]","986","dc/0gz0klbjexrx9"
"[]","2016","[]","[]","[CensusCBPSurvey]","296","dc/6cezcrz0l3x18"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1771","dc/vblmz476rzem4"
"[]","2016","[]","[]","[CensusCBPSurvey]","3565","dc/q569esbz5ddr9"
"[]","2016","[]","[]","[CensusCBPSurvey]","351","dc/jegsqlvc25hk3"
"[]","2016","[]","[]","[CensusCBPSurvey]","1288","dc/35667jyk9pt05"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1855","dc/8kkym88v21n0c"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","3140","dc/4881p6zh2wcl5"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","312","dc/tndeztxq5k3q4"
"[]","2016","[]","[]","[CensusCBPSurvey]","1396","dc/cg6pfs05grqp7"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","2674","dc/5zp4yh95n1t01"
"[]","2016","[]","[]","[CensusCBPSurvey]","3965","dc/d7xeg7t8nff55"
"[]","2016","[]","[]","[CensusCBPSurvey]","488","dc/nwt22l0sv3sb4"
"[]","2016","[]","[]","[CensusCBPSurvey]","437","dc/313mysfe82gfc"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1264","dc/2624856dvyxjb"
"[]","2016","[]","[]","[CensusCBPSurvey]","20228","dc/6ddnn21cb0262"
"[]","2016","[]","[]","[CensusCBPSurvey]","1587","dc/fh4vc2yscy1v3"
"[]","2016","[]","[]","[CensusCBPSurvey]","14528","dc/gyq8wm73vfjhd"
"[]","2016","[]","[]","[CensusCBPSurvey]","5624","dc/s22cjs0sek4b2"
"[]","2016","[]","[]","[CensusCBPSurvey]","4852","dc/ed9x9m9783c43"
"[]","2016","[]","[]","[CensusCBPSurvey]","1842","dc/b9xgmp62jehv"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","354","dc/6tzrsmj9gx8l2"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","886","dc/mmv4h3le7xfeg"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","2159","dc/fknnwvq7jjw0g"
"[]","2016","[]","[]","[CensusCBPSurvey]","2303","dc/5b03bnjm0rw9d"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","646","dc/5c9p2vnllstw2"
"[]","2016","[]","[]","[CensusCBPSurvey]","520","dc/6jws29yphzmm7"
"[]","2016","[]","[]","[CensusCBPSurvey]","898","dc/g4spzldztw8tc"
"[]","2016","[]","[]","[CensusCBPSurvey]","177","dc/hgnk0c8tjy58d"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1290","dc/rbq44174k2nd3"
"[]","2016","[]","[]","[CensusCBPSurvey]","1032","dc/9mx93jylcc1yc"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","966","dc/tsny2mggbffpc"
"[]","2016","[]","[]","[CensusCBPSurvey]","220","dc/jqewd4frgg4k"
"[]","2016","[]","[]","[CensusCBPSurvey]","542","dc/977jhrwycyp3f"
"[]","2016","[]","[]","[CensusCBPSurvey]","1424","dc/d30pkbe5df4t1"
"[]","2016","[]","[]","[CensusCBPSurvey]","1435","dc/7c5xvqq894dx7"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","2272","dc/xx99h0b0e3d75"
"[]","2016","[]","[]","[CensusCBPSurvey]","467","dc/ks1erh2rr7mz4"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","444","dc/60e05v17ypf73"
"[]","2016","[]","[]","[CensusCBPSurvey]","795","dc/3zv9v26pndtm4"
"[]","2016","[]","[]","[CensusCBPSurvey]","347","dc/ls29tnemw07f9"
"[]","2016","[]","[]","[CensusCBPSurvey]","1130","dc/4gnrbpx6s5dh"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1198","dc/grbme4jgrpb66"
"[]","2016","[]","[]","[CensusCBPSurvey]","584","dc/t1xpvjmzk61yb"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","2076","dc/wxnhg933ttlv2"
"[]","2016","[]","[]","[CensusCBPSurvey]","385","dc/br5778jhyt4m9"
"[]","2016","[]","[]","[CensusCBPSurvey]","47","dc/551nnbf923nqb"
"[]","2016","[]","[]","[CensusCBPSurvey]","5870","dc/7djew1vn1ectd"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","2011","dc/3pc983edsszjh"
"[]","2016","[]","[]","[CensusCBPSurvey]","5769","dc/1ydzvsdz4rt4h"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","955","dc/8pf8yvshn4dn"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","64","WagesAnnual_Establishment_NAICSMaltManufacturing"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","270","dc/6ngsfcz4eerk2"
"[]","2016","[]","[]","[CensusCBPSurvey]","3066","dc/n75x7j2b9flkh"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","2328","dc/hsr9kw19gytvb"
"[]","2016","[]","[]","[CensusCBPSurvey]","2475","dc/h25hzw2e4gxp8"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","311","dc/jkv495htp3yjf"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","3148","dc/1tn561tk7jxxc"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1132","dc/4kbrbv4jvccm1"
"[]","2016","[]","[]","[CensusCBPSurvey]","1150","dc/9bzddm3qtl62h"
"[]","2016","[]","[]","[CensusCBPSurvey]","301","dc/rwhsxk45lz955"
"[]","2016","[]","[]","[CensusCBPSurvey]","774","dc/nn3gl286yh06d"
"[]","2016","[]","[]","[CensusCBPSurvey]","6372","dc/h1cemp6wb3l25"
"[]","2016","[]","[]","[CensusCBPSurvey]","1291","dc/bks2v5ljswdeh"
"[]","2016","[]","[]","[CensusCBPSurvey]","1803","dc/yzt0k7bc97sy6"
"[]","2016","[]","[]","[CensusCBPSurvey]","11164","dc/7e2cvl0p2qbn9"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1554","dc/8py6btbx1bp4g"
"[]","2016","[]","[]","[CensusCBPSurvey]","3270","dc/0kd33xsz7hkbd"
"[]","2016","[]","[]","[CensusCBPSurvey]","103","dc/p58qzmzfb1ky5"
"[]","2016","[]","[]","[CensusCBPSurvey]","302","dc/42frrr39ebjg6"
"[]","2016","[]","[]","[CensusCBPSurvey]","12352","dc/drl64j398fwyc"
"[]","2016","[]","[]","[CensusCBPSurvey]","291","dc/3v4xc4k03k317"
"[]","2016","[]","[]","[CensusCBPSurvey]","3939","dc/cx2b4wdn1ysz"
"[]","2016","[]","[]","[CensusCBPSurvey]","203","dc/r208y76brz69c"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","81","WagesAnnual_Establishment_NAICSMonetaryAuthoritiesCentralBank_NAICS521110"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1123","dc/j3ysydqc554tb"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","891","dc/mk0mp5kx28mh1"
"[]","2016","[]","[]","[CensusCBPSurvey]","26865","dc/rdj7zqfn9xteh"
"[]","2016","[]","[]","[CensusCBPSurvey]","1764","dc/5ch2qfy8w4tk9"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1911","dc/d6snce0628m24"
"[]","2016","[]","[]","[CensusCBPSurvey]","3829","dc/2etwgx6vecreh"
"[]","2016","[]","[]","[CensusCBPSurvey]","422","dc/ksh241ky7ymd2"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","335","dc/lvjhwwe3054r"
"[]","2016","[]","[]","[CensusCBPSurvey]","536","dc/1785frz66p994"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","3111","dc/cy1gqnrsy18vh"
"[]","2016","[]","[]","[CensusCBPSurvey]","3166","dc/tr3psk060gz13"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","3041","dc/q6epv6h3cz0wc"
"[]","2016","[]","[]","[CensusCBPSurvey]","439","dc/tfwv5tq2bf1bg"
"[]","2016","[]","[]","[CensusCBPSurvey]","1472","dc/31kx80smcp818"
"[]","2016","[]","[]","[CensusCBPSurvey]","2835","dc/hbhmc24pedhnb"
"[]","2016","[]","[]","[CensusCBPSurvey]","5028","dc/p0f18g0m2fyr8"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1842","dc/yb7yx86b5rmd3"
"[]","2016","[]","[]","[CensusCBPSurvey]","1190","dc/rpnm71e4tw5f9"
"[]","2016","[]","[]","[CensusCBPSurvey]","13458","dc/60tf7k437vy25"
"[]","2016","[]","[]","[CensusCBPSurvey]","12951","dc/jf1ferdtyphz8"
"[]","2016","[]","[]","[CensusCBPSurvey]","1034","dc/728qjmv15t19g"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1715","dc/h0ldwnbs6ggyd"
"[]","2016","[]","[]","[CensusCBPSurvey]","6966","dc/5h0wnm1rzb1kb"
"[]","2016","[]","[]","[CensusCBPSurvey]","2341","dc/ypxwdgclctyqd"
"[]","2016","[]","[]","[CensusCBPSurvey]","7928","dc/h84lmw6w2hne2"
"[]","2016","[]","[]","[CensusCBPSurvey]","328","dc/3wcpz8nterh3f"
"[]","2016","[]","[]","[CensusCBPSurvey]","1001","dc/wgsk626482jt"
"[]","2016","[]","[]","[CensusCBPSurvey]","662","dc/6yv47t76xebfc"
"[]","2016","[]","[]","[CensusCBPSurvey]","577","dc/qphv3fe173cm2"
"[]","2016","[]","[]","[CensusCBPSurvey]","822","dc/1f9385fdxlnr9"
"[]","2016","[]","[]","[CensusCBPSurvey]","33528","dc/rdchrqv4egv29"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1420","dc/3pjngswwrl1l3"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","2036","dc/0ffhhb00t20nf"
"[]","2016","[]","[]","[CensusCBPSurvey]","8026","dc/7hp2kdvnb23e6"
"[]","2016","[]","[]","[CensusCBPSurvey]","3589","dc/5s7jjkewfxydd"
"[]","2016","[]","[]","[CensusCBPSurvey]","3204","dc/tw4c6q9mt41ch"
"[]","2016","[]","[]","[CensusCBPSurvey]","2443","dc/wk12nfdrpmfvf"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","124","dc/q8eb4jwvv3dv1"
"[]","2016","[]","[]","[CensusCBPSurvey]","6800","dc/k3f1fv8wqcrhh"
"[]","2016","[]","[]","[CensusCBPSurvey]","1162","dc/ztk6hkhhm8qg4"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","3060","dc/xmhvqrm5gwky2"
"[]","2016","[]","[]","[CensusCBPSurvey]","2240","dc/e278se994hx5b"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1322","dc/xbgkxndqb6qg3"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","2971","dc/8cf9dz950h06c"
"[]","2016","[]","[]","[CensusCBPSurvey]","57","dc/z72wngxds3sm5"
"[]","2016","[]","[]","[CensusCBPSurvey]","1594","dc/m3nn2p2f9x2h9"
"[]","2016","[]","[]","[CensusCBPSurvey]","806","dc/3vbyrlge2exq5"
"[]","2016","[]","[]","[CensusCBPSurvey]","3881","dc/eccm49kkcg0d1"
"[]","2016","[]","[]","[CensusCBPSurvey]","7104","dc/5jqt0zq667hjd"
"[]","2016","[]","[]","[CensusCBPSurvey]","15120","dc/pk24sfjq82957"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","3807","dc/lcl15e00dnxc2"
"[]","2016","[]","[]","[CensusCBPSurvey]","1794","dc/nl5fr6d1mrwv2"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","580","dc/94n136ggqvjq"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","811","dc/kpm64y48fsvt4"
"[]","2016","[]","[]","[CensusCBPSurvey]","6283","dc/l8qtw55d1dds7"
"[]","2016","[]","[]","[CensusCBPSurvey]","11424","dc/lfer5t2ttrkp8"
"[]","2016","[]","[]","[CensusCBPSurvey]","196","dc/g4eqrlx7xb2x4"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1967","dc/bfggqkynxh3kf"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","853","dc/snkjm4qtt1sx9"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","551","dc/km0594st9dxq5"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","88","dc/23ysrd6snqs43"
"[]","2016","[]","[]","[CensusCBPSurvey]","2894","dc/xgegycxws1vm"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","366","dc/x5b7gn9d26f78"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1664","dc/y077cl4p17428"
"[]","2016","[]","[]","[CensusCBPSurvey]","1145","dc/cc9cgrk78hg7h"
"[]","2016","[]","[]","[CensusCBPSurvey]","4716","dc/kcn9mjf432lr4"
"[]","2016","[]","[]","[CensusCBPSurvey]","2769","dc/57v8e6gf00dc2"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","3351","WagesAnnual_Establishment_NAICSMiningQuarryingOilGasExtraction"
"[]","2016","[]","[]","[CensusCBPSurvey]","7068","dc/2c2jc4dwk5sx6"
"[]","2016","[]","[]","[CensusCBPSurvey]","4577","dc/lsq04zq0j0c"
"[]","2016","[]","[]","[CensusCBPSurvey]","10431","dc/xnhlfp0wvp7kh"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","23","dc/l8f5b6lw8gv4g"
"[]","2016","[]","[]","[CensusCBPSurvey]","1515","dc/4zfx7q8mz94w3"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","1397","dc/xb19hgd3xty4b"
"[]","2016","[]","[]","[CensusCBPSurvey]","478","dc/yblrd3wdetzjg"
"[]","2016","[]","[]","[CensusCBPSurvey]","1280","dc/sf8dm1ex4k2x6"
"[]","2016","[]","[]","[CensusCBPSurvey]","14777","dc/4smdz6gbyxsp5"
"[]","2016","[]","[]","[CensusCBPSurvey]","1166","dc/gctz9gg5qc2m4"
"[]","2016","[]","[]","[CensusCBPSurvey]","301","dc/82ylt3hfyxg04"
"[]","2016","[]","[]","[CensusCBPSurvey]","455","dc/e45jqnw21n5gd"
"[]","2016","[]","[]","[CensusCBPSurvey]","561","dc/tp5nzrmkvt835"
"[]","2016","[]","[]","[CensusCBPSurvey]","1022","dc/dhwylv55seg66"
"[]","2016","[]","[]","[CensusCBPSurvey]","6446","dc/qd9ge6rsgewn4"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","710","dc/sgjmzq63dx9t3"
"[]","2016","[]","[]","[CensusCBPSurvey]","594","dc/2tg0b0jyjqfj6"
"[]","2016","[]","[]","[CensusCBPSurvey]","901","dc/6tq61jy6perg6"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","237","dc/5vfrsfg0j5w59"
"[]","2016","[]","[USDollar]","[CensusCBPSurvey]","709","dc/hledjxwywm856"
"[]","2016","[]","[]","[CensusCBPSurvey]","1127","dc/2h8v8md6fz301"
