key,prop,value,p1,v1,,
ID_INDICATEUR:I1,employmentStatus,InLaborForce,measuredProperty,count,populationType,Person
ID_GENRE:GEN1,gender,Male,,,,
ID_GENRE:GEN2,gender,Female,,,,
ID_GENRE:GEN4,#ignore,skip,,,,
ID_GENRE:GEN5,#ignore,skip,,,,
ID_DEPARTEMENT:D5,observationAbout,wikidataId/Q1588249,,,,
ID_DEPARTEMENT:D6,observationAbout,wikidataId/Q5594719,,,,
ID_DEPARTEMENT:D7,observationAbout,wikidataId/Q3160383,,,,
ID_DEPARTEMENT:D9,observationAbout,wikidataId/Q4738854,,,,
ID_DEPARTEMENT:D10,observationAbout,wikidataId/Q263616,,,,
ID_DEPARTEMENT:D11,observationAbout,wikidataId/Q4701559,,,,
ID_DEPARTEMENT:D12,observationAbout,wikidataId/Q8047054,,,,
TIME_PERIOD,observationDate,{Number},,,,
OBS_VALUE,value,{Number},,,,
FREQ:A,observationPeriod,P1Y,,,,
