key,prop,value,p1,v1,,,,,,,,
ID_INDICATOR:KN.B1,measuredProperty,amount,populationType,EconomicActivity,activitySource,GrossDomesticProduction,measurementQualifier,Nominal,#Multiply,1000000,unit,XAF
ID_INDICATOR:KN.B2,measuredProperty,amount,populationType,EconomicActivity,activitySource,GrossDomesticProduction,measurementQualifier,Nominal,measurementDenominator,PerCapita,unit,XAF
ID_INDICATOR:KN.B3,measuredProperty,amount,populationType,EconomicActivity,activitySource,GrossDomesticProduction,measurementQualifier,RealValue,statType,growthRate,unit,Percent
ID_INDICATOR:KN.B4,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B5,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B6,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B7,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B8,measuredProperty,exports,populationType,EconomicActivity,#Multiply,1000000,unit,XAF,,,,
ID_INDICATOR:KN.B9,measuredProperty,imports,populationType,EconomicActivity,#Multiply,1000000,unit,XAF,,,,
ID_INDICATOR:KN.B10,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B11,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B12,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B13,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B14,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B15,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B16,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B17,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B18,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B19,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B20,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B21,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B22,measuredProperty,amount,populationType,EconomicActivity,activitySource,ExpenditureActivity,measurementDenominator,Amount_EconomicActivity_GrossDomesticProduction,unit,Percent,scalingFactor,100
ID_INDICATOR:KN.B23,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B24,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B25,measuredProperty,amount,populationType,Debt,#Multiply,1000000,unit,XAF,,,,
ID_INDICATOR:KN.B26,measuredProperty,amountOutstanding,populationType,Debt,#Multiply,1000000,unit,XAF,,,,
ID_INDICATOR:KN.B27,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B28,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B29,#ignore,skip,,,,,,,,,,
ID_INDICATOR:KN.B30,#ignore,skip,,,,,,,,,,
TIME_PERIOD,observationDate,{Number},,,,,,,,,,
OBS_VALUE,value,{Number},observationAbout,country/CIV,,,,,,,,
FREQ:A,observationPeriod,P1Y,,,,,,,,,,
