place_name,dcid
DISTRICT AUTONOME D'ABIDJAN,wikidataId/Q4667612
HAUT-SASSANDRA,wikidataId/Q845709
PORO,
GBEKE,wikidataId/Q22080826
INDENIE-DJUABLIN,wikidataId/Q303645
TONKPI,wikidataId/Q17355578
DISTRICT AUTONOME DE YAMOUSSOUKRO,wikidataId/Q19830973
GONTOUGO,wikidataId/Q17355494
SAN-PEDRO,
KABADOUGOU,wikidataId/Q24756897
N'ZI,wikidataId/Q22080918
MARAHOUE,wikidataId/Q839083
SUD-COMOE,wikidataId/Q842495
WORODOUGOU,wikidataId/Q846056
LOH-DJIBOUA,wikidataId/Q21084295
AGNEBY-TIASSA,wikidataId/Q16525480
GOH,
CAVALLY,wikidataId/Q20641894
BAFING,wikidataId/Q799800
BAGOUE,wikidataId/Q2879161
BELIER,wikidataId/Q19677085
BERE,
BOUNKANI,wikidataId/Q19830823
FOLON,wikidataId/Q3075118
GBOKLE,wikidataId/Q22080829
GRANDS-PONTS,wikidataId/Q22080838
GUEMON,wikidataId/Q21082912
HAMBOL,wikidataId/Q21082919
IFFOU,wikidataId/Q21082947
LA ME,
NAWA,
TCHOLOGO,wikidataId/Q17355495
