place_name,dcid,,,,,
KN.A673,,,KN.A673,Ensemble Côte D'Ivoire,,Attiegouakro
KN.A17,wikidataId/Q1515,AdministrativeArea5,KN.A17,Dpt-Abidjan,,Yamoussoukro
KN.A11,wikidataId/Q19830972,City,KN.A11,Abidjan,,Gueyo
KN.A1,wikidataId/Q322624,,KN.A1,Abobo,,Soubre
KN.A2,wikidataId/Q357695,,KN.A2,Adjame,,Sassandra
KN.A3,,,KN.A3,Attecoube,,Abengourou
KN.A4,wikidataId/Q1105423,,KN.A4,Cocody,,Agnibilekrou
KN.A5,wikidataId/Q1283513,,KN.A5,Koumassi,,Aboisso
KN.A6,wikidataId/Q3290197,,KN.A6,Marcory,,Adiake
KN.A7,,,KN.A7,Plateau,,Grand-Bassam
KN.A8,wikidataId/Q1491106,,KN.A8,Port-Bouet,,Tiapoum
KN.A9,wikidataId/Q493643,,KN.A9,Treichville,,Gbeleban
KN.A10,wikidataId/Q1470529,,KN.A10,Yopougon,,Madinani
KN.A16,,,KN.A16,S/P Abidjan,,Odienne
KN.A12,wikidataId/Q613795,,KN.A12,Anyama,,Samatiguila
KN.A13,wikidataId/Q863795,,KN.A13,Bingerville,,Seguelon
KN.A14,wikidataId/Q2925963,,KN.A14,Brofodoume,,Minignan
KN.A15,wikidataId/Q3490368,,KN.A15,Songon,,Gagnoa
KN.A24,,,KN.A24,District Autonome Yamoussoukro,,Oume
KN.A20,,#ERROR!,KN.A20,Attiegouakro,,Guitry
KN.A18,,,KN.A18,Attiegouakro,,Didievi
KN.A19,wikidataId/Q2870129,,KN.A19,Lolobo (D'Attiegouakro),,Djekanou
KN.A23,,,KN.A23,Yamoussoukro,,Tiebissou
KN.A21,,,KN.A21,Yamoussoukro,,Toumodi
KN.A22,,,KN.A22,Kossou,,Daoukro
KN.A67,wikidataId/Q809733,,KN.A67,District Du Bas-Sassandra,,M'Bahiakro
KN.A38,wikidataId/Q22080959,,KN.A38,Région San-Pedro,,Prikro
KN.A30,wikidataId/Q54119,,KN.A30,San Pedro,,Bocanda
KN.A25,,,KN.A25,Doba,,Dimbokro
KN.A26,wikidataId/Q2566827,,KN.A26,Dogbo,,Kouassi-Kouassikro
KN.A27,,,KN.A27,Gabiadji,,Arrah
KN.A28,,,KN.A28,Grand-Bereby,,Bongouanou
KN.A29,wikidataId/Q54119,,KN.A29,San-Pedro,,N'Guessankro
KN.A37,,,KN.A37,Tabou,,M'Batto
KN.A31,,,KN.A31,Dapo-Iboke,,Dabou
KN.A32,,,KN.A32,Djamandioke,,Jacqueville
KN.A33,,,KN.A33,Djouroutou,,Agboville
KN.A34,,,KN.A34,Grabo,,Sikensi
KN.A35,wikidataId/Q3351530,,KN.A35,Olodio,,Taabo
KN.A36,,,KN.A36,Tabou,,Tiassale
KN.A54,,,KN.A54,Région Nawa,,Adzope
KN.A41,,,KN.A41,Buyo,,Akoupe
KN.A39,,,KN.A39,Buyo,,Yakasse-Attobrou
KN.A40,,,KN.A40,Dapeoua,,Biankouma
KN.A44,,,KN.A44,Gueyo,,Danane
KN.A42,,,KN.A42,Dabouyo,,Sipilou
KN.A43,,,KN.A43,Gueyo,,Zouan-Hounien
KN.A48,,,KN.A48,Meagui,,Guiglo
KN.A45,,,KN.A45,Gnamangui,,Taï
KN.A46,,,KN.A46,Meagui,,Toulepleu
KN.A47,wikidataId/Q3358344,,KN.A47,Oupoyo,,Bangolo
KN.A53,wikidataId/Q1587131,,KN.A53,Soubre,,Duekoue
KN.A49,,,KN.A49,Grand-Zattry,,Guezon
KN.A50,,,KN.A50,Liliyo,,Facobly
KN.A51,wikidataId/Q3350079,,KN.A51,Okrouyo,,Kouibly
KN.A52,wikidataId/Q1587131,,KN.A52,Soubre,,Daloa
KN.A66,,,KN.A66,Région Gbokle,,Issia
KN.A58,,,KN.A58,Fresco,,Vavoua
KN.A55,wikidataId/Q3011942,,KN.A55,Dahiri,,Zoukougbeu
KN.A56,,,KN.A56,Fresco,,Bouafle
KN.A57,,,KN.A57,Gbagbam,,Sinfra
KN.A65,,,KN.A65,Sassandra,,Dikodougou
KN.A59,wikidataId/Q3012257,,KN.A59,Dakpadou,,Korhogo
KN.A60,wikidataId/Q3116685,,KN.A60,Grihiri,,Sinematiali
KN.A61,wikidataId/Q3257600,,KN.A61,Lobakuya,,Ferkessedougou
KN.A62,,,KN.A62,Medon,,Ouangolodougou
KN.A63,,,KN.A63,Sago,,Boundiali
