"MinDate","MeasurementMethods","NumPlaces","observationPeriods","ScalingFactors","Units","StatVar"
"2000","[CensusPEPSurvey_Race2000Onwards]","3156","[P1Y]","[]","[]","Count_Person_WhiteAlone"
"2000","[CensusPEPSurvey_Race2000Onwards]","3156","[P1Y]","[]","[]","Count_Person_AsianAlone"
"2010","[CensusPEPSurvey_Race2000Onwards]","3152","[P1Y]","[]","[]","Count_Person_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces"
"2000","[CensusPEPSurvey_Race2000Onwards]","3156","[P1Y]","[]","[]","Count_Person_NativeHawaiianAndOtherPacificIslanderAlone"
"2010","[CensusPEPSurvey_Race2000Onwards]","3152","[P1Y]","[]","[]","Count_Person_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces"
"2000","[CensusPEPSurvey_Race2000Onwards]","3156","[P1Y]","[]","[]","Count_Person_TwoOrMoreRaces"
"2000","[CensusPEPSurvey_Race2000Onwards]","3156","[P1Y]","[]","[]","Count_Person_BlackOrAfricanAmericanAlone"
"2010","[CensusPEPSurvey_Race2000Onwards]","3152","[P1Y]","[]","[]","Count_Person_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces"
"2010","[CensusPEPSurvey_Race2000Onwards]","3152","[P1Y]","[]","[]","Count_Person_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces"
"2010","[CensusPEPSurvey_Race2000Onwards]","3152","[P1Y]","[]","[]","Count_Person_AsianAloneOrInCombinationWithOneOrMoreOtherRaces"
"2000","[CensusPEPSurvey_Race2000Onwards]","3156","[P1Y]","[]","[]","Count_Person_AmericanIndianAndAlaskaNativeAlone"
