key,p1,v2,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7
Year,observationAbout,country/USA,observationDate,{Number},measuredProperty,index,observationPeriod,P1Y,measurementQualifier,Nominal,measurementMethod,BaseYear2010,,
World Bank Commodity Price Index,populationType,Commodity,value,{Number},,,,,,,,,,
Energy,populationType,Commodity,commodityCategory,Energy,value,{Number},,,,,,,,
Non-energy,populationType,Commodity,commodityCategory,NonEnergy,value,{Number},,,,,,,,
Agriculture,populationType,Commodity,commodityCategory,Agriculture,value,{Number},,,,,,,,
Beverages,populationType,Commodity,commodityCategory,Beverage,value,{Number},,,,,,,,
Food,populationType,Commodity,commodityCategory,Food,value,{Number},,,,,,,,
Oils & Meals,populationType,Commodity,commodityCategory,OilAndMeal,value,{Number},,,,,,,,
Grains,populationType,Commodity,commodityCategory,Grain,value,{Number},,,,,,,,
Other Food,populationType,Commodity,commodityCategory,OtherFoods,value,{Number},,,,,,,,
Raw Materials,populationType,Commodity,commodityCategory,RawMaterials,value,{Number},,,,,,,,
Timber,populationType,Commodity,commodityCategory,Timber,value,{Number},,,,,,,,
Other Raw Mat.,populationType,Commodity,commodityCategory,OtherRawMaterial,value,{Number},,,,,,,,
Fertilizers,populationType,Commodity,commodityCategory,Fertilizer,value,{Number},,,,,,,,
Metals & Minerals,populationType,Commodity,commodityCategory,MetalAndMineral,value,{Number},,,,,,,,
Base Metals (ex. iron ore),populationType,Commodity,commodityCategory,BaseMetalsExceptIronOre,value,{Number},,,,,,,,
Precious Metals,populationType,Commodity,commodityCategory,PreciousMetal,value,{Number},,,,,,,,
