key,prop,val,p1,v1,p2,v2,p3,v3
OBS_VALUE,value,{Number},populationType,ConsumerGoodsAndServices,,,,
TIME_PERIOD,observationDate,{Data},,,,,,
LOCATION,observationAbout,{Data},,,,,,
FREQ:M,observationPeriod,P1M,,,,,,
FREQ:A,observationPeriod,P1A,,,,,,
KN.I1,consumerGoodsCategory,AllItems,name,"""Consumer price index of all items""",,,,
KN.I2,consumerGoodsCategory,AllItemsExceptFarmProducts,name,"""Consumer price index of all items except farm products""",,,,
KN.I3,consumerGoodsCategory,AllItemsExceptFarmProductAndEnergy,name,"""Consumer price index of all items except farm product and energy""",,,,
KN.I4,consumerGoodsCategory,ImportedFood,name,"""Consumer price index of imported food""",,,,
10015,consumerGoodsCategory,WheatFlour,name,"""Consumer price index of wheat flour""",,,,
10016,consumerGoodsCategory,Rice,name,"""Consumer price index of rice""",,,,
10122,consumerGoodsCategory,SemovitaGolden,name,"""Consumer price index of semovita golden""",,,,
10132,consumerGoodsCategory,BreadSliced,name,"""Consumer price index of bread sliced""",,,,
10136,consumerGoodsCategory,Cake,name,"""Consumer price index of cake""",,,,
10141,consumerGoodsCategory,Biscuit,name,"""Consumer price index of biscuit""",,,,
11335,consumerGoodsCategory,FrozenFish,name,"""Consumer price index of frozen fish""",,,,
11342,consumerGoodsCategory,CannedMeat,name,"""Consumer price index of canned meat""",,,,
12017,consumerGoodsCategory,PreservedMilkAndOther,name,"""Consumer price index of preserved milk and other""",,,,
16203,consumerGoodsCategory,OtherEdibleOils,name,"""Consumer price index of other edible oils""",,,,
17200,consumerGoodsCategory,CannedVegetables,name,"""Consumer price index of canned vegetables""",,,,
17304,consumerGoodsCategory,TeaAndCoffeeAndChocolate,name,"""Consumer price index of tea, coffee, and chocolate""",,,,
18101,consumerGoodsCategory,Sugar,name,"""Consumer price index of sugar""",,,,
19104,consumerGoodsCategory,Spirit,name,"""Consumer price index of spirit""",,,,
19301,consumerGoodsCategory,CuredTobaccoLeaf,name,"""Consumer price index of cured tobacco leaf""",,,,
KN.I6,consumerGoodsCategory,FoodAndNonAlcoholicBeverages,name,"""Consumer price index of food and non alcoholic beverages""",,,,
KN.I5,consumerGoodsCategory,Food,name,"""Consumer price index of food""",,,,
111,consumerGoodsCategory,BreadAndCereals,name,"""Consumer price index of bread and cereals""",,,,
10131,consumerGoodsCategory,BreadUnsliced,name,"""Consumer price index of bread unsliced""",,,,
10133,consumerGoodsCategory,CabinBiscuit,name,"""Consumer price index of cabin biscuit""",,,,
14021,consumerGoodsCategory,CassavaFlour,name,"""Consumer price index of cassava flour""",,,,
10100,consumerGoodsCategory,CornFlakes,name,"""Consumer price index of corn flakes""",,,,
10124,consumerGoodsCategory,CornFlour,name,"""Consumer price index of corn flour""",,,,
10117,consumerGoodsCategory,Custard,name,"""Consumer price index of custard""",,,,
10006,consumerGoodsCategory,Eko,name,"""Consumer price index of eko""",,,,
10030,consumerGoodsCategory,FrittersPuff,name,"""Consumer price index of fritters puff""",,,,
14004,consumerGoodsCategory,GariWhite,name,"""Consumer price index of gari white""",,,,
14005,consumerGoodsCategory,GariYellow,name,"""Consumer price index of gari yellow""",,,,
14023,consumerGoodsCategory,GuineaCorn,name,"""Consumer price index of guinea corn""",,,,
KN.10016,consumerGoodsCategory,ImportedRice,name,"""Consumer price index of imported rice""",,,,
