place_name,dcid
NG,country/NGA
NG-AB,wikidataId/Q320852
NG-FC,wikidataId/Q3787
NG-AD,wikidataId/Q337514
NG-AK,wikidataId/Q424388
NG-AN,wikidataId/Q117714
NG-BA,wikidataId/Q503936
NG-BY,wikidataId/Q532153
NG-BE,wikidataId/Q429908
NG-BO,wikidataId/Q130626
NG-CR,wikidataId/Q739676
NG-DE,wikidataId/Q503910
NG-EB,wikidataId/Q506808
NG-ED,wikidataId/Q682704
NG-EK,wikidataId/Q534917
NG-EN,wikidataId/Q3817714
NG-GO,wikidataId/Q376241
NG-IM,wikidataId/Q842939
NG-JI,wikidataId/Q682691
NG-KD,wikidataId/Q878284
NG-KN,wikidataId/Q682571
NG-KT,wikidataId/Q657821
NG-KE,wikidataId/Q748523
NG-KO,wikidataId/Q387745
NG-KW,wikidataId/Q464953
NG-LA,wikidataId/Q815913
NG-NA,wikidataId/Q836645
NG-NI,wikidataId/Q503932
NG-OG,wikidataId/Q836657
NG-ON,wikidataId/Q836654
NG-OS,wikidataId/Q682721
NG-OY,wikidataId/Q503905
NG-PL,wikidataId/Q503928
NG-RI,wikidataId/Q503923
NG-SO,wikidataId/Q503941
NG-TA,wikidataId/Q463959
NG-YO,wikidataId/Q682777
NG-ZA,wikidataId/Q145793
