key,prop,val,p1,v1,p2,v2,p3,v3
OBS_VALUE,value,{Number},populationType,Person,observationAbout,country/NGA,#Multiply,1000
TIME_PERIOD,observationDate,{Number},name,"""{Name1}""",,,,
FREQ,observationPeriod,P1Y,,,,,,
6770319,gender,Male,Name2,Male,,,,
6770419,gender,Female,Name2,Female,,,,
ACCOUNTANCY,enrollmentLevel,Graduate,bachelorsDegreeMajor,Accountancy,,,Name1,"""Number of {Name2} people that graduate in Accountancy"""
AGRIC ENGINEERING TECHNOLOGY,enrollmentLevel,Graduate,bachelorsDegreeMajor,AgriculturalEngineering,,,Name1,"""Number of {Name2} people that graduate in  Agricultural Engineering Technology"""
AGRIC ENGR (FARM POWER MACHINE),enrollmentLevel,Graduate,bachelorsDegreeMajor,AgriculturalEngineering,courseSpecialization,FarmPowerMachine,Name1,"""Number of {Name2} people graduate in Agricultural Engineering (Farm Power Machine)"""
AGRIC TECHNOLOGY(POST HARVEST),enrollmentLevel,Graduate,bachelorsDegreeMajor,AgriculturalEngineering,courseSpecialization,PostHarvest,Name1,"""Number of {Name2} people that graduate in  Agricultural Technology with Post Harvest"""
AGRICULTURAL ENGINEERING TECHNOLOGY (SOILl,enrollmentLevel,Graduate,bachelorsDegreeMajor,AgriculturalEngineering,courseSpecialization,Soil,Name1,"""Number of {Name2} people that graduate in  Agricultural Engineering Technology in Soil"""
ARCHITECTURAL TECH,enrollmentLevel,Graduate,bachelorsDegreeMajor,ArchitectureAndRelatedServicesMajor,,,Name1,"""Number of {Name2} people that graduate in Architectural Technology"""
ART & INDUSTRIAL DESIGN (PAINTING),enrollmentLevel,Graduate,bachelorsDegreeMajor,ArtAndIndustrialDesign,courseSpecialization,Painting,Name1,"""Number of {Name2} people that graduate in Art and Industrial Design in Painting"""
ART AND INDUSTRAIL DESIGN(GRAPHICS),enrollmentLevel,Graduate,bachelorsDegreeMajor,ArtAndIndustrialDesignGraphics,courseSpecialization,Graphics,Name1,"""Number of {Name2} people that graduate in Art and Industrial Design in Graphics"""
ART AND INDUSTRIAL DESIGN,enrollmentLevel,Graduate,bachelorsDegreeMajor,ArtAndIndustrialDesign,,,Name1,"""Number of {Name2} people that graduate in Art and Industrial Design"""
BANKING AND FINANCE,enrollmentLevel,Graduate,bachelorsDegreeMajor,BankingAndFinance,,,Name1,"""Number of {Name2} people that graduate in Banking and Finance"""
BANKING OPERATIONS,enrollmentLevel,Graduate,bachelorsDegreeMajor,BankingOperations,,,Name1,"""Number of {Name2} people that graduate in Banking Operations"""
BUILDING TECHNOLOGY,enrollmentLevel,Graduate,bachelorsDegreeMajor,BuildingTechnology,,,Name1,"""Number of {Name2} people that graduate in Building Technology"""
BUSINESS ADMIN & MGT,enrollmentLevel,Graduate,bachelorsDegreeMajor,BusinessAdministrationAndManagement,,,Name1,"""Number of {Name2} people that graduate in Business Admin & Mgt"""
CERAMIC TECHNOLOGY,enrollmentLevel,Graduate,bachelorsDegreeMajor,CeramicTechnology,,,Name1,"""Number of {Name2} people that graduate in Ceramic Technology"""
CHEMICAL ENGINEERING TECHNOLOGY,enrollmentLevel,Graduate,bachelorsDegreeMajor,ChemicalEngineering,,,Name1,"""Number of {Name2} people that graduate in Chemical Engineering Technology"""
CIVIL ENGR TECH (TRANSPORTATION),enrollmentLevel,Graduate,bachelorsDegreeMajor,CivilEngineeringTechnology,courseSpecialization,Transportation,Name1,"""Number of {Name2} people that graduate in Civil Engineering Technology in Transportation"""
CIVIL ENGR TECHNOLOGY,enrollmentLevel,Graduate,bachelorsDegreeMajor,CivilEngineeringTechnology,,,Name1,"""Number of {Name2} people that graduate in Civil Engineering Technology"""
CIVIL ENGR TECHNOLOGY (STRUCTURES ENG),enrollmentLevel,Graduate,bachelorsDegreeMajor,CivilEngineeringTechnology,courseSpecialization,StructuresEngineering,Name1,"""Number of {Name2} people that graduate in Civil Engineering Technology in Structures Engineering"""
COMPUTER ENGR TECH,enrollmentLevel,Graduate,bachelorsDegreeMajor,ComputerEngineeringTechnology,,,Name1,"""Number of {Name2} people that graduate in Computer Engineering Technology"""
COMPUTER SCIENCE,enrollmentLevel,Graduate,bachelorsDegreeMajor,ComputerAndITMajor,,,Name1,"""Number of {Name2} people that graduate in Computer Science"""
COOPERATIVE ECONOMICS & MANAGEMENT,enrollmentLevel,Graduate,bachelorsDegreeMajor,CooperativeEconomicsAndManagement,,,Name1,"""Number of {Name2} people that graduate in Cooperative Economics & Management"""
ELECT/ELECT (ELECTRONICS & TELECOMS),enrollmentLevel,Graduate,bachelorsDegreeMajor,ElectricalEngineering__ElectronicsEngineering,courseSpecialization,ElectronicsAndTelecommunication,Name1,"""Number of {Name2} people that graduate in Electrical/Electronics Engineering in Electronics and Telecoms"""
ELECT/ELECT (ELECTRONICS),enrollmentLevel,Graduate,bachelorsDegreeMajor,ElectricalEngineering__ElectronicsEngineering,courseSpecialization,Electronics,Name1,"""Number of {Name2} people that graduate in Electrical/Electronics Engineering in Electronics"""
ELECT/ELECTRONICS ENGR,enrollmentLevel,Graduate,bachelorsDegreeMajor,ElectricalEngineering__ElectronicsEngineering,,,Name1,"""Number of {Name2} people that graduate in Electrical/Electronics Engineering"""
ELECTRICAL/ELECTRONICS(POWER OPTION),enrollmentLevel,Graduate,bachelorsDegreeMajor,ElectricalEngineering__ElectronicsEngineering,courseSpecialization,PowerOption,Name1,"""Number of {Name2} people that graduate in Electrical/Electronics Engineering in Power Option"""
ESTATE MGT,enrollmentLevel,Graduate,bachelorsDegreeMajor,EstateManagement,,,Name1,"""Number of {Name2} people that graduate in Estate Management"""
FASHION DESIGN & CLOTHING TECH,enrollmentLevel,Graduate,bachelorsDegreeMajor,FashionDesignAndClothingTechnology,,,Name1,"""Number of {Name2} people that graduate in Fashion Design & Clothing Technology"""
