place_name,dcid
AL,geoId/01
AK,geoId/02
AR,geoId/05
AZ,geoId/04
CA,geoId/06
CO,geoId/08
CT,geoId/09
DC,geoId/11
DE,geoId/10
FL,geoId/12
GA,geoId/13
HI,geoId/15
IA,geoId/19
ID,geoId/16
IL,geoId/17
IN,geoId/18
KS,geoId/20
KY,geoId/21
LA,geoId/22
MA,geoId/25
MD,geoId/24
ME,geoId/23
MI,geoId/26
MN,geoId/27
MO,geoId/29
MS,geoId/28
MT,geoId/30
NC,geoId/37
ND,geoId/38
NE,geoId/31
NH,geoId/33
NJ,geoId/34
NM,geoId/35
NV,geoId/32
NY,geoId/36
OH,geoId/39
OK,geoId/40
OR,geoId/41
PA,geoId/42
PR,geoId/72
RI,geoId/44
SC,geoId/45
SD,geoId/46
TN,geoId/47
TX,geoId/48
UT,geoId/49
VA,geoId/51
VT,geoId/50
WA,geoId/53
WI,geoId/55
WV,geoId/54
WY,geoId/56
