place_name,dcid
Abu Dhabi,wikidataId/Q187712
Dubai,wikidataId/Q613
Al Sharjah,wikidataId/Q188810
Ajman,wikidataId/Q159477
Umm Al - Quwain,wikidataId/Q175021
Ras Al Khaima,wikidataId/Q170024
Al Fujairah,wikidataId/Q4091
