Emirates_EN,Emirates_AR,Nationality_EN,Nationality_AR,sex_EN,sex_AR ,year ,value 
Abu Dhabi,أبوظبي ,National,مواطنين ,Male,ذكور,1975,29238
Dubai,دبي ,National,مواطنين ,Male,ذكور,1975,26096
Al Sharjah,الشارقة ,National,مواطنين ,Male,ذكور,1975,21318
Ajman,عجمان ,National,مواطنين ,Male,ذكور,1975,3933
Umm Al - Quwain,أم القيوين ,National,مواطنين ,Male,ذكور,1975,2301
Ras Al Khaima,رأس الخيمة ,National,مواطنين ,Male,ذكور,1975,15277
Al Fujairah,الفجيرة ,National,مواطنين ,Male,ذكور,1975,6869
Abu Dhabi,أبوظبي ,National,مواطنين ,female ,إناث,1975,25648
Dubai,دبي ,National,مواطنين ,female ,إناث,1975,24720
Al Sharjah,الشارقة ,National,مواطنين ,female ,إناث,1975,19909
Ajman,عجمان ,National,مواطنين ,female ,إناث,1975,3509
Umm Al - Quwain,أم القيوين ,National,مواطنين ,female ,إناث,1975,2157
Ras Al Khaima,رأس الخيمة ,National,مواطنين ,female ,إناث,1975,14336
Al Fujairah,الفجيرة ,National,مواطنين ,female ,إناث,1975,6233
Abu Dhabi,أبوظبي ,Non-National,غير مواطنين ,Male,ذكور,1975,125820
Dubai,دبي ,Non-National,غير مواطنين ,Male,ذكور,1975,102725
Al Sharjah,الشارقة ,Non-National,غير مواطنين ,Male,ذكور,1975,29937
Ajman,عجمان ,Non-National,غير مواطنين ,Male,ذكور,1975,6587
Umm Al - Quwain,أم القيوين ,Non-National,غير مواطنين ,Male,ذكور,1975,1962
Ras Al Khaima,رأس الخيمة ,Non-National,غير مواطنين ,Male,ذكور,1975,11261
Al Fujairah,الفجيرة ,Non-National,غير مواطنين ,Male,ذكور,1975,3103
Abu Dhabi,أبوظبي ,Non-National,غير مواطنين ,female ,إناث,1975,31106
Dubai,دبي ,Non-National,غير مواطنين ,female ,إناث,1975,29646
Al Sharjah,الشارقة ,Non-National,غير مواطنين ,female ,إناث,1975,7626
Ajman,عجمان ,Non-National,غير مواطنين ,female ,إناث,1975,2661
Umm Al - Quwain,أم القيوين ,Non-National,غير مواطنين ,female ,إناث,1975,488
Ras Al Khaima,رأس الخيمة ,Non-National,غير مواطنين ,female ,إناث,1975,2971
Al Fujairah,الفجيرة ,Non-National,غير مواطنين ,female ,إناث,1975,450
Abu Dhabi,أبوظبي ,National,مواطنين ,Male,ذكور,1980,47993
Dubai,دبي ,National,مواطنين ,Male,ذكور,1980,32213
Al Sharjah,الشارقة ,National,مواطنين ,Male,ذكور,1980,30945
