Date,GeoId,CumulativeCount_Vaccine_COVID_19_Administered,IncrementalCount_Vaccine_COVID_19_Administered,CumulativeCount_MedicalConditionIncident_COVID_19_ConfirmedCase,IncrementalCount_MedicalConditionIncident_COVID_19_ConfirmedCase,CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased,IncrementalCount_MedicalConditionIncident_COVID_19_PatientDeceased,Count_MedicalConditionIncident_COVID_19_PatientInICU,Count_MedicalConditionIncident_COVID_19_PatientHospitalized,CumulativeCount_MedicalTest_ConditionCOVID_19,IncrementalCount_MedicalTest_ConditionCOVID_19
2020-02-24,country/AFG,,,1.0,1.0,,,,,,
2020-02-25,country/AFG,,,1.0,0.0,,,,,,
2020-02-26,country/AFG,,,1.0,0.0,,,,,,
2020-02-27,country/AFG,,,1.0,0.0,,,,,,
2020-02-28,country/AFG,,,1.0,0.0,,,,,,
2020-02-29,country/AFG,,,1.0,0.0,,,,,,
2020-03-01,country/AFG,,,1.0,0.0,,,,,,
2020-03-02,country/AFG,,,1.0,0.0,,,,,,
2020-03-03,country/AFG,,,2.0,1.0,,,,,,
2020-03-04,country/AFG,,,4.0,2.0,,,,,,
2020-03-05,country/AFG,,,4.0,0.0,,,,,,
2020-03-06,country/AFG,,,4.0,0.0,,,,,,
2020-03-07,country/AFG,,,4.0,0.0,,,,,,
2020-03-08,country/AFG,,,5.0,1.0,,,,,,
2020-03-09,country/AFG,,,7.0,2.0,,,,,,
2020-03-10,country/AFG,,,8.0,1.0,,,,,,
2020-03-11,country/AFG,,,11.0,3.0,,,,,,
2020-03-12,country/AFG,,,12.0,1.0,,,,,,
2020-03-13,country/AFG,,,13.0,1.0,,,,,,
2020-03-14,country/AFG,,,15.0,2.0,,,,,,
2020-03-15,country/AFG,,,16.0,1.0,,,,,,
2020-03-16,country/AFG,,,18.0,2.0,,,,,,
2020-03-17,country/AFG,,,20.0,2.0,,,,,,
2020-03-18,country/AFG,,,24.0,4.0,,,,,,
2020-03-19,country/AFG,,,25.0,1.0,,,,,,
2020-03-20,country/AFG,,,29.0,4.0,,,,,,
2020-03-21,country/AFG,,,30.0,1.0,,,,,,
2020-03-22,country/AFG,,,34.0,4.0,1.0,1.0,,,,
2020-03-23,country/AFG,,,41.0,7.0,1.0,0.0,,,,
2020-03-24,country/AFG,,,43.0,2.0,1.0,0.0,,,,
2020-03-25,country/AFG,,,76.0,33.0,2.0,1.0,,,,
2020-03-26,country/AFG,,,80.0,4.0,3.0,1.0,,,,
2020-03-27,country/AFG,,,91.0,11.0,3.0,0.0,,,,
2020-03-28,country/AFG,,,107.0,16.0,4.0,1.0,,,,
2020-03-29,country/AFG,,,118.0,11.0,4.0,0.0,,,,
2020-03-30,country/AFG,,,146.0,28.0,4.0,0.0,,,,
2020-03-31,country/AFG,,,175.0,29.0,4.0,0.0,,,,
2020-04-01,country/AFG,,,197.0,22.0,4.0,0.0,,,,
2020-04-02,country/AFG,,,240.0,43.0,4.0,0.0,,,,
2020-04-03,country/AFG,,,275.0,35.0,8.0,4.0,,,,
2020-04-04,country/AFG,,,300.0,25.0,10.0,2.0,,,,
2020-04-05,country/AFG,,,338.0,38.0,12.0,2.0,,,,
