observationAbout,observationDate,value,variableMeasured,unit,scalingFactor
country/USA,1970-01-02,8.02,dcid:InterestRate_TreasuryBill_3Month_SecondaryMarket,PercentPerAnnum,
country/USA,1970-01-02,8.03,dcid:InterestRate_TreasuryBill_6Month_SecondaryMarket,PercentPerAnnum,
country/USA,1970-01-02,7.67,dcid:InterestRate_TreasuryBill_1Year_SecondaryMarket,PercentPerAnnum,
country/USA,1970-01-02,8.34,dcid:InterestRate_TreasurySecurity_1Year_ConstantMaturity,PercentPerAnnum,
country/USA,1970-01-02,8.43,dcid:InterestRate_TreasurySecurity_3Year_ConstantMaturity,PercentPerAnnum,
country/USA,1970-01-02,8.25,dcid:InterestRate_TreasurySecurity_5Year_ConstantMaturity,PercentPerAnnum,
country/USA,1970-01-02,7.69,dcid:InterestRate_TreasurySecurity_7Year_ConstantMaturity,PercentPerAnnum,
country/USA,1970-01-02,7.94,dcid:InterestRate_TreasurySecurity_10Year_ConstantMaturity,PercentPerAnnum,
country/USA,1970-01-02,7,dcid:InterestRate_TreasurySecurity_20Year_ConstantMaturity,PercentPerAnnum,
country/USA,1970-01-09,7.91,dcid:InterestRate_TreasuryBill_3Month_SecondaryMarket,PercentPerAnnum,
country/USA,1970-01-09,7.92,dcid:InterestRate_TreasuryBill_6Month_SecondaryMarket,PercentPerAnnum,
country/USA,1970-01-09,7.57,dcid:InterestRate_TreasuryBill_1Year_SecondaryMarket,PercentPerAnnum,
country/USA,1970-01-09,8.18,dcid:InterestRate_TreasurySecurity_1Year_ConstantMaturity,PercentPerAnnum,
country/USA,1970-01-09,8.35,dcid:InterestRate_TreasurySecurity_3Year_ConstantMaturity,PercentPerAnnum,
country/USA,1970-01-09,8.24,dcid:InterestRate_TreasurySecurity_5Year_ConstantMaturity,PercentPerAnnum,
country/USA,1970-01-09,7.74,dcid:InterestRate_TreasurySecurity_7Year_ConstantMaturity,PercentPerAnnum,
country/USA,1970-01-09,7.93,dcid:InterestRate_TreasurySecurity_10Year_ConstantMaturity,PercentPerAnnum,
country/USA,1970-01-09,6.92,dcid:InterestRate_TreasurySecurity_20Year_ConstantMaturity,PercentPerAnnum,
