key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,,
Total,populationType,Person,measuredProperty,count,value,{Number},observationAbout,country/USA,educationalAttainment,DoctorateDegree,doctorateDegreeMajor,ScienceAndEngineeringRelatedMajor,facultyType,UniversityAndCollegeTeacher,,
Male,gender,Male,#Header,gender,,,,,,,,,,,,
Female,gender,Female,#Header,gender,,,,,,,,,,,,
Year,observationDate,{Number},,,,,,,,,,,,,,
White,race,WhiteAlone,,,,,,,,,,,,,,
Black or African American,race,BlackOrAfricanAmericanAlone,,,,,,,,,,,,,,
Hispanic or Latinoa,ethnicity,HispanicOrLatino,,,,,,,,,,,,,,
Asian,race,Asian,,,,,,,,,,,,,,
American Indian or Alaska Native,race,AmericanIndianOrAlaskaNative,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,race,NativeHawaiianOrOtherPacificIslanderAlone,,,,,,,,,,,,,,
More than one raceb,race,TwoOrMoreRaces,,,,,,,,,,,,,,
Tenured,tenureStatus,Tenured,populationType,Person,measuredProperty,count,value,{Number},observationAbout,country/USA,educationalAttainment,DoctorateDegree,doctorateDegreeMajor,ScienceAndEngineeringRelatedMajor,facultyType,UniversityAndCollegeTeacher
On tenure track,tenureStatus,OnTenureTrack,populationType,Person,measuredProperty,count,value,{Number},observationAbout,country/USA,educationalAttainment,DoctorateDegree,doctorateDegreeMajor,ScienceAndEngineeringRelatedMajor,facultyType,UniversityAndCollegeTeacher
Not on tenure track,tenureStatus,NotOnTenureTrack,populationType,Person,measuredProperty,count,value,{Number},observationAbout,country/USA,educationalAttainment,DoctorateDegree,doctorateDegreeMajor,ScienceAndEngineeringRelatedMajor,facultyType,UniversityAndCollegeTeacher
Tenure not applicable,tenureStatus,TenureNotApplicable,populationType,Person,measuredProperty,count,value,{Number},observationAbout,country/USA,educationalAttainment,DoctorateDegree,doctorateDegreeMajor,ScienceAndEngineeringRelatedMajor,facultyType,UniversityAndCollegeTeacher
Scientist,occupation,SOCv2018/19-0000,gender,"""""",#Header,occupation,,,,,,,,,,
Biological/life scientist,occupation,SOCv2018/19-1000,gender,"""""",#Header,occupation,,,,,,,,,,
Computer and information scientist,occupation,SOCv2018/15-0000,gender,"""""",#Header,occupation,,,,,,,,,,
Mathematical scientist,occupation,SOCv2018/15-2000,gender,"""""",#Header,occupation,,,,,,,,,,
Physical scientist,occupation,SOCv2018/19-2000,gender,"""""",#Header,occupation,,,,,,,,,,
Psychologist,occupation,SOCv2018/19-3030,gender,"""""",#Header,occupation,,,,,,,,,,
Social scientist,occupation,SOCv2018/19-3000,gender,"""""",#Header,occupation,,,,,,,,,,
Engineer,occupation,SOCv2018/17-2000,gender,"""""",#Header,occupation,,,,,,,,,,
S&E-related occupationsd,occupation,ScienceAndEngineeringRelated,gender,"""""",#Header,occupation,,,,,,,,,,
S&E occupationsc,occupation,ScienceAndEngineering,gender,"""""",#Header,occupation,,,,,,,,,,
Non-S&E occupations,occupation,NonScienceAndEngineering,gender,"""""",#Header,occupation,,,,,,,,,,
All occupations,occupation,"""""",#Header,occupation,,,,,,,,,,,,
D,value,0,#ignore,suppressed,,,,,,,,,,,,
S,value,0,#ignore,suppressed,,,,,,,,,,,,
*,value,0,#ignore,suppressed,,,,,,,,,,,,
