"key","value"
"1:process_input_error-unresolved-place",112
"1:process_input_generated-svobs",3264
"1:process_input_generated-svobs-mex_admpop_adm1_2021.csv",1440
"1:process_input_generated-svobs-mex_admpop_adm1_2024.csv",1824
"1:process_input_input-data-rows",64
"1:process_input_input-files-processed",2
"1:process_input_input-header-rows",2
"1:process_input_input-rows-processed",66
"1:process_input_input-sections",2
"1:process_input_num-rows-input_files/mex_admpop_adm1_2021.csv",33
"1:process_input_num-rows-input_files/mex_admpop_adm1_2024.csv",33
"1:process_input_process-mem",2925023232
"1:process_input_process-mem-rss",179298304
"1:process_input_process-time-sys-secs",0.27
"1:process_input_process-time-user-secs",10.04
"1:process_input_process_elapsed_time",2.371513505985402
"1:process_input_process_remaining_time",2.371513505985402
"1:process_input_processed",66
"1:process_input_processing-input-rows-rate",27.83428528942223
"1:process_input_processing-input-rows-rate_input_files/mex_admpop_adm1_2021.csv",31.66932911828882
"1:process_input_processing-input-rows-rate_input_files/mex_admpop_adm1_2024.csv",24.865451684718515
"1:process_input_processing-time-seconds",2.370587436016649
"1:process_input_processing-time-seconds_input_files/mex_admpop_adm1_2021.csv",1.0428122929879464
"1:process_input_processing-time-seconds_input_files/mex_admpop_adm1_2024.csv",2.370587436016649
"1:process_input_processing_rate",27.830328536364775
"1:process_input_resolved-places",3584
"1:process_input_start_time",471669.707788911
"1:process_input_total",132
"1:process_input_warning-unresolved-value-ref",1164
"2:prepare_output_process-mem",2925547520
"2:prepare_output_process-mem-rss",181882880
"2:prepare_output_process-time-sys-secs",0.3
"2:prepare_output_process-time-user-secs",10.57
"2:prepare_output_process_elapsed_time",13.210540754017327
"2:prepare_output_processed",0
"2:prepare_output_start_time",471672.079403568
"3:write_statvar_mcf_process-mem",2927591424
"3:write_statvar_mcf_process-mem-rss",183652352
"3:write_statvar_mcf_process-time-sys-secs",0.32
"3:write_statvar_mcf_process-time-user-secs",10.61
"3:write_statvar_mcf_process_elapsed_time",0.6953792860101908
"3:write_statvar_mcf_processed",0
"3:write_statvar_mcf_start_time",471685.290152642
"4:write_svobs_csv_process-mem",2927591424
"4:write_svobs_csv_process-mem-rss",183652352
"4:write_svobs_csv_process-time-sys-secs",0.32
"4:write_svobs_csv_process-time-user-secs",10.67
"4:write_svobs_csv_process_elapsed_time",0.05850279400581494
"4:write_svobs_csv_processed",0
"4:write_svobs_csv_start_time",471685.985756489
"PVs-matched",397
"cache-hit-dcid",3584
"cache-miss-dcid",672
"cache-miss-placeId",117
"dc-api-unresolved-places",112
"dropped-output-statvars-mcf",60
"error-input-ignore-node-diff",60
"error-node-merge-conflict",60
"existing-nodes-from-api",60
"generated-statvars",3264
"generated-unique-statvars",60
"nodes-with-diff",60
"output-svobs-csv-rows",3264
"output-svobs-unique-observationAbout",32
"output-svobs-unique-observationDate",2
"output-svobs-unique-typeOf",1
"output-svobs-unique-value",3250
"output-svobs-unique-variableMeasured",60
"place-name-match-lookups",112
"place-resolver-name-cache-hits",3584
"process-mem",2921877504
"process-mem-rss",176349184
"process-time-sys-secs",0.27
"process-time-user-secs",7.7
"process_elapsed_time",0.03471855300702155
"processed",0
"pvs-added",123
"pvs-added-definition",60
"pvs-added-description",3
"pvs-added-name",60
"recon-lookup-schema",3362
"recon-unmodified-nodes",3324
"start_time",471669.707230361
"svobs-added",3264
"warning-missing-property-key",86418
