"key","value"
"1:process_input_dropped-svobs-invalid",102
"1:process_input_dropped-svobs-unresolved-place",9468
"1:process_input_error-unresolved-place",20340
"1:process_input_generated-svobs",242070
"1:process_input_generated-svobs-mex_admpop_adm2_2021.csv",106695
"1:process_input_generated-svobs-mex_admpop_adm2_2024.csv",135375
"1:process_input_input-data-rows",4746
"1:process_input_input-files-processed",2
"1:process_input_input-header-rows",2
"1:process_input_input-rows-processed",4934
"1:process_input_input-sections",2
"1:process_input_num-rows-input_files/mex_admpop_adm2_2021.csv",2147
"1:process_input_num-rows-input_files/mex_admpop_adm2_2024.csv",2166
"1:process_input_process-mem",3150012416
"1:process_input_process-mem-rss",401879040
"1:process_input_process-time-sys-secs",1.41
"1:process_input_process-time-user-secs",200.22
"1:process_input_process_elapsed_time",194.03915001695967
"1:process_input_process_remaining_time",145.1950834743849
"1:process_input_processed",4934
"1:process_input_processing-input-rows-rate",25.4279027104665
"1:process_input_processing-input-rows-rate_input_files/mex_admpop_adm2_2021.csv",28.563996995019878
"1:process_input_processing-input-rows-rate_input_files/mex_admpop_adm2_2024.csv",22.929240154809182
"1:process_input_processing-time-seconds",194.03820846800227
"1:process_input_processing-time-seconds_input_files/mex_admpop_adm2_2021.csv",86.05312782997498
"1:process_input_processing-time-seconds_input_files/mex_admpop_adm2_2024.csv",194.03820846800227
"1:process_input_processing_rate",25.42785824184837
"1:process_input_resolved-places",275408
"1:process_input_start_time",472590.198475719
"1:process_input_total",8626
"1:process_input_warning-unresolved-value-ref",1177
"2:prepare_output_process-mem",3160875008
"2:prepare_output_process-mem-rss",414396416
"2:prepare_output_process-time-sys-secs",1.61
"2:prepare_output_process-time-user-secs",210.3
"2:prepare_output_process_elapsed_time",94.4633628519903
"2:prepare_output_processed",0
"2:prepare_output_start_time",472784.237737527
"3:write_statvar_mcf_process-mem",3160875008
"3:write_statvar_mcf_process-mem-rss",414396416
"3:write_statvar_mcf_process-time-sys-secs",1.61
"3:write_statvar_mcf_process-time-user-secs",210.3
"3:write_statvar_mcf_process_elapsed_time",0.0005263500450178981
"3:write_statvar_mcf_processed",0
"3:write_statvar_mcf_start_time",472878.701341929
"4:write_svobs_csv_process-mem",3160875008
"4:write_svobs_csv_process-mem-rss",414396416
"4:write_svobs_csv_process-time-sys-secs",1.68
"4:write_svobs_csv_process-time-user-secs",214.34
"4:write_svobs_csv_process_elapsed_time",4.106023468014225
"4:write_svobs_csv_processed",0
"4:write_svobs_csv_start_time",472878.701980469
"cache-hit-dcid",275408
"cache-miss-dcid",162720
"cache-miss-placeId",40571
"dc-api-unresolved-places",20340
"dropped-invalid-statvars",60
"dropped-invalid-svobs",102
"dropped-output-statvars-mcf",0
"error-mismatched-svobs",102
"error-statvar-with-dup-svobs",60
"existing-nodes-from-api",0
"generated-statvars",251640
"generated-unique-statvars",60
"output-svobs-csv-rows",241968
"output-svobs-unique-observationAbout",2374
"output-svobs-unique-observationDate",2
"output-svobs-unique-typeOf",1
"output-svobs-unique-value",23095
"output-svobs-unique-variableMeasured",60
"place-name-match-lookups",20340
"place-resolver-name-cache-hits",275408
"process-mem",2922012672
"process-mem-rss",176447488
"process-time-sys-secs",0.3
"process-time-user-secs",7.38
"process_elapsed_time",0.03879908902561292
"processed",0
"recon-lookup-schema",25535
"recon-unmodified-nodes",241968
"start_time",472590.197946599
"svobs-added",242070
"warning-missing-property-key",6944415
