"key","value"
"1:process_input_error-unresolved-place",110
"1:process_input_generated-svobs",102
"1:process_input_generated-svobs-mex_admpop_adm0_2021.csv",45
"1:process_input_generated-svobs-mex_admpop_adm0_2024.csv",57
"1:process_input_input-data-rows",2
"1:process_input_input-files-processed",2
"1:process_input_input-header-rows",2
"1:process_input_input-rows-processed",4
"1:process_input_input-sections",2
"1:process_input_num-rows-input_files/mex_admpop_adm0_2021.csv",3
"1:process_input_num-rows-input_files/mex_admpop_adm0_2024.csv",3
"1:process_input_process-mem",2921877504
"1:process_input_process-mem-rss",176087040
"1:process_input_process-time-sys-secs",0.25
"1:process_input_process-time-user-secs",7.36
"1:process_input_process_elapsed_time",0.13533994100978597
"1:process_input_process_remaining_time",0.27067988201957194
"1:process_input_processed",4
"1:process_input_processing-input-rows-rate",29.629526262638212
"1:process_input_processing-input-rows-rate_input_files/mex_admpop_adm0_2021.csv",32.89407949927707
"1:process_input_processing-input-rows-rate_input_files/mex_admpop_adm0_2024.csv",27.745452008557177
"1:process_input_processing-time-seconds",0.13439921097597107
"1:process_input_processing-time-seconds_input_files/mex_admpop_adm0_2021.csv",0.06157422496471554
"1:process_input_processing-time-seconds_input_files/mex_admpop_adm0_2024.csv",0.13439921097597107
"1:process_input_processing_rate",29.555207207536565
"1:process_input_resolved-places",110
"1:process_input_start_time",471643.5841344
"1:process_input_total",12
"1:process_input_warning-unresolved-value-ref",1108
"2:prepare_output_process-mem",2921902080
"2:prepare_output_process-mem-rss",177651712
"2:prepare_output_process-time-sys-secs",0.25
"2:prepare_output_process-time-user-secs",7.41
"2:prepare_output_process_elapsed_time",0.8581362540087663
"2:prepare_output_processed",0
"2:prepare_output_start_time",471643.719593681
"3:write_statvar_mcf_process-mem",2924429312
"3:write_statvar_mcf_process-mem-rss",180248576
"3:write_statvar_mcf_process-time-sys-secs",0.26
"3:write_statvar_mcf_process-time-user-secs",7.46
"3:write_statvar_mcf_process_elapsed_time",0.6416450980421156
"3:write_statvar_mcf_processed",0
"3:write_statvar_mcf_start_time",471644.578212305
"4:write_svobs_csv_process-mem",2924429312
"4:write_svobs_csv_process-mem-rss",180248576
"4:write_svobs_csv_process-time-sys-secs",0.26
"4:write_svobs_csv_process-time-user-secs",7.46
"4:write_svobs_csv_process_elapsed_time",0.0035630409791134296
"4:write_svobs_csv_processed",0
"4:write_svobs_csv_start_time",471645.220130993
"PVs-matched",397
"cache-hit-dcid",110
"cache-miss-dcid",660
"cache-miss-placeId",162
"dc-api-unresolved-places",110
"dropped-output-statvars-mcf",60
"error-input-ignore-node-diff",60
"error-node-merge-conflict",60
"existing-nodes-from-api",60
"generated-statvars",102
"generated-unique-statvars",60
"nodes-with-diff",60
"output-svobs-csv-rows",102
"output-svobs-unique-observationAbout",1
"output-svobs-unique-observationDate",2
"output-svobs-unique-typeOf",1
"output-svobs-unique-value",102
"output-svobs-unique-variableMeasured",60
"place-name-match-lookups",110
"place-resolver-name-cache-hits",110
"process-mem",2921877504
"process-mem-rss",175915008
"process-time-sys-secs",0.25
"process-time-user-secs",7.27
"process_elapsed_time",0.04160619299616665
"processed",0
"pvs-added",123
"pvs-added-definition",60
"pvs-added-description",3
"pvs-added-name",60
"recon-lookup-schema",183
"recon-unmodified-nodes",162
"start_time",471643.58355928
"svobs-added",102
"warning-missing-property-key",2910
