StateName,DistrictName,StationName,WaterStationLatitude,WaterStationLongitude,DistrictCode,dcid,WaterSource
Andaman And Nicobar Islands,North And Middle Andaman,Bakultala,12.50388889,92.85916667,632,india_wris/632_Bakultala,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Baratang (Nilambur),12.16694444,92.76555556,632,india_wris/632_BaratangNilambur,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Basantipur,12.72916667,92.88472222,632,india_wris/632_Basantipur,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Betapur,,,632,india_wris/632_Betapur,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Dhobidera (Mayabunder),,,632,india_wris/632_DhobideraMayabunder,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Durgapur,13.23083333,92.95527778,632,india_wris/632_Durgapur,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Haribeck,12.98222222,92.84555556,632,india_wris/632_Haribeck,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Kadamtala,12.34472222,92.77888889,632,india_wris/632_Kadamtala,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Kausalyanagar,12.39527778,92.78222222,632,india_wris/632_Kausalyanagar,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Keralapuram,,,632,india_wris/632_Keralapuram,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Kishorinagar (Parangara),,,632,india_wris/632_KishorinagarParangara,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Laxmipur,13.28555556,93.00305556,632,india_wris/632_Laxmipur,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Long Island,,,632,india_wris/632_LongIsland,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Long Island (Forest Area),,,632,india_wris/632_LongIslandForestArea,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Long Island (Sec. School),,,632,india_wris/632_LongIslandSecSchool,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Mayabunder,12.87666667,92.88111111,632,india_wris/632_Mayabunder,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Milangram,,,632,india_wris/632_Milangram,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Nabagram,13.17333333,92.93194444,632,india_wris/632_Nabagram,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Nimbutala,12.52472222,92.97027778,632,india_wris/632_Nimbutala,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Padmanavapuram,12.50833333,92.96055556,632,india_wris/632_Padmanavapuram,dcs:GroundWater
Andaman And Nicobar Islands,North And Middle Andaman,Parnshala,12.52333333,92.90666667,632,india_wris/632_Parnshala,dcs:GroundWater
