Table 6-2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"Employed college graduates, by sex, race, ethnicity, and major occupation: 2003–21",,,,,,,
(Number),,,,,,,
"Sex, ethnicity, race, and occupation",2003,2010,2013,2015,2017,2019,2021
Both sexes,32574000,40623000,43839000,45941000,48223000,50524000,51764000
S&E occupations,4588000,5374000,5766000,6407000,6769000,7466000,7894000
"Biological, agricultural, and other life scientists",421000,602000,638000,631000,610000,698000,794000
Computer and mathematical scientists,1930000,2396000,2653000,3156000,3419000,3774000,4031000
Physical and related scientists,298000,327000,324000,331000,366000,409000,408000
Social and related scientists,477000,518000,596000,570000,646000,663000,712000
Engineers,1463000,1531000,1554000,1719000,1728000,1921000,1949000
S&E-related occupations,5155000,6966000,7508000,7867000,8271000,8893000,9522000
Non-S&E occupations,22831000,28282000,30566000,31667000,33183000,34165000,34349000
Hispanic or Latino,1710000,2898000,3394000,3786000,4280000,4803000,5307000
S&E occupations,199000,274000,357000,387000,505000,564000,692000
"Biological, agricultural, and other life scientists",19000,28000,42000,37000,38000,64000,72000
Computer and mathematical scientists,72000,106000,146000,159000,200000,238000,328000
Physical and related scientists,12000,13000,17000,17000,29000,27000,32000
Social and related scientists,21000,30000,48000,55000,95000,77000,81000
Engineers,75000,98000,103000,120000,143000,159000,178000
S&E-related occupations,265000,434000,572000,629000,702000,821000,843000
Non-S&E occupations,1245000,2190000,2465000,2769000,3073000,3418000,3772000
American Indian or Alaska Native,131000,118000,130000,117000,121000,182000,126000
S&E occupations,14000,11000,10000,10000,14000,S,10000
"Biological, agricultural, and other life scientists",3000,1000,1000,2000,S,1000,2000
Computer and mathematical scientists,3000,2000,2000,2000,4000,S,5000
Physical and related scientists,1000,1000,*,1000,S,1000,1000
Social and related scientists,2000,S,3000,2000,S,S,1000
Engineers,4000,6000,3000,4000,5000,5000,2000
S&E-related occupations,20000,21000,32000,27000,28000,29000,22000
Non-S&E occupations,98000,85000,87000,80000,80000,132000,94000
Asian,2222000,3211000,3671000,4001000,4498000,5062000,5475000
S&E occupations,624000,968000,996000,1321000,1338000,1543000,1665000
"Biological, agricultural, and other life scientists",60000,112000,117000,114000,126000,157000,167000
