key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,p9,v9
Total,populationType,Person,measuredProperty,count,value,@Number,observationAbout,country/USA,educationalAttainment,BachelorsDegree,gender,Female,,,,,,
Year,observationDate,{Number},observationAbout,country/USA,,,,,,,,,,,,,,
White,race,WhiteAlone,populationType,Person,measuredProperty,count,value,@Number,observationAbout,country/USA,educationalAttainment,BachelorsDegree,gender,Female,,,,
Black,race,Black,populationType,Person,measuredProperty,count,value,@Number,observationAbout,country/USA,educationalAttainment,BachelorsDegree,gender,Female,,,,
Hispanic,race,HispanicOrLatino,populationType,Person,measuredProperty,count,value,@Number,observationAbout,country/USA,educationalAttainment,BachelorsDegree,gender,Female,,,,
His- panic,race,HispanicOrLatino,populationType,Person,measuredProperty,count,value,@Number,observationAbout,country/USA,educationalAttainment,BachelorsDegree,gender,Female,,,,
#Total Asian/Pacific Islander,race,AsianOrPacificIslander,populationType,Person,measuredProperty,count,value,@Number,observationAbout,country/USA,educationalAttainment,BachelorsDegree,gender,Female,,,,
Asian/Pacific Islander,race,AsianOrPacificIslander,populationType,Person,measuredProperty,count,value,@Number,observationAbout,country/USA,educationalAttainment,BachelorsDegree,gender,Female,,,,
,,,,,,,,,,,,,,,,,,
Asian,race,Asian,populationType,Person,measuredProperty,count,value,@Number,observationAbout,country/USA,educationalAttainment,BachelorsDegree,gender,Female,,,,
Pacific Islander,race,HawaiianNativeOrPacificIslander,populationType,Person,measuredProperty,count,value,@Number,observationAbout,country/USA,educationalAttainment,BachelorsDegree,gender,Female,#MergedCell,FALSE,,
American Indian/Alaska Native,race,AmericanIndianOrAlaskaNative,populationType,Person,measuredProperty,count,value,@Number,observationAbout,country/USA,educationalAttainment,BachelorsDegree,gender,Female,,,,
American Indian/ Alaska Native,race,AmericanIndianOrAlaskaNative,populationType,Person,measuredProperty,count,value,@Number,observationAbout,country/USA,educationalAttainment,BachelorsDegree,gender,Female,,,,
Two or more races,race,TwoOrMoreRaces,populationType,Person,measuredProperty,count,value,@Number,observationAbout,country/USA,educationalAttainment,BachelorsDegree,gender,Female,,,,
Nonresident,residentStatus,NonUSResident,populationType,Person,measuredProperty,count,value,@Number,observationAbout,country/USA,educationalAttainment,BachelorsDegree,gender,Female,race,"""""",ethnicity,""""""
Non- resi- dent alien,residentStatus,NonUSResident,populationType,Person,measuredProperty,count,value,@Number,observationAbout,country/USA,educationalAttainment,BachelorsDegree,gender,Female,race,"""""",ethnicity,""""""
"All fields, total",bachelorsDegreeMajor,"""""",,,,,,,,,,,,,,,,
Agriculture and natural resources\\1\\,bachelorsDegreeMajor,AgricultureAndNaturalResourcesMajor,,,,,,,,,,,,,,,,
Agriculture and natural resources,bachelorsDegreeMajor,AgricultureAndNaturalResourcesMajor,,,,,,,,,,,,,,,,
