geo,time,NUM_EUR,EUR_HAB,NUM_NAC,NUM_PPS_EU27_2020,PPS_HAB_EU27_2020
country/CHE,2014,,66900,,,171
country/CHE,2015,,75500,,,171
country/CHE,2016,,74300,,,166
country/CHE,2017,,72900,,,160
country/CHE,2018,,72100,,,158
country/CHE,2019,,75200,,,153
nuts/CH0,2014,,66900,,,171
nuts/CH0,2015,,75500,,,171
nuts/CH0,2016,,74300,,,166
nuts/CH0,2017,,72900,,,160
nuts/CH0,2018,,72100,,,158
nuts/CH0,2019,,75200,,,153
nuts/CH01,2014,,64600,,,165
nuts/CH01,2015,,72300,,,163
nuts/CH01,2016,,72100,,,161
nuts/CH01,2017,,69600,,,153
nuts/CH01,2018,,69800,,,153
nuts/CH01,2019,,72600,,,148
nuts/CH011,2014,,59000,,,151
nuts/CH011,2015,,65600,,,148
nuts/CH011,2016,,67400,,,151
nuts/CH011,2017,,63100,,,138
nuts/CH011,2018,,63800,,,140
nuts/CH011,2019,,65800,,,134
nuts/CH012,2014,,44400,,,113
nuts/CH012,2015,,51200,,,116
nuts/CH012,2016,,50000,,,112
nuts/CH012,2017,,49200,,,108
nuts/CH012,2018,,49000,,,107
nuts/CH012,2019,,51900,,,106
nuts/CH013,2014,,87600,,,224
nuts/CH013,2015,,97500,,,220
nuts/CH013,2016,,94800,,,212
nuts/CH013,2017,,94000,,,206
nuts/CH013,2018,,93800,,,206
nuts/CH013,2019,,97800,,,199
nuts/CH02,2014,,61000,,,156
nuts/CH02,2015,,68900,,,156
nuts/CH02,2016,,66700,,,149
nuts/CH02,2017,,65700,,,144
nuts/CH02,2018,,64600,,,142
nuts/CH02,2019,,68000,,,139
nuts/CH021,2014,,64500,,,165
nuts/CH021,2015,,72600,,,164
nuts/CH021,2016,,70400,,,157
nuts/CH021,2017,,69100,,,151
nuts/CH021,2018,,67700,,,149
nuts/CH021,2019,,71300,,,145
nuts/CH022,2014,,50000,,,128
nuts/CH022,2015,,56400,,,127
nuts/CH022,2016,,54500,,,122
nuts/CH022,2017,,53800,,,118
nuts/CH022,2018,,52400,,,115
nuts/CH022,2019,,54900,,,112
nuts/CH023,2014,,55300,,,141
nuts/CH023,2015,,62600,,,141
nuts/CH023,2016,,60800,,,136
nuts/CH023,2017,,59800,,,131
nuts/CH023,2018,,58700,,,129
nuts/CH023,2019,,61300,,,125
nuts/CH024,2014,,70900,,,181
nuts/CH024,2015,,81800,,,185
nuts/CH024,2016,,78300,,,175
nuts/CH024,2017,,78700,,,173
nuts/CH024,2018,,79200,,,174
nuts/CH024,2019,,84500,,,172
nuts/CH025,2014,,54600,,,139
nuts/CH025,2015,,60600,,,137
nuts/CH025,2016,,58900,,,132
nuts/CH025,2017,,58900,,,129
nuts/CH025,2018,,59300,,,130
nuts/CH025,2019,,62600,,,128
nuts/CH03,2014,,69500,,,178
nuts/CH03,2015,,78900,,,178
nuts/CH03,2016,,78900,,,176
nuts/CH03,2017,,78600,,,172
nuts/CH03,2018,,76700,,,168
nuts/CH03,2019,,79800,,,163
nuts/CH031,2014,,138400,,,354
nuts/CH031,2015,,159600,,,360
nuts/CH031,2016,,166800,,,373
nuts/CH031,2017,,170200,,,373
nuts/CH031,2018,,168600,,,370
nuts/CH031,2019,,175100,,,357
nuts/CH032,2014,,59000,,,151
nuts/CH032,2015,,67700,,,153
nuts/CH032,2016,,66200,,,148
nuts/CH032,2017,,65400,,,143
nuts/CH032,2018,,62900,,,138
nuts/CH032,2019,,65500,,,133
nuts/CH033,2014,,53700,,,137
nuts/CH033,2015,,59900,,,135
nuts/CH033,2016,,58700,,,131
nuts/CH033,2017,,57700,,,126
nuts/CH033,2018,,56100,,,123
nuts/CH033,2019,,58600,,,119
nuts/CH04,2014,,82600,,,211
nuts/CH04,2015,,92700,,,209
nuts/CH04,2016,,90500,,,202
nuts/CH04,2017,,89100,,,195
nuts/CH04,2018,,89500,,,196
nuts/CH04,2019,,91000,,,186
nuts/CH040,2014,,82600,,,211
nuts/CH040,2015,,92700,,,209
nuts/CH040,2016,,90500,,,202
nuts/CH040,2017,,89100,,,195
nuts/CH040,2018,,89500,,,196
nuts/CH040,2019,,91000,,,186
nuts/CH05,2014,,58400,,,149
nuts/CH05,2015,,65600,,,148
nuts/CH05,2016,,64500,,,144
nuts/CH05,2017,,63300,,,139
nuts/CH05,2018,,62000,,,136
nuts/CH05,2019,,65400,,,133
nuts/CH051,2014,,56500,,,144
nuts/CH051,2015,,64200,,,145
nuts/CH051,2016,,62300,,,139
nuts/CH051,2017,,63300,,,139
nuts/CH051,2018,,59900,,,131
nuts/CH051,2019,,64200,,,131
nuts/CH052,2014,,70700,,,181
nuts/CH052,2015,,79300,,,179
nuts/CH052,2016,,78000,,,174
nuts/CH052,2017,,76500,,,168
nuts/CH052,2018,,75900,,,166
nuts/CH052,2019,,79800,,,163
nuts/CH053,2014,,47600,,,122
nuts/CH053,2015,,54100,,,122
nuts/CH053,2016,,53000,,,118
nuts/CH053,2017,,51200,,,112
nuts/CH053,2018,,50500,,,111
nuts/CH053,2019,,53100,,,108
nuts/CH054,2014,,51900,,,132
nuts/CH054,2015,,58800,,,133
nuts/CH054,2016,,58300,,,130
nuts/CH054,2017,,56300,,,123
nuts/CH054,2018,,55700,,,122
nuts/CH054,2019,,58500,,,119
nuts/CH055,2014,,61500,,,157
nuts/CH055,2015,,69100,,,156
nuts/CH055,2016,,68000,,,152
nuts/CH055,2017,,66900,,,147
nuts/CH055,2018,,65300,,,143
nuts/CH055,2019,,69000,,,141
nuts/CH056,2014,,59500,,,152
nuts/CH056,2015,,66900,,,151
nuts/CH056,2016,,65700,,,147
nuts/CH056,2017,,64300,,,141
nuts/CH056,2018,,63400,,,139
nuts/CH056,2019,,67600,,,138
nuts/CH057,2014,,50900,,,130
nuts/CH057,2015,,56700,,,128
nuts/CH057,2016,,56000,,,125
nuts/CH057,2017,,54800,,,120
nuts/CH057,2018,,53700,,,118
nuts/CH057,2019,,56200,,,115
nuts/CH06,2014,,63900,,,163
nuts/CH06,2015,,74000,,,167
nuts/CH06,2016,,72600,,,162
nuts/CH06,2017,,70800,,,155
nuts/CH06,2018,,69100,,,151
nuts/CH06,2019,,72700,,,148
nuts/CH061,2014,,54500,,,139
nuts/CH061,2015,,62300,,,141
nuts/CH061,2016,,61300,,,137
nuts/CH061,2017,,60500,,,133
nuts/CH061,2018,,59000,,,129
nuts/CH061,2019,,61800,,,126
nuts/CH062,2014,,43200,,,110
nuts/CH062,2015,,49400,,,112
nuts/CH062,2016,,48600,,,109
nuts/CH062,2017,,48500,,,106
nuts/CH062,2018,,47100,,,103
nuts/CH062,2019,,49700,,,101
nuts/CH063,2014,,48800,,,125
nuts/CH063,2015,,56400,,,127
nuts/CH063,2016,,55100,,,123
nuts/CH063,2017,,54700,,,120
nuts/CH063,2018,,53200,,,117
nuts/CH063,2019,,55900,,,114
nuts/CH064,2014,,53800,,,137
nuts/CH064,2015,,61400,,,139
nuts/CH064,2016,,61300,,,137
nuts/CH064,2017,,60000,,,131
nuts/CH064,2018,,58000,,,127
nuts/CH064,2019,,62500,,,127
nuts/CH065,2014,,58000,,,148
nuts/CH065,2015,,70200,,,159
nuts/CH065,2016,,66000,,,148
nuts/CH065,2017,,63600,,,140
nuts/CH065,2018,,61500,,,135
nuts/CH065,2019,,63000,,,128
nuts/CH066,2014,,125300,,,320
nuts/CH066,2015,,147300,,,333
nuts/CH066,2016,,144500,,,323
nuts/CH066,2017,,136600,,,299
nuts/CH066,2018,,133800,,,293
nuts/CH066,2019,,142000,,,289
nuts/CH07,2014,,70000,,,179
nuts/CH07,2015,,78900,,,178
nuts/CH07,2016,,76800,,,172
nuts/CH07,2017,,74400,,,163
nuts/CH07,2018,,74700,,,164
nuts/CH07,2019,,78900,,,161
nuts/CH070,2014,,70000,,,179
nuts/CH070,2015,,78900,,,178
nuts/CH070,2016,,76800,,,172
nuts/CH070,2017,,74400,,,163
nuts/CH070,2018,,74700,,,164
nuts/CH070,2019,,78900,,,161
nuts/IE063,2018,7229330000,24000,7229330000,6187700000,68
nuts/RO1,2002,,2200,,,29
nuts/RO1,2003,,2300,,,30
nuts/RO1,2004,,2700,,,34
nuts/RO1,2005,,3500,,,34
nuts/RO1,2006,,4400,,,38
nuts/RO1,2007,,6000,,,43
nuts/RO1,2008,,6600,,,48
nuts/RO1,2009,,5700,,,49
nuts/RO1,2010,,5900,,,49
nuts/RO1,2011,,6200,,,49
nuts/RO11,2002,,2100,,,28
nuts/RO11,2003,,2200,,,29
nuts/RO11,2004,,2600,,,33
nuts/RO11,2005,,3400,,,33
nuts/RO11,2006,,4300,,,37
nuts/RO11,2007,,5800,,,42
nuts/RO11,2008,,6400,,,46
nuts/RO11,2009,,5600,,,48
nuts/RO11,2010,,5700,,,48
nuts/RO11,2011,,5900,,,47
nuts/RO111,2002,,2400,,,32
nuts/RO111,2003,,2400,,,32
nuts/RO111,2004,,2900,,,36
nuts/RO111,2005,,3700,,,35
nuts/RO111,2006,,4700,,,41
nuts/RO111,2007,,6200,,,44
nuts/RO111,2008,,6700,,,49
nuts/RO111,2009,,5700,,,48
nuts/RO111,2010,,5900,,,49
nuts/RO111,2011,,5500,,,44
nuts/RO112,2002,,1700,,,23
nuts/RO112,2003,,1800,,,24
nuts/RO112,2004,,2100,,,26
nuts/RO112,2005,,2900,,,28
nuts/RO112,2006,,3700,,,32
nuts/RO112,2007,,4900,,,35
nuts/RO112,2008,,5600,,,41
nuts/RO112,2009,,5000,,,42
nuts/RO112,2010,,4800,,,40
nuts/RO112,2011,,5100,,,40
nuts/RO113,2002,,2800,,,37
nuts/RO113,2003,,3000,,,38
nuts/RO113,2004,,3500,,,43
nuts/RO113,2005,,4600,,,44
nuts/RO113,2006,,5600,,,49
nuts/RO113,2007,,8100,,,59
nuts/RO113,2008,,8800,,,64
nuts/RO113,2009,,7800,,,66
nuts/RO113,2010,,7900,,,66
nuts/RO113,2011,,8500,,,67
nuts/RO114,2002,,1600,,,21
nuts/RO114,2003,,1600,,,21
nuts/RO114,2004,,2000,,,25
nuts/RO114,2005,,2600,,,25
nuts/RO114,2006,,3200,,,28
nuts/RO114,2007,,4200,,,30
nuts/RO114,2008,,4700,,,34
nuts/RO114,2009,,4200,,,36
nuts/RO114,2010,,4500,,,37
nuts/RO114,2011,,4500,,,36
nuts/RO115,2002,,1800,,,24
nuts/RO115,2003,,1900,,,25
nuts/RO115,2004,,2400,,,29
nuts/RO115,2005,,2900,,,28
nuts/RO115,2006,,3500,,,30
nuts/RO115,2007,,4500,,,33
nuts/RO115,2008,,5200,,,38
nuts/RO115,2009,,4500,,,38
nuts/RO115,2010,,4600,,,38
nuts/RO115,2011,,4800,,,38
nuts/RO116,2002,,1700,,,22
nuts/RO116,2003,,1800,,,24
nuts/RO116,2004,,2100,,,26
nuts/RO116,2005,,2700,,,26
nuts/RO116,2006,,3600,,,31
nuts/RO116,2007,,4900,,,35
nuts/RO116,2008,,5400,,,39
nuts/RO116,2009,,4800,,,41
nuts/RO116,2010,,4700,,,39
nuts/RO116,2011,,4800,,,38
nuts/RO12,2002,,2400,,,31
nuts/RO12,2003,,2400,,,31
nuts/RO12,2004,,2800,,,34
nuts/RO12,2005,,3600,,,34
nuts/RO12,2006,,4500,,,39
nuts/RO12,2007,,6200,,,45
nuts/RO12,2008,,6800,,,49
nuts/RO12,2009,,5900,,,50
nuts/RO12,2010,,6200,,,51
nuts/RO12,2011,,6500,,,51
nuts/RO121,2002,,2000,,,26
nuts/RO121,2003,,2200,,,28
nuts/RO121,2004,,2700,,,33
nuts/RO121,2005,,3300,,,32
nuts/RO121,2006,,4400,,,38
nuts/RO121,2007,,6600,,,48
nuts/RO121,2008,,7100,,,51
nuts/RO121,2009,,5900,,,50
nuts/RO121,2010,,6500,,,54
nuts/RO121,2011,,6600,,,52
nuts/RO122,2002,,2900,,,39
nuts/RO122,2003,,2900,,,38
nuts/RO122,2004,,3300,,,40
nuts/RO122,2005,,4300,,,42
nuts/RO122,2006,,5200,,,45
nuts/RO122,2007,,7300,,,52
nuts/RO122,2008,,7700,,,56
nuts/RO122,2009,,7000,,,59
nuts/RO122,2010,,7600,,,63
nuts/RO122,2011,,7900,,,62
nuts/RO123,2002,,2200,,,29
nuts/RO123,2003,,2100,,,28
nuts/RO123,2004,,2600,,,32
nuts/RO123,2005,,3100,,,30
nuts/RO123,2006,,3500,,,30
nuts/RO123,2007,,4900,,,36
nuts/RO123,2008,,5400,,,39
nuts/RO123,2009,,4700,,,40
nuts/RO123,2010,,4700,,,39
nuts/RO123,2011,,5100,,,40
nuts/RO124,2002,,1900,,,26
nuts/RO124,2003,,1900,,,25
nuts/RO124,2004,,2300,,,28
nuts/RO124,2005,,2800,,,27
nuts/RO124,2006,,3800,,,33
nuts/RO124,2007,,5000,,,36
nuts/RO124,2008,,5600,,,40
nuts/RO124,2009,,4800,,,41
nuts/RO124,2010,,4800,,,40
nuts/RO124,2011,,5100,,,41
nuts/RO125,2002,,2200,,,29
nuts/RO125,2003,,2400,,,31
nuts/RO125,2004,,2600,,,32
nuts/RO125,2005,,3300,,,31
nuts/RO125,2006,,4000,,,35
nuts/RO125,2007,,5500,,,39
nuts/RO125,2008,,5800,,,42
nuts/RO125,2009,,4900,,,41
nuts/RO125,2010,,4900,,,41
nuts/RO125,2011,,5300,,,42
nuts/RO126,2002,,2500,,,33
nuts/RO126,2003,,2500,,,33
nuts/RO126,2004,,3000,,,37
nuts/RO126,2005,,4000,,,38
nuts/RO126,2006,,5200,,,45
nuts/RO126,2007,,6800,,,49
nuts/RO126,2008,,8000,,,58
nuts/RO126,2009,,7100,,,60
nuts/RO126,2010,,7400,,,61
nuts/RO126,2011,,7800,,,62
nuts/RO2,2002,,1800,,,23
nuts/RO2,2003,,1800,,,24
nuts/RO2,2004,,2200,,,27
nuts/RO2,2005,,2700,,,26
nuts/RO2,2006,,3300,,,29
nuts/RO2,2007,,4300,,,31
nuts/RO2,2008,,4900,,,36
nuts/RO2,2009,,4300,,,37
nuts/RO2,2010,,4400,,,37
nuts/RO2,2011,,4700,,,37
nuts/RO21,2002,,1600,,,21
nuts/RO21,2003,,1600,,,21
nuts/RO21,2004,,1900,,,23
nuts/RO21,2005,,2400,,,23
nuts/RO21,2006,,2900,,,25
nuts/RO21,2007,,3800,,,28
nuts/RO21,2008,,4400,,,32
nuts/RO21,2009,,3800,,,32
nuts/RO21,2010,,3900,,,33
nuts/RO21,2011,,4000,,,32
nuts/RO211,2002,,1800,,,24
nuts/RO211,2003,,1900,,,24
nuts/RO211,2004,,2200,,,27
nuts/RO211,2005,,2700,,,26
nuts/RO211,2006,,3300,,,28
nuts/RO211,2007,,4300,,,31
nuts/RO211,2008,,4900,,,35
nuts/RO211,2009,,4300,,,37
nuts/RO211,2010,,4400,,,36
nuts/RO211,2011,,4100,,,33
nuts/RO212,2002,,1300,,,17
nuts/RO212,2003,,1300,,,17
nuts/RO212,2004,,1400,,,17
nuts/RO212,2005,,1800,,,17
nuts/RO212,2006,,2200,,,19
nuts/RO212,2007,,3100,,,23
nuts/RO212,2008,,3600,,,26
nuts/RO212,2009,,3200,,,27
nuts/RO212,2010,,3300,,,27
nuts/RO212,2011,,3500,,,28
nuts/RO213,2002,,1900,,,25
nuts/RO213,2003,,1900,,,24
nuts/RO213,2004,,2100,,,26
nuts/RO213,2005,,2900,,,28
nuts/RO213,2006,,3400,,,29
nuts/RO213,2007,,4600,,,33
nuts/RO213,2008,,5400,,,39
nuts/RO213,2009,,4700,,,40
nuts/RO213,2010,,5000,,,42
nuts/RO213,2011,,5100,,,40
nuts/RO214,2002,,1500,,,20
nuts/RO214,2003,,1500,,,19
nuts/RO214,2004,,1800,,,22
nuts/RO214,2005,,2300,,,23
nuts/RO214,2006,,2900,,,25
nuts/RO214,2007,,3600,,,26
nuts/RO214,2008,,4000,,,29
nuts/RO214,2009,,3400,,,29
nuts/RO214,2010,,3400,,,28
nuts/RO214,2011,,3500,,,28
nuts/RO215,2002,,1600,,,21
nuts/RO215,2003,,1700,,,22
nuts/RO215,2004,,1900,,,24
nuts/RO215,2005,,2400,,,23
nuts/RO215,2006,,2800,,,24
nuts/RO215,2007,,3900,,,28
nuts/RO215,2008,,4100,,,29
nuts/RO215,2009,,3700,,,32
nuts/RO215,2010,,3700,,,31
nuts/RO215,2011,,3900,,,31
nuts/RO216,2002,,1100,,,14
nuts/RO216,2003,,1200,,,16
nuts/RO216,2004,,1400,,,17
nuts/RO216,2005,,1600,,,15
nuts/RO216,2006,,2100,,,18
nuts/RO216,2007,,2600,,,18
nuts/RO216,2008,,3300,,,24
nuts/RO216,2009,,2700,,,23
nuts/RO216,2010,,2800,,,23
nuts/RO216,2011,,2900,,,23
nuts/RO22,2002,,2000,,,26
nuts/RO22,2003,,2100,,,27
nuts/RO22,2004,,2500,,,31
nuts/RO22,2005,,3200,,,31
nuts/RO22,2006,,3900,,,34
nuts/RO22,2007,,5000,,,36
nuts/RO22,2008,,5700,,,41
nuts/RO22,2009,,5000,,,42
nuts/RO22,2010,,5100,,,43
nuts/RO22,2011,,5700,,,45
nuts/RO221,2002,,1800,,,23
nuts/RO221,2003,,1800,,,24
nuts/RO221,2004,,2200,,,27
nuts/RO221,2005,,2700,,,26
nuts/RO221,2006,,3400,,,30
nuts/RO221,2007,,4900,,,35
nuts/RO221,2008,,5700,,,41
nuts/RO221,2009,,5200,,,44
nuts/RO221,2010,,4400,,,36
nuts/RO221,2011,,5100,,,40
nuts/RO222,2002,,1500,,,20
nuts/RO222,2003,,1700,,,23
nuts/RO222,2004,,2100,,,26
nuts/RO222,2005,,2500,,,24
nuts/RO222,2006,,3100,,,27
nuts/RO222,2007,,4000,,,29
nuts/RO222,2008,,4800,,,35
nuts/RO222,2009,,4200,,,35
nuts/RO222,2010,,4200,,,35
nuts/RO222,2011,,4400,,,35
nuts/RO223,2002,,3000,,,40
nuts/RO223,2003,,3000,,,39
nuts/RO223,2004,,3600,,,44
nuts/RO223,2005,,4900,,,48
nuts/RO223,2006,,6000,,,51
nuts/RO223,2007,,7300,,,52
nuts/RO223,2008,,7800,,,56
nuts/RO223,2009,,7200,,,61
nuts/RO223,2010,,7500,,,62
nuts/RO223,2011,,9000,,,71
nuts/RO224,2002,,1800,,,24
nuts/RO224,2003,,1800,,,24
nuts/RO224,2004,,2400,,,29
