,geo,time,MIO_EUR,EUR_HAB,MIO_NAC,MIO_PPS_EU27_2020,PPS_HAB_EU27_2020
1584,~ATZZ~,2000,108.77,:,108.77,99.57,:
1585,~ATZZ~,2001,109.7,:,109.7,98.39,:
1586,~ATZZ~,2002,111.03,:,111.03,101.16,:
1587,~ATZZ~,2003,109.75,:,109.75,101.47,:
1588,~ATZZ~,2004,114.52,:,114.52,106.56,:
1589,~ATZZ~,2005,117.06,:,117.06,108.72,:
1590,~ATZZ~,2006,115.51,:,115.51,106.78,:
1591,~ATZZ~,2007,114.41,:,114.41,104.07,:
1592,~ATZZ~,2008,126.64,:,126.64,115.02,:
1593,~ATZZ~,2009,132.57,:,132.57,118.67,:
1594,~ATZZ~,2010,136,:,136,122.22,:
1595,~ATZZ~,2011,133.74,:,133.74,119.88,:
1596,~ATZZ~,2012,136.29,:,136.29,123.7,:
1597,~ATZZ~,2013,130.58,:,130.58,118.25,:
1598,~ATZZ~,2014,130.48,:,130.48,117.08,:
1599,~ATZZ~,2015,136.23,:,136.23,122.62,:
1600,~ATZZ~,2016,138.47,:,138.47,123.81,:
1601,~ATZZ~,2017,138.42,:,138.42,122.68,:
1602,~ATZZ~,2018,142.58,:,142.58,126.31,:
1603,~ATZZ~,2019,143.59,:,143.59,126.47,:
1604,~ATZZ~,2020,141.84,:,141.84,124.32,:
1605,~ATZZ~,2021,145.67,:,145.67,128.99,:
1606,~ATZZ~,2022,152.92,:,152.92,136.84,:
1607,~ATZZ~,2023,161.46,:,161.46,142.47,:
1608,~ATZZZ~,2000,108.77,:,108.77,99.57,:
1609,~ATZZZ~,2001,109.7,:,109.7,98.39,:
1610,~ATZZZ~,2002,111.03,:,111.03,101.16,:
1611,~ATZZZ~,2003,109.75,:,109.75,101.47,:
1612,~ATZZZ~,2004,114.52,:,114.52,106.56,:
1613,~ATZZZ~,2005,117.06,:,117.06,108.72,:
1614,~ATZZZ~,2006,115.51,:,115.51,106.78,:
1615,~ATZZZ~,2007,114.41,:,114.41,104.07,:
1616,~ATZZZ~,2008,126.64,:,126.64,115.02,:
1617,~ATZZZ~,2009,132.57,:,132.57,118.67,:
1618,~ATZZZ~,2010,136,:,136,122.22,:
1619,~ATZZZ~,2011,133.74,:,133.74,119.88,:
1620,~ATZZZ~,2012,136.29,:,136.29,123.7,:
1621,~ATZZZ~,2013,130.58,:,130.58,118.25,:
1622,~ATZZZ~,2014,130.48,:,130.48,117.08,:
1623,~ATZZZ~,2015,136.23,:,136.23,122.62,:
1624,~ATZZZ~,2016,138.47,:,138.47,123.81,:
1625,~ATZZZ~,2017,138.42,:,138.42,122.68,:
1626,~ATZZZ~,2018,142.58,:,142.58,126.31,:
1627,~ATZZZ~,2019,143.59,:,143.59,126.47,:
1628,~ATZZZ~,2020,141.84,:,141.84,124.32,:
1629,~ATZZZ~,2021,145.67,:,145.67,128.99,:
1630,~ATZZZ~,2022,152.92,:,152.92,136.84,:
1631,~ATZZZ~,2023,:,:,:,:,:
3072,~BEZZ~,2000,:,:,:,:,:
3073,~BEZZ~,2001,:,:,:,:,:
3074,~BEZZ~,2002,:,:,:,:,:
3075,~BEZZ~,2003,285.93,:,285.93,268,:
3076,~BEZZ~,2004,220.34,:,220.34,202.67,:
3077,~BEZZ~,2005,176.95,:,176.95,162.54,:
3078,~BEZZ~,2006,174.11,:,174.11,158.34,:
3079,~BEZZ~,2007,178.76,:,178.76,160.61,:
3080,~BEZZ~,2008,185.74,:,185.74,166.26,:
3081,~BEZZ~,2009,193.32,:,193.32,171.76,:
3082,~BEZZ~,2010,244.75,:,244.75,221.42,:
3083,~BEZZ~,2011,253.47,:,253.47,227.05,:
3084,~BEZZ~,2012,267.14,:,267.14,239.95,:
3085,~BEZZ~,2013,271.68,:,271.68,243.25,:
3086,~BEZZ~,2014,269.46,:,269.46,241.36,:
3087,~BEZZ~,2015,258.64,:,258.64,232.46,:
3088,~BEZZ~,2016,180.98,:,180.98,160.97,:
3089,~BEZZ~,2017,191.34,:,191.34,169.45,:
3090,~BEZZ~,2018,248.42,:,248.42,219.78,:
3091,~BEZZ~,2019,276.56,:,276.56,244.42,:
3092,~BEZZ~,2020,169.3,:,169.3,151.01,:
3093,~BEZZ~,2021,166.67,:,166.67,147.67,:
3094,~BEZZ~,2022,175.1,:,175.1,155.01,:
3095,~BEZZ~,2023,190.27,:,190.27,168.55,:
3096,~BEZZZ~,2000,:,:,:,:,:
3097,~BEZZZ~,2001,:,:,:,:,:
3098,~BEZZZ~,2002,:,:,:,:,:
3099,~BEZZZ~,2003,285.93,:,285.93,268,:
3100,~BEZZZ~,2004,220.34,:,220.34,202.67,:
3101,~BEZZZ~,2005,176.95,:,176.95,162.54,:
3102,~BEZZZ~,2006,174.11,:,174.11,158.34,:
3103,~BEZZZ~,2007,178.76,:,178.76,160.61,:
3104,~BEZZZ~,2008,185.74,:,185.74,166.26,:
3105,~BEZZZ~,2009,193.32,:,193.32,171.76,:
3106,~BEZZZ~,2010,244.75,:,244.75,221.42,:
3107,~BEZZZ~,2011,253.47,:,253.47,227.05,:
3108,~BEZZZ~,2012,267.14,:,267.14,239.95,:
3109,~BEZZZ~,2013,271.68,:,271.68,243.25,:
3110,~BEZZZ~,2014,269.46,:,269.46,241.36,:
3111,~BEZZZ~,2015,258.64,:,258.64,232.46,:
3112,~BEZZZ~,2016,180.98,:,180.98,160.97,:
3113,~BEZZZ~,2017,191.34,:,191.34,169.45,:
3114,~BEZZZ~,2018,248.42,:,248.42,219.78,:
3115,~BEZZZ~,2019,276.56,:,276.56,244.42,:
3116,~BEZZZ~,2020,169.3,:,169.3,151.01,:
3117,~BEZZZ~,2021,166.67,:,166.67,147.67,:
3118,~BEZZZ~,2022,175.1,:,175.1,155.01,:
3119,~BEZZZ~,2023,190.27,:,190.27,168.55,:
16896,~DKZZ~,2000,5467.39,:,40752.8,3904.83,:
16897,~DKZZ~,2001,4844.15,:,36099.05,3437.87,:
16898,~DKZZ~,2002,4875.3,:,36225.89,3468.95,:
16899,~DKZZ~,2003,4959.76,:,36854.52,3499.62,:
16900,~DKZZ~,2004,6156.84,:,45806.27,4424.27,:
16901,~DKZZ~,2005,8493.37,:,63290.87,6049.71,:
16902,~DKZZ~,2006,9497.51,:,70842.91,6796.59,:
16903,~DKZZ~,2007,9539.02,:,71071.43,6876.17,:
16904,~DKZZ~,2008,10627.8,:,79240.91,7740.86,:
16905,~DKZZ~,2009,6723.23,:,50062.5,4890.92,:
16906,~DKZZ~,2010,7377.43,:,54941.9,5478.08,:
16907,~DKZZ~,2011,8518.69,:,63469.36,6334.65,:
16908,~DKZZ~,2012,8527.7,:,63477.61,6197.17,:
16909,~DKZZ~,2013,7220.79,:,53851.91,5285.09,:
16910,~DKZZ~,2014,5972.61,:,44524.59,4354.57,:
16911,~DKZZ~,2015,3534.3,:,26361.26,2594.59,:
16912,~DKZZ~,2016,3140.66,:,23382.84,2294.3,:
16913,~DKZZ~,2017,3208.32,:,23865.42,2385.54,:
16914,~DKZZ~,2018,3812.7,:,28416.78,2847.84,:
16915,~DKZZ~,2019,3166.68,:,23642.75,2351.55,:
16916,~DKZZ~,2020,1681.61,:,12535.05,1257.97,:
16917,~DKZZ~,2021,2467.72,:,18352.45,1861.63,:
16918,~DKZZ~,2022,5696.28,:,42378.04,4267.35,:
16919,~DKZZ~,2023,5408.43,:,40297.65,4087.82,:
16920,~DKZZZ~,2000,5467.39,:,40752.8,3904.83,:
16921,~DKZZZ~,2001,4844.15,:,36099.05,3437.87,:
16922,~DKZZZ~,2002,4875.3,:,36225.89,3468.95,:
16923,~DKZZZ~,2003,4959.76,:,36854.52,3499.62,:
16924,~DKZZZ~,2004,6156.84,:,45806.27,4424.27,:
16925,~DKZZZ~,2005,8493.37,:,63290.87,6049.71,:
16926,~DKZZZ~,2006,9497.51,:,70842.91,6796.59,:
16927,~DKZZZ~,2007,9539.02,:,71071.43,6876.17,:
16928,~DKZZZ~,2008,10627.8,:,79240.91,7740.86,:
16929,~DKZZZ~,2009,6723.23,:,50062.5,4890.92,:
16930,~DKZZZ~,2010,7377.43,:,54941.9,5478.08,:
16931,~DKZZZ~,2011,8518.69,:,63469.36,6334.65,:
16932,~DKZZZ~,2012,8527.7,:,63477.61,6197.17,:
16933,~DKZZZ~,2013,7220.79,:,53851.91,5285.09,:
16934,~DKZZZ~,2014,5972.61,:,44524.59,4354.57,:
16935,~DKZZZ~,2015,3534.3,:,26361.26,2594.59,:
16936,~DKZZZ~,2016,3140.66,:,23382.84,2294.3,:
16937,~DKZZZ~,2017,3208.32,:,23865.42,2385.54,:
16938,~DKZZZ~,2018,3812.7,:,28416.78,2847.84,:
16939,~DKZZZ~,2019,3166.68,:,23642.75,2351.55,:
16940,~DKZZZ~,2020,1681.61,:,12535.05,1257.97,:
16941,~DKZZZ~,2021,2467.72,:,18352.45,1861.63,:
16942,~DKZZZ~,2022,5696.28,:,42378.04,4267.35,:
16943,~DKZZZ~,2023,5408.43,:,40297.65,4087.82,:
20904,~ESZZ~,2000,571.3,:,571.3,641.56,:
20905,~ESZZ~,2001,602.8,:,602.8,667.51,:
20906,~ESZZ~,2002,609.1,:,609.1,672.72,:
20907,~ESZZ~,2003,573.7,:,573.7,620.49,:
20908,~ESZZ~,2004,689.7,:,689.7,735.82,:
