"Units","ScalingFactors","MinDate","MeasurementMethods","observationPeriods","StatVar","NumPlaces"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_IntracityMassTransit","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_GarbageAndTrashCollection","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_IntracityTransportation","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_MeatsPoultryAndFish","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_CommoditiesExceptFoodAndBeverages","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AudioDiscsTapesAndOtherMedia","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_Televisions","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_FrozenAndFreezeDriedPreparedFoods","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AdmissionToSportingEvents","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_SpicesSeasoningsCondimentsSauces","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_GasolineUnleadedRegular","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_HouseholdEnergy","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_CakesCupcakesAndCookies","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_GirlsApparel","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_Potatoes","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItemsExceptFoodShelterEnergyAndUsedCarsAndTrucks","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_FreshWholeMilk","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_OtherProcessedFruitsAndVegetablesIncludingDried","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_IceCreamAndRelatedProducts","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_HospitalAndRelatedServices","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_DistilledSpiritsExcludingWhiskeyAtHome","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_WhiteBread","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_CollegeTuitionAndFees","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_TobaccoProductsOtherThanCigarettes","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_NewVehicles","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_FatsAndOils","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_OtherFatsAndOilsIncludingPeanutButter","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_OtherLodgingAwayFromHomeIncludingHotelsAndMotels","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_Toys","1"
"[]","[]","2018-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_OtherPorkIncludingRoastsSteaksAndRibs","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_HouseholdCleaningProducts","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_Watches","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_RecreationServices","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_OwnersEquivalentRentOfPrimaryResidence","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_ServicesExceptMedicalCareServices","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_BabyFood","1"
"[]","[]","2022-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_SubscriptionAndRentalOfVideoAndVideoGames","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_MensSuitsSportCoatsAndOuterwear","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_LambAndOrganMeats","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_BakeryProducts","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_FreshFruits","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_NonprescriptionDrugs","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_Footwear","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_MedicinalDrugs","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_OlivesPicklesRelishes","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_FreshBiscuitsRollsMuffins","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_VehiclePartsAndEquipmentOtherThanTires","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_OtherLinens","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_ClubDuesAndFeesForParticipantSportsAndGroupExercises","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_UsedCarsAndTrucks","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_CerealsAndBakeryProducts","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_PersonalCareServices","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_HouseholdOperations","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_UncookedOtherBeefAndVeal","1"
"[]","[]","2011-01","[]","[]","SeasonallyUnadjusted_ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_NewCars","1"
