key,prop,val,p1,v1,p2,v2,Month,,#End,#value,,
Expenditure category,observationAbout,country/USA,populationType,ConsumerGoodsAndServices,consumer,UrbanConsumer,measuredProperty,consumerPriceIndex,measurementMethod,BLSUnchained,unit,IndexPointBasePeriod1982_1984Equals100
Unadjusted indexes,measurementQualifier,BLSSeasonallyUnadjusted,value,{Number},observationPeriod,P1M,,,,,,
Seasonally adjusted indexes,measurementQualifier,BLSSeasonallyAdjusted,value,{Number},observationPeriod,P1M,,,,,,
Unadjusted percent change,statType,growthRate,measurementQualifier,BLSSeasonallyUnadjusted,comparisonPeriod,MonthOnChange,value,{Number},observationPeriod,P1M,,
Seasonally adjusted percent change,statType,growthRate,measurementQualifier,BLSSeasonallyAdjusted,comparisonPeriod,MonthOnChange,value,{Number},observationPeriod,P1M,,
,,,,,,,,,,,,
Jan. 2024- Jan. 2025,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Apr. 2024- Apr. 2025,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2018- Jan. 2019,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2014- Jan. 2015,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2023- Jan. 2024,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2022- Jan. 2023,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2011- Jan. 2012,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2013- Jan. 2014,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2021- Jan. 2022,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2020- Jan. 2021,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2017- Jan. 2018,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2012- Jan. 2013,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2019- Jan. 2020,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2016- Jan. 2017,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2015- Jan. 2016,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
May. 2024- May. 2025,comparisonPeriod,YearOnChange,Month,05,observationPeriod,P1Y,,,,,,
Jun. 2024- Jun. 2025,comparisonPeriod,YearOnChange,Month,06,observationPeriod,P1Y,,,,,,
Jul. 2024- Jul. 2025,comparisonPeriod,YearOnChange,Month,07,observationPeriod,P1Y,,,,,,
Aug. 2024- Aug. 2025,comparisonPeriod,YearOnChange,Month,08,observationPeriod,P1Y,,,,,,
Sep. 2024- Sep. 2025,comparisonPeriod,YearOnChange,Month,09,observationPeriod,P1Y,,,,,,
Oct. 2024- Oct. 2025,comparisonPeriod,YearOnChange,Month,10,observationPeriod,P1Y,,,,,,
Nov. 2024- Nov. 2025,comparisonPeriod,YearOnChange,Month,11,observationPeriod,P1Y,,,,,,
Dec. 2024- Dec. 2025,comparisonPeriod,YearOnChange,Month,12,observationPeriod,P1Y,,,,,,
Jan. 2025- Jan. 2026,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Feb. 2025- Feb. 2026,comparisonPeriod,YearOnChange,Month,02,observationPeriod,P1Y,,,,,,
Mar. 2025- Mar. 2026,comparisonPeriod,YearOnChange,Month,03,observationPeriod,P1Y,,,,,,
Apr. 2025- Apr. 2026,comparisonPeriod,YearOnChange,Month,04,observationPeriod,P1Y,,,,,,
May. 2025- May. 2026,comparisonPeriod,YearOnChange,Month,05,observationPeriod,P1Y,,,,,,
Jun. 2025- Jun. 2026,comparisonPeriod,YearOnChange,Month,06,observationPeriod,P1Y,,,,,,
Jul. 2025- Jul. 2026,comparisonPeriod,YearOnChange,Month,07,observationPeriod,P1Y,,,,,,
Aug. 2025- Aug. 2026,comparisonPeriod,YearOnChange,Month,08,observationPeriod,P1Y,,,,,,
Sep. 2025- Sep. 2026,comparisonPeriod,YearOnChange,Month,09,observationPeriod,P1Y,,,,,,
Oct. 2025- Oct. 2026,comparisonPeriod,YearOnChange,Month,10,observationPeriod,P1Y,,,,,,
Nov. 2025- Nov. 2026,comparisonPeriod,YearOnChange,Month,11,observationPeriod,P1Y,,,,,,
Dec. 2025- Dec. 2026,comparisonPeriod,YearOnChange,Month,12,observationPeriod,P1Y,,,,,,
Jan. 2026- Jan. 2027,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Feb. 2026- Feb. 2027,comparisonPeriod,YearOnChange,Month,02,observationPeriod,P1Y,,,,,,
Mar. 2026- Mar. 2027,comparisonPeriod,YearOnChange,Month,03,observationPeriod,P1Y,,,,,,
Apr. 2026- Apr. 2027,comparisonPeriod,YearOnChange,Month,04,observationPeriod,P1Y,,,,,,
May. 2026- May. 2027,comparisonPeriod,YearOnChange,Month,05,observationPeriod,P1Y,,,,,,
Jun. 2026- Jun. 2027,comparisonPeriod,YearOnChange,Month,06,observationPeriod,P1Y,,,,,,
Jul. 2026- Jul. 2027,comparisonPeriod,YearOnChange,Month,07,observationPeriod,P1Y,,,,,,
Aug. 2026- Aug. 2027,comparisonPeriod,YearOnChange,Month,08,observationPeriod,P1Y,,,,,,
Sep. 2026- Sep. 2027,comparisonPeriod,YearOnChange,Month,09,observationPeriod,P1Y,,,,,,
Oct. 2026- Oct. 2027,comparisonPeriod,YearOnChange,Month,10,observationPeriod,P1Y,,,,,,
Nov. 2026- Nov. 2027,comparisonPeriod,YearOnChange,Month,11,observationPeriod,P1Y,,,,,,
Dec. 2026- Dec. 2027,comparisonPeriod,YearOnChange,Month,12,observationPeriod,P1Y,,,,,,
Jan. 2027- Jan. 2028,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Feb. 2027- Feb. 2028,comparisonPeriod,YearOnChange,Month,02,observationPeriod,P1Y,,,,,,
Mar. 2027- Mar. 2028,comparisonPeriod,YearOnChange,Month,03,observationPeriod,P1Y,,,,,,
Apr. 2027- Apr. 2028,comparisonPeriod,YearOnChange,Month,04,observationPeriod,P1Y,,,,,,
May. 2027- May. 2028,comparisonPeriod,YearOnChange,Month,05,observationPeriod,P1Y,,,,,,
Jun. 2027- Jun. 2028,comparisonPeriod,YearOnChange,Month,06,observationPeriod,P1Y,,,,,,
Jul. 2027- Jul. 2028,comparisonPeriod,YearOnChange,Month,07,observationPeriod,P1Y,,,,,,
Aug. 2027- Aug. 2028,comparisonPeriod,YearOnChange,Month,08,observationPeriod,P1Y,,,,,,
Sep. 2027- Sep. 2028,comparisonPeriod,YearOnChange,Month,09,observationPeriod,P1Y,,,,,,
Oct. 2027- Oct. 2028,comparisonPeriod,YearOnChange,Month,10,observationPeriod,P1Y,,,,,,
Nov. 2027- Nov. 2028,comparisonPeriod,YearOnChange,Month,11,observationPeriod,P1Y,,,,,,
