observationAbout,observationDate,variableMeasured,value,unit,scalingFactor,measurementMethod
geoId/02,2023,dcid:Amount_Investment_ProgramPlanning,210000,USDollar,,
geoId/02,2024,dcid:Amount_Investment_ProgramPlanning,1140000,USDollar,,
geoId/02,2025,dcid:Amount_Investment_ProgramPlanning,145000,USDollar,,
geoId/02,2012,dcid:Amount_Investment_PublicWorks,2800000,USDollar,,
geoId/02,2014,dcid:Amount_Investment_PublicWorks,2315584,USDollar,,
geoId/02,2018,dcid:Amount_Investment_PublicWorks,519418,USDollar,,
geoId/02,2019,dcid:Amount_Investment_PublicWorks,2144677,USDollar,,
geoId/02,2021,dcid:Amount_Investment_PublicWorks,2028704,USDollar,,
geoId/02,2024,dcid:Amount_Investment_PublicWorks,3061140,USDollar,,
geoId/02,2020,dcid:Amount_Investment_RegionalInnovationStrategies,591630,USDollar,,
geoId/02,2012,dcid:Amount_Investment_TechnicalAssistance,625000,USDollar,,
geoId/02,2013,dcid:Amount_Investment_TechnicalAssistance,48155,USDollar,,
geoId/02,2015,dcid:Amount_Investment_TechnicalAssistance,498987,USDollar,,
geoId/02,2016,dcid:Amount_Investment_TechnicalAssistance,205801,USDollar,,
geoId/02,2017,dcid:Amount_Investment_TechnicalAssistance,896000,USDollar,,
geoId/02,2019,dcid:Amount_Investment_TechnicalAssistance,77100,USDollar,,
geoId/02,2021,dcid:Amount_Investment_TechnicalAssistance,599053,USDollar,,
geoId/02,2022,dcid:Amount_Investment_TechnicalAssistance,405000,USDollar,,
geoId/02,2023,dcid:Amount_Investment_TechnicalAssistance,90000,USDollar,,
geoId/60,2017,dcid:Amount_Investment,78000,USDollar,,
geoId/60,2019,dcid:Amount_Investment,100000,USDollar,,
geoId/60,2022,dcid:Amount_Investment,1000000,USDollar,,
geoId/60,2024,dcid:Amount_Investment,728134,USDollar,,
geoId/60,2022,dcid:Amount_Investment_EconomicAdjustmentAssistance,1000000,USDollar,,
geoId/60,2024,dcid:Amount_Investment_EconomicAdjustmentAssistance,728134,USDollar,,
geoId/60,2017,dcid:Amount_Investment_ProgramPlanning,78000,USDollar,,
geoId/60,2019,dcid:Amount_Investment_TechnicalAssistance,100000,USDollar,,
geoId/04,2012,dcid:Amount_Investment,5150048,USDollar,,
geoId/04,2013,dcid:Amount_Investment,1121864,USDollar,,
geoId/04,2014,dcid:Amount_Investment,3041300,USDollar,,
geoId/04,2015,dcid:Amount_Investment,2980718,USDollar,,
geoId/04,2016,dcid:Amount_Investment,3706716,USDollar,,
geoId/04,2017,dcid:Amount_Investment,2073991,USDollar,,
geoId/04,2018,dcid:Amount_Investment,310000,USDollar,,
geoId/04,2019,dcid:Amount_Investment,1119649,USDollar,,
geoId/04,2020,dcid:Amount_Investment,2487100,USDollar,,
