Place,State or Territory / EDA Program,Year,Value
California,STEM Talent Challenge,2024,496693
California,Trade Adjustment Assistance for Firms,2016,3406820
California,Trade Adjustment Assistance for Firms,2017,1181005
California,Trade Adjustment Assistance for Firms,2018,6869554
California,Trade Adjustment Assistance for Firms,2019,7806720
California,Trade Adjustment Assistance for Firms,2020,8347374
California,Trade Adjustment Assistance for Firms,2021,7090835
California,Trade Adjustment Assistance for Firms,2022,5680080
California,Trade Adjustment Assistance for Firms,2023,7900644
Colorado,Regional Technology and Innovation Hubs,2025,11122386
Colorado,Research and National Technical Assistance,2012,132958
District of Columbia,Research and National Technical Assistance,2014,360000
District of Columbia,Research and National Technical Assistance,2016,1998574
District of Columbia,Research and National Technical Assistance,2017,4080780
District of Columbia,Research and National Technical Assistance,2019,3957635
Florida,Distressed Area Recompete Pilot Program,2024,999846
Florida,Good Jobs Challenge,2015,581200
Florida,Regional Technology and Innovation Hubs,2024,3200000
Florida,Regional Technology and Innovation Hubs,2025,16278161
Florida,STEM Talent Challenge,2024,323832
Georgia,Distressed Area Recompete Pilot Program,2024,500000
Georgia,Good Jobs Challenge,2015,1114542
Georgia,STEM Talent Challenge,2024,500000
Hawaii,STEM Talent Challenge,2021,300000
Idaho,Regional Technology and Innovation Hubs,2024,929760
Illinois,Distressed Area Recompete Pilot Program,2024,453320
Kansas,Good Jobs Challenge,2015,884343
Michigan,Good Jobs Challenge,2015,494340
Missouri,Good Jobs Challenge,2015,1500000
New Jersey,Good Jobs Challenge,2015,1994157
New Mexico,Good Jobs Challenge,2015,1413654
