statvar,dcid
Monthly_Amount_Sales_RetailAndFoodServices,Monthly_Amount_Sales_RetailAndFoodServices
Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehicleParts,Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehicleParts
Monthly_Amount_Sales_RetailAndFoodServicesExcludingGasolineStations,Monthly_Amount_Sales_RetailAndFoodServicesExcludingGasolineStations
Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehiclePartsAndGasolineStations,Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehiclePartsAndGasolineStations
Monthly_Amount_Sales_RetailServices,Monthly_Amount_Sales_RetailServices
Monthly_Amount_Sales_RetailServicesExcludingMotorVehiclePartsDealer,Monthly_Amount_Sales_RetailServicesExcludingMotorVehiclePartsDealer
Monthly_Amount_Sales_NAICSGeneralMerchandiseRetailers,Monthly_Amount_Sales_GeneralMerchandiseRetailers
Monthly_Amount_Sales_NAICSMotorVehicleAndPartsDealers,Monthly_Amount_Sales_MotorVehicleAndPartsDealers
Monthly_Amount_Sales_NAICSAutomobileDealersOtherMotorVehicleDealers,Monthly_Amount_Sales_AutomobileDealersOtherMotorVehicleDealers
Monthly_Amount_Sales_NAICSAutomobileDealers,Monthly_Amount_Sales_AutomobileDealers
Monthly_Amount_Sales_NAICSNewCarDealers,Monthly_Amount_Sales_NewCarDealers
Monthly_Amount_Sales_NAICSUsedCarDealers,Monthly_Amount_Sales_UsedCarDealers
Monthly_Amount_Sales_NAICSAutomotivePartsAccessoriesAndTireStores,Monthly_Amount_Sales_AutomotivePartsAccessoriesAndTireStores
Monthly_Amount_Sales_NAICSFurnitureFurnishingsStores_ElectronicsApplianceStores,Monthly_Amount_Sales_FurnitureFurnishingsStores_ElectronicsApplianceStores
Monthly_Amount_Sales_NAICSFurnitureFurnishingsStores,Monthly_Amount_Sales_FurnitureFurnishingsStores
Monthly_Amount_Sales_NAICSFurnitureStores,Monthly_Amount_Sales_FurnitureStores
Monthly_Amount_Sales_NAICS_ElectronicsApplianceStores,Monthly_Amount_Sales__ElectronicsApplianceStores
Monthly_Amount_Sales_NAICSHouseholdApplianceStores,Monthly_Amount_Sales_HouseholdApplianceStores
Monthly_Amount_Sales_NAICSElectronicsStores,Monthly_Amount_Sales_ElectronicsStores
Monthly_Amount_Sales_NAICSBuildingMaterialAndGardenEquipmentAndSuppliesDealers,Monthly_Amount_Sales_BuildingMaterialAndGardenEquipmentAndSuppliesDealers
Monthly_Amount_Sales_NAICSBuildingMaterialAndSuppliesDealers,Monthly_Amount_Sales_BuildingMaterialAndSuppliesDealers
Monthly_Amount_Sales_NAICSPaintAndWallpaperStores,Monthly_Amount_Sales_PaintAndWallpaperStores
Monthly_Amount_Sales_NAICSHardwareStores,Monthly_Amount_Sales_HardwareStores
Monthly_Amount_Sales_NAICSFoodAndBeverageStores,Monthly_Amount_Sales_FoodAndBeverageStores
Monthly_Amount_Sales_NAICSGroceryStores,Monthly_Amount_Sales_GroceryStores
Monthly_Amount_Sales_NAICSSupermarketsAndOtherGroceryStores,Monthly_Amount_Sales_SupermarketsAndOtherGroceryStores
Monthly_Amount_Sales_NAICSBeerWineAndLiquorStores,Monthly_Amount_Sales_BeerWineAndLiquorStores
Monthly_Amount_Sales_NAICSHealthAndPersonalCareStores,Monthly_Amount_Sales_HealthAndPersonalCareStores
Monthly_Amount_Sales_NAICSPharmaciesAndDrugStores,Monthly_Amount_Sales_PharmaciesAndDrugStores
Monthly_Amount_Sales_NAICSGasolineStations,Monthly_Amount_Sales_GasolineStations
Monthly_Amount_Sales_NAICSClothingAndClothingAccessStores,Monthly_Amount_Sales_ClothingAndClothingAccessStores
Monthly_Amount_Sales_NAICSClothingStores,Monthly_Amount_Sales_ClothingStores
Monthly_Amount_Sales_NAICSWomenClothingStores,Monthly_Amount_Sales_WomenClothingStores
Monthly_Amount_Sales_NAICSFamilyClothingStores,Monthly_Amount_Sales_FamilyClothingStores
Monthly_Amount_Sales_NAICSOtherClothingStores,Monthly_Amount_Sales_OtherClothingStores
Monthly_Amount_Sales_NAICSShoeStores,Monthly_Amount_Sales_ShoeStores
Monthly_Amount_Sales_NAICSSportingGoodsHobbyMusicalInstrumentAndBookStores,Monthly_Amount_Sales_SportingGoodsHobbyMusicalInstrumentAndBookStores
Monthly_Amount_Sales_NAICSSportingGoodsStores,Monthly_Amount_Sales_SportingGoodsStores
Monthly_Amount_Sales_NAICSHobbyToyAndGameStores,Monthly_Amount_Sales_HobbyToyAndGameStores
Monthly_Amount_Sales_NAICSBookStores,Monthly_Amount_Sales_BookStores
Monthly_Amount_Sales_NAICSGeneralMerchandiseStores,Monthly_Amount_Sales_GeneralMerchandiseStores
Monthly_Amount_Sales_NAICSDepartmentStores,Monthly_Amount_Sales_DepartmentStores
Monthly_Amount_Sales_NAICSDepartmentStoresExcludingDiscountDepartmentStores,Monthly_Amount_Sales_DepartmentStoresExcludingDiscountDepartmentStores
Monthly_Amount_Sales_NAICSDiscountDeptStores,Monthly_Amount_Sales_DiscountDeptStores
Monthly_Amount_Sales_NAICSOtherGeneralMerchandiseStores,Monthly_Amount_Sales_OtherGeneralMerchandiseStores
Monthly_Amount_Sales_NAICSWarehouseClubsAndSuperstores,Monthly_Amount_Sales_WarehouseClubsAndSuperstores
Monthly_Amount_Sales_NAICSAllOtherGeneralMerchandiseStores,Monthly_Amount_Sales_AllOtherGeneralMerchandiseStores
Monthly_Amount_Sales_NAICSMiscellaneousStoreRetailers,Monthly_Amount_Sales_MiscellaneousStoreRetailers
Monthly_Amount_Sales_NAICSOfficeSuppliesStationeryAndGiftStores,Monthly_Amount_Sales_OfficeSuppliesStationeryAndGiftStores
Monthly_Amount_Sales_NAICSOfficeSuppliesAndStationeryStores,Monthly_Amount_Sales_OfficeSuppliesAndStationeryStores
Monthly_Amount_Sales_NAICSGiftNoveltyAndSouvenirStores,Monthly_Amount_Sales_GiftNoveltyAndSouvenirStores
Monthly_Amount_Sales_NAICSUsedMerchandiseStores,Monthly_Amount_Sales_UsedMerchandiseStores
Monthly_Amount_Sales_NAICSNonstoreRetailers,Monthly_Amount_Sales_NonstoreRetailers
Monthly_Amount_Sales_NAICSElectronicShoppingAndMailOrderHouses,Monthly_Amount_Sales_ElectronicShoppingAndMailOrderHouses
Monthly_Amount_Sales_NAICSFuelDealers,Monthly_Amount_Sales_FuelDealers
Monthly_Amount_Sales_NAICSFoodServicesAndDrinkingPlaces,Monthly_Amount_Sales_FoodServicesAndDrinkingPlaces
Monthly_Amount_Sales_NAICSRestaurantsAndOtherEatingPlaces,Monthly_Amount_Sales_RestaurantsAndOtherEatingPlaces
Monthly_Amount_Sales_NAICSLimitedServiceEatingPlaces,Monthly_Amount_Sales_LimitedServiceEatingPlaces
Monthly_Amount_Sales_RetailAndFoodServices_NAICSFullServiceRestaurants,Monthly_Amount_Sales_RetailAndFoodServices_FullServiceRestaurants
Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehicleParts_NAICSFullServiceRestaurants,Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehicleParts_FullServiceRestaurants
Monthly_Amount_Sales_RetailAndFoodServicesExcludingGasolineStations_NAICSFullServiceRestaurants,Monthly_Amount_Sales_RetailAndFoodServicesExcludingGasolineStations_FullServiceRestaurants
Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehiclePartsAndGasolineStations_NAICSFullServiceRestaurants,Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehiclePartsAndGasolineStations_FullServiceRestaurants
Monthly_Amount_Sales_RetailServices_NAICSFullServiceRestaurants,Monthly_Amount_Sales_RetailServices_FullServiceRestaurants
Monthly_Amount_Sales_RetailServicesExcludingMotorVehiclePartsDealer_NAICSFullServiceRestaurants,Monthly_Amount_Sales_RetailServicesExcludingMotorVehiclePartsDealer_FullServiceRestaurants
Monthly_Amount_Sales_NAICSHomeFurnishingsStores,Monthly_Amount_Sales_HomeFurnishingsStores
Monthly_Amount_Sales_NAICSFloorCoveringStores,Monthly_Amount_Sales_FloorCoveringStores
Monthly_Amount_Sales_NAICSAllOtherHomeFurnishingsStores,Monthly_Amount_Sales_AllOtherHomeFurnishingsStores
Monthly_Amount_Sales_NAICSMensClothingStores,Monthly_Amount_Sales_MensClothingStores
Monthly_Amount_Sales_NAICSJewelryStores,Monthly_Amount_Sales_JewelryStores
Monthly_Amount_Sales_NAICSDrinkingPlaces,Monthly_Amount_Sales_DrinkingPlaces
Monthly_Amount_Sales_NAICSFullServiceRestaurants,Monthly_Amount_Sales_FullServiceRestaurants
Monthly_Amount_Sales_RetailAndFoodServices_NAICSOtherClothingStores,Monthly_Amount_Sales_RetailAndFoodServices_OtherClothingStores
Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehicleParts_NAICSOtherClothingStores,Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehicleParts_OtherClothingStores
Monthly_Amount_Sales_RetailAndFoodServicesExcludingGasolineStations_NAICSOtherClothingStores,Monthly_Amount_Sales_RetailAndFoodServicesExcludingGasolineStations_OtherClothingStores
Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehiclePartsAndGasolineStations_NAICSOtherClothingStores,Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehiclePartsAndGasolineStations_OtherClothingStores
Monthly_Amount_Sales_RetailServices_NAICSOtherClothingStores,Monthly_Amount_Sales_RetailServices_OtherClothingStores
Monthly_Amount_Sales_RetailServicesExcludingMotorVehiclePartsDealer_NAICSOtherClothingStores,Monthly_Amount_Sales_RetailServicesExcludingMotorVehiclePartsDealer_OtherClothingStores
Monthly_Amount_Sales_RetailAndFoodServices_NAICSDrinkingPlaces,Monthly_Amount_Sales_RetailAndFoodServices_DrinkingPlaces
Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehicleParts_NAICSDrinkingPlaces,Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehicleParts_DrinkingPlaces
Monthly_Amount_Sales_RetailAndFoodServicesExcludingGasolineStations_NAICSDrinkingPlaces,Monthly_Amount_Sales_RetailAndFoodServicesExcludingGasolineStations_DrinkingPlaces
Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehiclePartsAndGasolineStations_NAICSDrinkingPlaces,Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehiclePartsAndGasolineStations_DrinkingPlaces
Monthly_Amount_Sales_RetailServices_NAICSDrinkingPlaces,Monthly_Amount_Sales_RetailServices_DrinkingPlaces
Monthly_Amount_Sales_RetailServicesExcludingMotorVehiclePartsDealer_NAICSDrinkingPlaces,Monthly_Amount_Sales_RetailServicesExcludingMotorVehiclePartsDealer_DrinkingPlaces
Monthly_Amount_Sales_RetailAndFoodServices_NAICSFloorCoveringStores,Monthly_Amount_Sales_RetailAndFoodServices_FloorCoveringStores
Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehicleParts_NAICSFloorCoveringStores,Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehicleParts_FloorCoveringStores
Monthly_Amount_Sales_RetailAndFoodServicesExcludingGasolineStations_NAICSFloorCoveringStores,Monthly_Amount_Sales_RetailAndFoodServicesExcludingGasolineStations_FloorCoveringStores
Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehiclePartsAndGasolineStations_NAICSFloorCoveringStores,Monthly_Amount_Sales_RetailAndFoodServicesExcludingMotorVehiclePartsAndGasolineStations_FloorCoveringStores
Monthly_Amount_Sales_RetailServices_NAICSFloorCoveringStores,Monthly_Amount_Sales_RetailServices_FloorCoveringStores
