Count_InPatient,Count_InPatient_Deceased_AsFractionOf_Count_InPatient,Count_OutPatient,Count_OutPatient_Ayush,Count_SurgicalProcedure_Major,Count_SurgicalProcedure_Minor,Date,District,lgdCode
,,,,,,2009-03,Nicobar,603
,,,,,,2009-03,North and Middle Andaman,632
,,,,,,2009-03,South Andaman,602
129436.0,0.5,376217.0,,11.0,11.0,2009-03,Adilabad,501
1835.0,0.0,999502.0,,,,2009-03,Anantapur,502
36175.0,1.6,2843904.0,,1061.0,4315.0,2009-03,Chittoor,503
192566.0,2.7,2817027.0,63112.0,3041.0,56587.0,2009-03,Cuddapah,
26796.0,8.7,537717.0,579.0,,,2009-03,East Godavari,505
16034.0,0.0,889084.0,8742.0,1858.0,7642.0,2009-03,Guntur,506
30.0,0.0,422305.0,,,,2009-03,Hyderabad,507
52807.0,1.3,1726146.0,151030.0,371.0,921.0,2009-03,Karim Nagar,508
129925.0,0.2,1885522.0,11807.0,1107.0,4586.0,2009-03,Khammam,509
222902.0,0.0,772106.0,15020.0,116.0,410.0,2009-03,Krishna,510
15135.0,7.1,412003.0,12022.0,136.0,226.0,2009-03,Kurnool,511
35889.0,0.0,1229305.0,2777.0,111.0,201.0,2009-03,Mahbubnagar,512
69382.0,1.9,578245.0,4829.0,1095.0,11521.0,2009-03,Medak,513
131448.0,1.1,1075786.0,3510.0,5573.0,8786.0,2009-03,Nalgonda,514
9536.0,12.1,2550383.0,3344.0,428.0,1537.0,2009-03,Nellore,595
10746.0,0.3,213166.0,282.0,66.0,285.0,2009-03,Nizamabad,516
34251.0,8.6,808445.0,2200.0,2560.0,14667.0,2009-03,Prakasam,517
18852.0,0.0,1433178.0,,,,2009-03,Ranga Reddy,518
5453.0,4.8,232315.0,1403.0,1217.0,1707.0,2009-03,Srikakulam,519
9938.0,0.0,934936.0,,,2104.0,2009-03,Vishakapatnam,520
47003.0,0.8,1507138.0,21920.0,991.0,8610.0,2009-03,Vizianagaram,521
141576.0,0.0,257691.0,4.0,13.0,20.0,2009-03,Warangal,
19418.0,0.4,1961092.0,9715.0,372.0,477.0,2009-03,West Godavari,523
,,,,,,2009-03,Anjaw,628
246.0,0.0,8346.0,8.0,,14.0,2009-03,Changlang,229
,,,,,,2009-03,Dibang Valley,230
74.0,0.0,5531.0,1.0,,72.0,2009-03,East Kameng,231
94.0,1.1,4534.0,106.0,,6.0,2009-03,East Siang,232
,,,,,,2009-03,Kurung Kumey,233
246.0,3.3,11599.0,1248.0,18.0,138.0,2009-03,Lohit,234
,,,,,,2009-03,Longding,666
543.0,1.5,12202.0,1.0,8.0,7.0,2009-03,Lower Dibang Valley,235
,,,,,,2009-03,Lower Subansiri,236
98.0,0.0,10388.0,4.0,,44.0,2009-03,Papum Pare,237
181.0,4.4,5458.0,,,3.0,2009-03,Tawang,238
,,,,,,2009-03,Tirap,239
174.0,0.0,4402.0,3.0,4.0,160.0,2009-03,Upper Siang,240
1354.0,1.7,9900.0,406.0,8.0,62.0,2009-03,Upper Subansiri,241
12.0,0.0,,,,,2009-03,West Kameng,242
203.0,4.4,4152.0,1.0,,22.0,2009-03,West Siang,243
,,,,,,2009-03,Baksa,616
,,,,,,2009-03,Barpeta,280
,,467075.0,,1274.0,,2009-03,Bongaigaon,281
52614.0,0.0,499223.0,,,,2009-03,Cachar,282
,,,,,,2009-03,Chirang,612
,,257941.0,,,,2009-03,Darrang,283
3398.0,0.9,358008.0,,365.0,3.0,2009-03,Dhemaji,284
,,,,,,2009-03,Dhubri,285
,,,,,,2009-03,Dibrugarh,286
,,,,,,2009-03,Goalpara,287
,,,,,,2009-03,Golaghat,288
5242.0,0.0,64551.0,,,,2009-03,Hailakandi,289
,,692256.0,,,,2009-03,Jorhat,290
,,,,,,2009-03,Kamrup M,291
,,,,,,2009-03,Kamrup R,291
,,,,,,2009-03,Karbi Anglong,292
,,,,,,2009-03,Karimganj,293
,,71576.0,,,,2009-03,Kokrajhar,294
,,,788.0,623.0,258.0,2009-03,Lakhimpur,295
,,,,,,2009-03,Marigaon,296
,,,,,,2009-03,Nagaon,297
,,,,,,2009-03,Nalbari,298
,,53981.0,,,,2009-03,North Cachar Hills,656
,,,,,,2009-03,Sibsagar,300
,,,,,,2009-03,Sonitpur,301
,,,,,,2009-03,Tinsukia,302
