"Table (42) : Average wage/salary earnings (Rs. 0.00) during the preceding calendar month from regular wage/salaried  employment among the regular
wage/salaried employees in CWS for each State/ UT
Apr-Jun,2021",,,,,,,,,
"Apr-Jun,2021",,,,,,,,,
State \ UT,rural,urban,rural+urban,,,,,,
,male,female,person,male,female,person,male,female,person
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
Andhra Pradesh,13938.02,6870,11438.44,22439.46,16802.36,20799.3,18720.44,11746.31,16489.99
Arunachal Pradesh,30909.88,15150.31,28444.17,34558.28,30246.31,33395.9,32018.78,22168.66,30104.15
Assam,16310.1,6371.23,13470.36,24961.61,21228.78,23979.49,18407.35,9671.97,15958.24
Bihar,14701.82,25864.12,15703.38,21531.58,18776.06,21194.98,17028.09,22875.07,17618.86
Chhattisgarh,12695.06,9966.39,12061.58,19198.99,12896.78,17512.68,16226.32,11693.51,15084.95
Delhi,14934.15,0,14934.15,18988.39,21728.49,19377.16,18943.67,21728.49,19335.04
Goa,19494.36,28716.89,21784.5,24723.95,20376.58,23667.86,22401.76,24140.12,22828.23
Gujarat,11384.57,9530.12,11068.01,16738.67,13736.23,16166.09,14544.67,12148.33,14107.03
Haryana,12751.58,11097.79,12517.61,23761.07,19371.58,22824.67,16767.93,15118.06,16488.85
Himachal Pradesh,13734.4,14244.64,13852.34,24455.91,20048.13,23198.62,15586.92,15504.46,15567.05
Jharkhand,10583.19,4864.65,9693.65,24471.82,22038.72,24013.81,16908.45,13672.55,16355.88
Karnataka,16700.18,10312.41,15117.06,25830.99,18022.43,23696.82,22570.98,15499.16,20701.07
Kerala,20845.25,13231.36,17104.47,23331.08,19641.59,21855.19,22425.59,16734.23,19939.39
Madhya Pradesh,14299.93,7616.08,12829.09,19369.04,14631.18,18439.45,17707.91,12103.16,16563.53
Maharashtra,18433,11243.15,17003.28,22964,16325.36,21367.44,21223.66,14656.68,19745.94
Manipur,28494.29,18429.28,27104.93,26347.77,21683.38,24875.99,27779.81,20347.66,26244.86
Meghalaya,17113.74,11831.75,14191.69,26208.79,18805.49,23086.47,21652.48,14410.56,18060.25
Mizoram,31323.53,26519.61,30229.93,30775.52,25224.77,29251.73,30955.91,25582.82,29560.35
Nagaland,24269.93,25227.91,24587.63,27572.27,26879.35,27425.09,25477.04,25621.7,25519.35
Odisha,21905.36,7706.34,18724.04,19415.37,16646.01,18713.16,20871.3,11775.75,18719.42
Punjab,16148.26,4053.77,13219.76,17148.56,16514.84,17003.62,16685.21,10511.09,15234.35
Rajasthan,18243.08,19639.55,18446.75,22017.1,21001.81,21838.73,19999.38,20348.91,20055.31
Sikkim,23463.14,19927.1,22279.64,28299.13,24590.87,27284.62,25298.81,21392.18,24077.02
Tamil Nadu,16447.26,8383.64,13872.75,18758,15230.13,17701.04,17926.14,12618.38,16297.65
Telangana,19026.1,20653.01,19623.95,26098.63,15385.9,23620.14,23998.41,17751.43,22264.7
Tripura,15905.83,6709.21,12568.5,24583.2,19595.45,22809.63,19008.45,11223.25,16203.48
Uttarakhand,25449.08,15292.19,23950.68,22000.78,22106.19,22022.2,23670.96,19453.45,22923.79
Uttar Pradesh,13521.91,14480.87,13699.41,19643.46,16892.95,19252.75,16863.49,15607.3,16659.8
West Bengal,9140.12,6610.55,8248.44,18305.2,10720.55,16182.14,13571.92,8257.34,11874.85
Andaman & N. Island,40192.76,20713.41,31075.67,39594.3,36038.4,38713.59,39681.78,31227.74,37224.78
Chandigarh,11900.74,4000,11471.35,23082.33,19735.68,21934.81,22190.49,19586.88,21340.43
Dadra & Nagar Haveli & Daman & Diu,9183.96,6668.83,8344.54,16398.16,13832,16070.77,14653.68,10092.03,13794.66
Jammu & Kashmir,24280.02,23918.1,24208.54,26628.02,27624.89,26845.71,24901.36,24993.11,24920
Ladakh,35862.01,24742.19,28041.67,29691.84,11333.33,25224.17,33925.73,23958.68,27613.21
Lakshadweep,0,0,0,0,0,0,0,0,0
Puducherry,11844.84,14225.61,12811.17,24044.01,20879.25,22845.76,19499.64,18220.27,19001.88
all India,15448.71,10672.4,14265.51,21139.35,16599.42,20061.73,18652.62,13926.91,17509.35
"estimated  no. of regular wage/salaried
employee (00)*",290752,95744,386496,374608,116594,491202,665360,212339,877698
"sample  no. of regular wage/salaried
employee*",2536,802,3338,19182,6253,25435,21718,7055,28773
