"Table (42) : Average wage/salary earnings (Rs. 0.00) during the preceding calendar month from regular wage/salaried  employment among the
regular wage/salaried employees in CWS for each State/ UT
",,,,,,,,,
"Apr-Jun,2020",,,,,,,,,
State \ UT,rural,urban,rural+urban,,,,,,
,male,female,person,male,female,person,male,female,person
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
Andhra Pradesh,11806.74,7021.82,10259.18,18148.63,12696.72,16739.9,15208.85,9618.4,13587.48
Arunachal Pradesh,27003.8,8607.64,22953.86,35218.62,29427.58,33869.18,29873.54,16232.22,26808.39
Assam,17009.12,6708.62,14315.38,24834.21,17547.75,23059.71,19056.7,9349.9,16563.08
Bihar,17042.51,13610.54,16543.67,19691.93,19964.28,19732.06,17773.58,15384.06,17424.94
Chhattisgarh,17874.02,8456.56,14864.22,21173.68,17157.46,20154.69,19812.53,12872.97,17852.94
Delhi,13537.95,7000,12555.65,26994.96,25390.84,26641.76,26653.18,25095.54,26312.76
Goa,20528.6,21461.97,20603.94,22831.15,24122.36,23246.13,21911.86,23830.53,22376.52
Gujarat,11426.55,8134.11,10713.88,16850.6,12971.77,16109.17,15098.71,11239.77,14328.85
Haryana,14526.87,28473.31,15756.7,21456.6,26495.53,22461.48,17863.57,27078.6,19203.1
Himachal Pradesh,14836.77,13283.1,14502.22,19552.24,16058.1,18046.14,15771.45,14408.77,15403.29
Jharkhand,14484.82,11059.09,13929.63,22695.65,18511.39,21935.57,18325.96,14801.7,17722.1
Karnataka,15290.62,13775.47,14858.7,24737.34,18445.79,23161.9,22174.72,17009.01,20830.93
Kerala,23434.1,12357.42,18264.63,23111.36,19636.13,21813.51,23247.4,15874.03,20176.67
Madhya Pradesh,12402.5,9670.36,11822.57,27044.09,17877.43,25245.06,21517.3,14587.33,20114.84
Maharashtra,13502.6,9354.31,12787.66,25665.21,20574.17,24322.04,21687.6,18103.66,20840.99
Manipur,26834.08,20659.16,24284.78,21892.58,17513.62,20491.02,24634.52,19560.11,22732.23
Meghalaya,16752.54,7846.79,13809.12,27271.63,25153.54,26565.73,20803.53,14562.98,18734.32
Mizoram,35313.49,29374.03,34303.43,30697.61,26732.26,29521.25,32522.69,27369.19,31226.51
Nagaland,19776.81,21115.71,20212.25,27809.17,27288.42,27649.57,22835.03,23340.95,22996.02
Odisha,16927.6,12376.94,16007.35,23187.92,13847.47,20784.96,19416.86,13074.32,17989.42
Punjab,12495.96,6977.86,10901.37,16156.56,15942.22,16105.25,14677.36,11757.21,13917.44
Rajasthan,12897.99,15722.04,13271.03,25172.72,17666.27,23609.63,18811.37,16920.3,18488.9
Sikkim,15439.99,14094.89,14874.33,23365.28,26019.44,24263.55,17869.39,16927.84,17495.01
Tamil Nadu,13668.32,13130.85,13517.96,17959.46,15314.43,17059.32,16379.34,14648.44,15826.77
Telangana,18796,8229.83,15688.91,22720.85,15456.68,21108.79,21837.56,13304.38,19794.63
Tripura,15799.92,4785.44,11387.73,20018.11,15598.8,18750.42,17376,7642.21,13846.51
Uttarakhand,32467.31,29670.05,31884.97,21357.55,17643.4,20451.01,27874.21,24089.93,27028.7
Uttar Pradesh,10499.07,5457.48,10167.33,18749.55,18764.84,18752.25,15056.79,15968.92,15175.8
West Bengal,7739.62,5372.99,7096.94,17714.71,10335.72,15577.26,12776.79,7990.22,11432.64
Andaman & N. Island,29601.93,11717.23,19041.06,37306.63,32419.84,36059.46,35579.62,21060.49,30197.32
Chandigarh,10000.67,8556.25,9776.57,19756.97,19822,19770.99,18602.96,18895.39,18664.05
Dadra & Nagar Haveli,10179.84,8500,10165.69,18285.89,23077.49,18612.07,16048.06,22458.5,16383.55
Daman & Diu,15045.9,6670.47,13528.13,13298.58,9450.24,12502.53,13696.91,8893.25,12730.64
Jammu & Kashmir,24939.01,23054.28,24788.1,26799.75,24087.23,26146.29,25368.7,23594.13,25150.46
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Puducherry,17254.39,6593.84,12879.32,17978.04,22723.82,19512.5,17804.54,17646.28,17749.71
all India,14257.1,10535.97,13422.7,21624.03,17324.51,20551.35,18514.89,14688.15,17600.17
"estimated  no. of regular
wage/salaried employee (00)*",248435,71809,320244,340216,113097,453313,588651,184906,773557
"sample  no. of regular
wage/salaried employee*",2199,730,2929,16944,5618,22562,19143,6348,25491
