"Table (42) : Average wage/salary earnings (Rs. 0.00) during the preceding calendar month from regular wage/salaried  employment among the
regular wage/ salaried employees in CWS for each State/ UT
",,,,,,,,,
"Jan-Mar,2020",,,,,,,,,
State \ UT,rural,urban,rural+urban,,,,,,
,male,female,person,male,female,person,male,female,person
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
Andhra Pradesh,11793.94,6507.86,10154.2,18637.79,13782.09,17226.9,15774.88,10572.58,14219.85
Arunachal Pradesh,30091.31,15802.82,26849.8,34504.76,27514.79,32833.16,31605.46,20004.24,28924.2
Assam,14328.14,9193.86,12554.67,23096.52,16652.71,21454.57,16706.29,10643.09,14747.3
Bihar,13406.24,11977.22,13354.72,19522.03,20105.51,19604.22,15656.53,17817.19,15823.89
Chhattisgarh,11494.13,5541.9,9929.88,20374.14,14659.5,18834.8,15354.43,9581.01,13820.61
Delhi,25452.7,20000,21174.26,23809.14,22001.31,23435.19,23817.53,21867.53,23393.28
Goa,16408.58,14745.76,15905.3,21444.77,18546,20514.8,20358.91,17779.7,19541.35
Gujarat,11499.67,7429.99,10826.71,18110.35,12925.26,17239.82,16278.04,11422.1,15466.18
Haryana,15085.13,13046.61,14813.53,22920.52,23366.58,23018.32,19100.74,19832.87,19232.19
Himachal Pradesh,20615.83,11659.34,18463.75,20614.38,18307.09,19963.49,20615.52,13312.76,18793.63
Jharkhand,10801.03,6130.58,9942.02,20984.95,19913.15,20756.66,15593.66,13246.86,15129.3
Karnataka,15267.39,10620.93,13772.19,23305.58,17336.83,21632.59,20913.85,15050.77,19195.02
Kerala,19824.7,13389.59,17256.65,22223.27,17624.14,20222.27,21107.06,15808.6,18887.67
Madhya Pradesh,12643.73,5434.49,10513.93,18818.12,13718.89,17704.17,16777.18,10193.77,15159.68
Maharashtra,10573.64,5759.83,9945.82,22754.5,18648.05,21629.03,18721.99,16530.59,18213.42
Manipur,21806.6,22132.68,21903.5,20853.36,17159.39,19642.06,21481.73,20274.3,21109.89
Meghalaya,15659.57,12239.44,14133.41,21835.71,21528.78,21724.41,17929.15,14941.61,16679.8
Mizoram,28836.02,22311.31,27643,30241.64,24157.01,28347.39,29664.51,23683.77,28086.83
Nagaland,15833.24,16507.53,15950.25,25807.6,25710.17,25785.02,19604.56,20798.75,19839.29
Odisha,13279.73,13654.83,13367.72,23325.22,13163.98,21074.92,17035.1,13479.81,16218.39
Punjab,16307.98,8686.4,14285.12,17036.74,13241.69,16021.82,16730.2,11337.09,15292.49
Rajasthan,17112.19,11257.96,16271.08,20245.2,15379.64,19337.9,18654.66,13606.78,17820.27
Sikkim,16765.19,9757.85,14532.33,22726.27,21207.96,22221.94,18687.55,13606.08,17045.91
Tamil Nadu,15527.17,7575.28,13683.53,18119.12,13389.99,16494.49,17097.38,11803.23,15489.95
Telangana,11650.53,8690.18,11085.4,21442.36,13448.31,19395.34,18704.93,12448.61,17210.11
Tripura,13307.44,5101.52,10692.3,24917.2,18882.9,23265.42,17311.06,9205.82,14848.46
Uttarakhand,13657.38,9784.15,13090.67,20154.38,17023.64,19443.37,16903.31,14353.94,16422.28
Uttar Pradesh,13973.16,12599.23,13812.91,17291.51,15508.87,17013.36,15881.3,14503.65,15688.8
West Bengal,11854.68,5906.76,10598.69,16564.26,8905.71,14356.42,14916.07,8118.69,13127.88
Andaman & N. Island,25306.03,11197.32,22493.36,32496.2,25858.67,31016.85,28847.89,18937.06,26755.54
Chandigarh,25265.51,4397.9,22691.22,24882.42,18146.07,23188.25,24905.53,17786.11,23162.43
Dadra & Nagar Haveli,11165.19,7300,11082.59,16186.97,15819.78,16152.46,14428,14951.46,14464.54
Daman & Diu,27529.82,5378.8,20617.78,14620.46,8752.79,13801.77,15908.71,7954.19,14631.74
Jammu & Kashmir,19968.92,19992.38,19973.18,25745.62,22127.84,24862.05,21581.18,20761.85,21417.15
Ladakh,35196.62,14675.44,31128.93,26265.06,28662.07,26888.75,34361.39,16465.43,30702.53
Lakshadweep,0,0,0,25741.59,43568.19,30737.58,25741.59,43568.19,30737.58
Puducherry,20906,9583.53,16674.78,18713.11,23542,20338.18,19400.14,18666.98,19144.53
all India,14088.83,9452.09,13099.1,20186.9,15691.13,19050.76,17764.48,13532.9,16759.07
"estimated  no. of regular
wage/salaried employee (00)*",291329,79061,370391,442048,149489,591538,733378,228551,961928
"sample  no. of regular
wage/salaried employee*",2684,883,3567,20905,7063,27968,23589,7946,31535
