"Table (42) : Average wage/salary earnings (Rs. 0.00) during the preceding calendar month from regular wage/salaried  employment among the regular
wage/ salaried employees in CWS for each State/ UT
Jan-Mar,2021",,,,,,,,,
"Jan-Mar,2021",,,,,,,,,
State \ UT,rural,urban,rural+urban,,,,,,
,male,female,person,male,female,person,male,female,person
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
Andhra Pradesh,13809.32,9295.98,12335.13,23253.19,14980.19,20704.09,19387.59,12535.24,17223.48
Arunachal Pradesh,29757.44,24401.56,28347.32,34720.29,29399.35,33291.87,31395.97,26081.02,29987.51
Assam,19473.82,9418.1,16011.96,24493.4,21472.88,23728.32,20633.89,11378.47,17623.39
Bihar,17406.77,9267.39,16080.23,20797.92,17772.71,20437.58,18422.59,11214.95,17339.25
Chhattisgarh,14604.02,9972.45,13422.11,19498.95,14033.99,18027.94,16591.69,11692.99,15313.48
Delhi,24710.12,0,24710.12,20190.53,19853.95,20147.82,20277.36,19853.95,20224.54
Goa,19372.74,16051.67,18626.87,24110.39,24087.88,24104.1,22452.86,21785.27,22278.45
Gujarat,21319.83,8174.73,18321.37,16752.72,12340.94,15804.56,18426.42,10739.42,16736.82
Haryana,14675.62,6854.35,13681,24064.98,18601.82,22636.42,18963.67,14741.07,18144.02
Himachal Pradesh,21145.1,7986.8,17856.77,24706.73,15602.41,21317.14,21745.62,10006.99,18531.79
Jharkhand,10783.93,5139.68,10109.99,25626.2,20481.07,24556,18498.88,15526.81,18000.18
Karnataka,14531.58,11762.55,14176.24,25201.94,18601.82,23642.71,22001,17443.2,21058.52
Kerala,21251.76,14181.81,18286.26,22459.93,19041.73,21163.79,21889.05,16541.41,19755.94
Madhya Pradesh,13526.96,9291.13,12492.46,18487.39,13836.49,17597.58,16519.34,11685.52,15488.9
Maharashtra,17049.86,9635.37,16162.19,22801.1,16576.69,21230.25,20814.09,15359.31,19661.45
Manipur,26783.27,22181.5,25207.85,25465.54,22519.36,24556.94,26308.22,22291.52,24980.69
Meghalaya,21489.04,8123.22,15725.34,26805.11,18802.93,23746.54,23950.91,12534.98,19275.69
Mizoram,33134.67,27467.34,31453.42,32077.22,27020.71,30635.89,32392.6,27159.24,30882.53
Nagaland,21114.6,26412.64,21837.6,28105.24,28454.57,28204.88,23499.59,27569.73,24288.07
Odisha,14441.6,8975.49,12833.65,21611.33,20451.29,21332.1,17133.09,12575.86,15879.84
Punjab,16110.06,8074.87,14070.8,17298.78,16197.84,17047.24,16780.37,12376.76,15724.71
Rajasthan,13739.31,16647.19,14208.98,23165.63,19378.97,22506.7,18109.93,17974.81,18087.32
Sikkim,33258.97,21383.44,28229.79,25536.64,26817.57,25949.42,30585.8,22770.35,27521.72
Tamil Nadu,13742.13,7603.84,11987.07,18623.97,14449.59,17272.99,16603.82,11907.38,15154.86
Telangana,13779.71,10386.31,12292.59,24174.41,14773.16,21972.9,21736.62,12848.57,19120.92
Tripura,20859.68,8908.2,16042.95,22281.7,18418.61,20939.97,21457.48,12367.56,17995.95
Uttarakhand,12025.42,7204.38,10967.43,21767.82,18418.01,21085.2,17293.93,13005.97,16388.94
Uttar Pradesh,13536.03,8535.62,12537.3,19020.91,14984.53,18443.06,16555.86,11441.4,15688.73
West Bengal,18220.27,6223.09,13149.33,18172.14,10799.57,16103.46,18190.52,8341.83,14818.27
Andaman & N. Island,35391.65,52532.03,40740.36,37872.28,35983.29,37423.71,36859.38,44279.13,38861.18
Chandigarh,21319.68,4000,19651.02,22111.42,20727.15,21704.2,22073.84,20516.64,21627.29
Dadra & Nagar Haveli & Daman & Diu,11609.38,8747.93,10899.17,17633.9,15303.1,17252.77,16272.2,13137.98,15694.6
Jammu & Kashmir,20020.05,14309.32,19361.94,26070.31,22359.48,25227.95,21711.57,18065.96,21166.13
Ladakh,41578.34,52983.8,43573.22,27797.52,38975.92,30993.22,40188.04,50534.52,42129.47
Lakshadweep,35643.25,37090.86,36495.82,31408.59,29282.02,31046.61,32380.64,34556.31,33093.12
Puducherry,14416.56,12500,14388.16,24388.97,22100.14,23523.43,21812.74,22018.17,21876.97
all India,16126.55,9588.04,14495.73,21095.36,16022.2,19869.58,19003.97,13247.82,17594.16
"estimated  no. of regular wage/salaried
employee (00)*",286408,95173,381581,394052,125546,519598,680459,220719,901178
"sample  no. of regular wage/salaried
employee*",2626,900,3526,20156,6619,26775,22782,7519,30301
