"Table (42) : Average wage/salary earnings (Rs. 0.00) during the preceding calendar month from regular wage/salaried  employment among the
regular wage/salaried employees in CWS for each State/ UT
",,,,,,,,,
"July-Sep,2019",,,,,,,,,
State \ UT,rural,urban,rural+urban,,,,,,
,male,female,person,male,female,person,male,female,person
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
Andhra Pradesh,13292.25,7593.05,11946.55,18867.13,13187.49,17296.15,16782.9,11366.19,15363.84
Arunachal Pradesh,29928.39,18824.28,28402.39,31101.4,24997.62,29843.66,30295.71,21455.14,28879.8
Assam,14613.74,9324.11,12783.87,21867.36,17241.97,20739.61,15743.29,10124.42,13878.47
Bihar,13713.75,10689.07,13072.15,19305.72,20559.95,19497.51,15347.71,12828.91,14854.79
Chhattisgarh,16475.89,14044.13,15742.54,20480.27,14923.39,18917.71,18084.31,14376.65,16996.01
Delhi,17554.87,6000,17455.22,22418.79,28558.08,23696.45,22241.67,28529.89,23513.56
Goa,16066.07,15440.31,15966.63,21772.46,17484.57,20652.05,19603.61,16980.26,19012.14
Gujarat,12613.29,19782.39,13896.47,16539.96,12307.33,15795.07,15344.76,14615.25,15215.71
Haryana,16032.1,11141.95,15317.1,21668.26,20425.68,21388.18,19243.69,17569.82,18920.28
Himachal Pradesh,17627.91,5273.32,15174.02,21131.76,16980.65,20167.66,18414.83,8331.03,16333.25
Jharkhand,12982.41,5869.33,11250.29,20990.35,14299.92,19909.91,17801.3,9872.27,16245.64
Karnataka,15741.93,10933.98,14045.65,22171.95,17171.59,20921.2,20124.21,14470.75,18506.21
Kerala,17794.25,14509.31,16611,22630.03,16844.32,20198.56,20272.83,15852.32,18537.96
Madhya Pradesh,9044,5890.41,8576.17,17545.19,12586.47,16433.83,14286.4,10760.81,13592.82
Maharashtra,13398.95,7589.44,12380.65,20736.54,17279.51,19821.15,18549.39,15337.8,17777.94
Manipur,20723.95,18947.36,20156.33,22629.09,18103.7,21146.32,21444.2,18620.99,20533.41
Meghalaya,17192.83,6729.17,13340.86,25067.47,18923.79,22813.45,20211.44,11388.34,16967.61
Mizoram,28300.07,13170.03,23660.51,27938.23,30176.59,28572.17,28019.15,26030.17,27445.15
Nagaland,27337.89,31942.79,28772.49,23494.77,22516.65,23290.97,25601.74,28888.8,26484.19
Odisha,13783.04,10311.73,13238.3,25028.86,13776.68,22424.35,18665.55,12230.88,17436.57
Punjab,14346.34,30007.79,21920.56,16228.27,12015.55,15216.04,15512.57,23621.38,18397.21
Rajasthan,13719.58,17371.5,14139.3,18129.38,14189.95,17417.33,16038.01,15293.34,15925.71
Sikkim,17758.66,16464.12,17325.87,21603.5,19320.93,21001.22,19241.92,17348.35,18657.19
Tamil Nadu,13143.76,6507.83,11562.32,18307.67,12802.21,16436.76,16545.65,11295.08,14926.5
Telangana,12909.05,5512.18,11608.97,20164.47,12719.84,18380.01,18549.24,11550.26,16965.11
Tripura,20944.58,11886.87,18298.37,23242.14,20975.88,22519.13,21927.4,16059.07,20143.98
Uttarakhand,18744.37,16897.11,18593.14,18842.87,14430.68,18111.48,18794.57,15174.63,18336.19
Uttar Pradesh,12941.98,10565.69,12629.59,16586.34,15229.12,16421.76,15404.15,13620.42,15181.89
West Bengal,10080.37,3566.39,8749.05,15524.17,9302.58,13825.49,13050.98,7221.32,11632.22
Andaman & N. Island,29455.25,26512.1,28507.5,28228.65,18347.79,26139.44,28864.12,23700.9,27455.18
Chandigarh,24926.04,6000,22944.93,26157.27,23175.15,25433.08,26108.68,22921.71,25349.53
Dadra & Nagar Haveli,9967.3,6000,9919.08,13360.1,10032.64,13136.69,12856.42,9915.93,12681.84
Daman & Diu,12434.67,6500,11987.12,14747.55,7138.75,13554.42,14410.01,7094.21,13343.11
Jammu & Kashmir,22652.19,13064.32,20568.56,24802.36,24692.88,24777.62,23305.52,16721.96,21857.39
Ladakh,35000,0,35000,17391.26,15439.61,16066.07,31870.36,15439.61,27380.89
Lakshadweep,23381.84,12374.3,21968.86,31780.61,27781.14,30458.45,29231.46,26009.2,28329.62
Puducherry,14950.89,8447.11,13197.68,16462.57,20721.18,17939.93,16216.59,19261.02,17237.87
all India,13911.56,12089.98,13487.16,19194.08,15301.24,18251.22,17146.41,14095.04,16418.18
"estimated  no. of regular
wage/salaried employee (00)*",268587,81584,350171,424307,135616,559922,692894,217199,910093
"sample  no. of regular
wage/salaried employee*",2611,775,3386,20887,6705,27592,23498,7480,30978
